Id	Key[1]	Key[2]	Key[3]	Key[4]	Key[5]	Key[6]	Key[7]	Key[8]	Key[9]	Key[10]	Key[11]	Key[12]	Key[13]	Key[14]	Key[15]	Key[16]	Key[17]	Key[18]	Key[19]	Key[20]	Key[21]	Key[22]	Key[23]	Key[24]	Key[25]	Key[26]	Key[27]	Key[28]	Key[29]	Key[30]	Key[31]	Key[32]	Key[33]	Key[34]	Key[35]	Key[36]	Key[37]	Key[38]	Key[39]	Key[40]	Key[41]	Key[42]	Key[43]	Key[44]	Key[45]	Key[46]	Key[47]	Key[48]	Key[49]	Key[50]	Key[51]	Key[52]	Key[53]	Key[54]	Key[55]	Key[56]	Key[57]	Key[58]	Key[59]	Key[60]	Key[61]	Key[62]	Key[63]	Key[64]	Key[65]	Key[66]	Key[67]	Key[68]	Key[69]	Key[70]	Key[71]	Key[72]	Key[73]	Key[74]	Key[75]	Key[76]	Key[77]	Key[78]	Key[79]	Key[80]	Key[81]	Key[82]
998101	23|Cast|99810101																																																																																	
998102	25|Cast|99810201	31|Cast|99810202																																																																																
998103	23|Cast|99810301																																																																																	
998104	19|Cast|99810401																																																																																	
998201	27|Cast|99820101																																																																																	
998202	9|Cast|99820201	30|Cast|99820202																																																																																
998203	30|Cast|99820301	37|Cast|99820302	47|Cast|99820303																																																																															
998204	1|Cast|99820401																																																																																	
998301	15|Cast|99830101	0|Turn|120|0.6|1	1|Effect|FxMb1OrphanMd030001Attack01||1||																																																																															
998302	11|Cast|99830201	0|Turn|1200|0.5|1																																																																																
998303																																																																																		
998304																																																																																		
815201	15|Cast|81520101	1|Effect|FxMb1OrphanMd030001Attack0101||1||	12|Turn|160|0.6|1	39|Cast|81520106	45|Cast|81520108																																																																													
815202	35|Cast|81520201	5|Cast|81520202	35|Magic|815227|1	35|Effect|FxMb1OrphanMd030002Attack02||0||	22|Effect|FxYubei02|Bone020|1||																																																																													
815203	0|Cast|81520301	20|Magic|815217|0	0|Magic|730018|0	18|Effect|FxMb1OrphanMd030002Attack03|1|||	0|Magic|700027|0	0|Magic|710076|0	0|Magic|700230|0	40|Cast|81520308																																																																										
815204	5|Cast|81520401	20|Magic|815218|0	11|Magic|730020|0	5|Effect|FxMb1OrphanMd030002Attack04Dilie|1|||	40|Magic|700031|0	20|Magic|710077|0	20|Magic|700249|0	2|Magic|700271|0	2|Magic|700021|0																																																																									
815205	70|Cast|81520501	30|Effect|FxMe1BioMd004010Attack03||1||	47|Cast|81520504	70|Magic|815224|1																																																																														
815206	0|Magic|815211|0	2|Turn|35|1.75|1	0|Magic|700027|0	0|Effect|FxYubei02|Bone020|||																																																																														
815207	0|Cast|81520701	0|Magic|815214|0	0|Move|10|10|0||	0|Magic|815215|0	0|Turn|45|1.75|1																																																																													
815208	0|Cast|81520801|81520802	0|Move|5|1|-5||																																																																																
815209																																																																																		
815210																																																																																		
815211																																																																																		
815212	11|Magic|815220|1	31|Magic|815220|1	31|Effect|FxYubei02|Bone020|1||	32|Magic|815221|1	1|Turn|30|0.3|1	12|Turn|90|1|1																																																																												
815213	0|Move|10|10|0||	0|Turn|30|0.35|1	0|Cast|81521303	0|Magic|815223|1																																																																														
815214																																																																																		
815215																																																																																		
834001	27|Cast|83400101|83400102|83400103|83400105	27|IKPosition|0|201	27|Magic|834003|1	25|Magic|834001|1	6|Cast|83400109	1|IK|3|205|HitCase	1|IK|4|205|HitCase	1|IK|5|205|HitCase	1|IK|6|205|HitCase	0|Effect|FxMb1TrackalienMd010001Attack01Sound||||	64|Effect|FxMb1TrackalienMd010001Attack11Xian|YanQiu2|1||	107|Cast|83400117	107|Magic|834103|1	102|Cast|83400119	48|Effect|FxMb1TrackalienMd010001Attack11GuadianYanQiu3|YanQiu2|1||	107|Magic|834003|1																																																																		
834002	29|Cast|83400201|83400202|83400203	0|Effect|FxMb1TrackalienMd010001Attack01Sound||||	29|IKPosition|1|218	8|Cast|83400207	27|Magic|834008|1	1|IK|3|205|HitCase	29|Cast|83400210	29|Magic|834003|1	1|IK|4|205|HitCase	1|IK|5|205|HitCase	1|IK|6|205|HitCase	64|Effect|FxMb1TrackalienMd010001Attack11Xian|YanQiu1|1||	107|Cast|83400216	107|Magic|834103|1	102|Cast|83400218	48|Effect|FxMb1TrackalienMd010001Attack11GuadianYanQiu3|YanQiu1|1||	107|Magic|834003|1																																																																	
834003	27|Cast|83400301|83400302|83400303	0|Effect|FxMb1TrackalienMd010001Attack03Sound||||	6|Cast|83400306	27|IKPosition|2|205	25|Magic|834012|1	27|Cast|83400310	27|Magic|834003|1	1|IK|3|208|HitCase	1|IK|4|208|HitCase	1|IK|5|208|HitCase	1|IK|6|208|HitCase	64|Effect|FxMb1TrackalienMd010001Attack11Xian|YanQiu3|1||	107|Cast|83400317	107|Magic|834103|1	102|Cast|83400319	48|Effect|FxMb1TrackalienMd010001Attack11GuadianYanQiu3|YanQiu3|1||																																																																		
834004	29|Cast|83400401|83400406	20|Magic|834024|1	1|Effect|FxMb1TrackalienMd010001Attack07||1||	5|Magic|834085|1	0|Effect|FxMb1TrackalienMd010001Attack07Sound||||																																																																													
834005	21|Effect|FxMb1TrackalienMd010001Attack08|Hezi1kou001|1||	21|Cast|83400502	20|Cast|83400503	25|Effect|FxMb1TrackalienMd010001Attack08|Hezi1kou002|1||	25|Cast|83400505	24|Cast|83400506	33|Effect|FxMb1TrackalienMd010001Attack08|Hezi2kou002|1||	33|Cast|83400520	32|Cast|83400521	37|Effect|FxMb1TrackalienMd010001Attack08|Hezi2kou003|1||	37|Cast|83400523	36|Cast|83400524	42|Effect|FxMb1TrackalienMd010001Attack08|Hezi3kou003|1||	42|Cast|83400538	41|Cast|83400539	0|IK|3|125|HitCase	0|IK|4|125|HitCase	0|IK|5|125|HitCase	0|IK|6|125|HitCase	0|Effect|FxMb1TrackalienMd010001Attack08Sound||||																																																														
834006	0|Effect|FxMb1TrackalienMd010001Attack04GuadianLZhuai5Zha|LZhuai5|1||	35|Magic|834003|1	0|Magic|834016|0	0|Effect|FxMb1TrackalienMd010001Attack04GuadianLZhuai5|LZhuai5|1||	0|Effect|FxMb1TrackalienMd010001Attack04GuadianLZhuai4|LZhuai4|1||	0|Effect|FxMb1TrackalienMd010001Attack04GuadianLZhuai3|LZhuai3|1||	0|Effect|FxMb1TrackalienMd010001Attack04GuadianLZhuai2|LZhuai2|1||	0|Effect|FxMb1TrackalienMd010001Attack04GuadianLZhuai1|LZhuai1|1||	35|Effect|FxMb1TrackalienMd010001Attack04GuadianLZhuai5Zha|LZhuai5|1||	35|Effect|FxMb1TrackalienMd010001Attack04GuadianLZhuai5Zha|LZhuai4|||	35|Effect|FxMb1TrackalienMd010001Attack04GuadianLZhuai5Zha|LZhuai3|||	35|Effect|FxMb1TrackalienMd010001Attack04GuadianLZhuai5Zha|LZhuai2|||	35|Effect|FxMb1TrackalienMd010001Attack04GuadianLZhuai5Zha|LZhuai1|||	35|Magic|834007|1	0|Magic|834088|1	0|Effect|FxMb1TrackalienMd010001Attack04Sound||||																																																																		
834007	0|Effect|FxMb1TrackalienMd010001Attack05GuadianCZhuai5Zha|CZhuai5|1||	35|Magic|834003|1	0|Magic|834017|0	0|Effect|FxMb1TrackalienMd010001Attack05GuadianCZhuai5|CZhuai5|1||	0|Effect|FxMb1TrackalienMd010001Attack05GuadianCZhuai4|CZhuai4|1||	0|Effect|FxMb1TrackalienMd010001Attack05GuadianCZhuai3|CZhuai3|1||	0|Effect|FxMb1TrackalienMd010001Attack05GuadianCZhuai2|CZhuai2|1||	0|Effect|FxMb1TrackalienMd010001Attack05GuadianCZhuai1|CZhuai1|1||	35|Effect|FxMb1TrackalienMd010001Attack05GuadianCZhuai5Zha|CZhuai5|1||	35|Effect|FxMb1TrackalienMd010001Attack05GuadianCZhuai5Zha|CZhuai4|1||	35|Effect|FxMb1TrackalienMd010001Attack05GuadianCZhuai5Zha|CZhuai3|1||	35|Effect|FxMb1TrackalienMd010001Attack05GuadianCZhuai5Zha|CZhuai2|1||	35|Effect|FxMb1TrackalienMd010001Attack05GuadianCZhuai5Zha|CZhuai1|1||	35|Magic|834011|1	0|Magic|834089|1	0|Effect|FxMb1TrackalienMd010001Attack05Sound||||																																																																		
834008	0|Effect|FxMb1TrackalienMd010001Attack06GuadianRZhuai5Zha|RZhuai5|1||	35|Magic|834003|1	0|Magic|834018|0	0|Effect|FxMb1TrackalienMd010001Attack06GuadianRZhuai5|RZhuai5|1||	0|Effect|FxMb1TrackalienMd010001Attack06GuadianRZhuai4|RZhuai4|1||	0|Effect|FxMb1TrackalienMd010001Attack06GuadianRZhuai3|RZhuai3|1||	0|Effect|FxMb1TrackalienMd010001Attack06GuadianRZhuai2|RZhuai2|1||	0|Effect|FxMb1TrackalienMd010001Attack06GuadianRZhuai1|RZhuai1|1||	35|Effect|FxMb1TrackalienMd010001Attack06GuadianRZhuai5Zha|RZhuai5|1||	35|Effect|FxMb1TrackalienMd010001Attack06GuadianRZhuai5Zha|RZhuai4|1||	35|Effect|FxMb1TrackalienMd010001Attack06GuadianRZhuai5Zha|RZhuai3|1||	35|Effect|FxMb1TrackalienMd010001Attack06GuadianRZhuai5Zha|RZhuai2|1||	35|Effect|FxMb1TrackalienMd010001Attack06GuadianRZhuai5Zha|RZhuai1|1||	35|Magic|834014|1	0|Magic|834090|1	0|Effect|FxMb1TrackalienMd010001Attack06Sound||||																																																																		
834009	33|Cast|83400901	8|Effect|FxMb1TrackalienMd010001Attack09GuadianYanQiu1|YanQiu1|1||	0|Effect|FxMb1TrackalienMd010001Attack09Sound||||																																																																															
834010	53|Cast|83401001	8|Effect|FxMb1TrackalienMd010001Attack09GuadianYanQiu1|YanQiu1|1||	0|Effect|FxMb1TrackalienMd010001Attack09Sound||||																																																																															
834011	24|Effect|FxMb1TrackalienMd010001Attack11Xian|YanQiu3|1||	57|Cast|83401102	57|Magic|834103|1	50|Cast|83401104	0|IK|3|125|HitCase	0|IK|4|125|HitCase	0|Effect|FxMb1TrackalienMd010001Attack11GuadianYanQiu3|YanQiu3|1||	58|Magic|834003|1	0|IK|5|125|HitCase	0|IK|6|125|HitCase	0|Effect|FxMb1TrackalienMd010001Attack11Sound||||																																																																							
834012	0|IK|3|33|HitCase	0|IK|4|33|HitCase	0|IK|5|33|HitCase	0|IK|6|33|HitCase	0|Effect|FxMb1TrackalienMd010001Attack27Sound||||	0|Effect|FxMb1PrismMd010001Xishou01||1||																																																																												
834013	43|Magic|834003|1	43|Effect|FxMb1TrackalienMd010001Attack1202|1|||	0|Effect|FxMb1TrackalienMd010001Attack1201|1|||	0|Magic|834085|1	0|Magic|834095|1	0|Effect|FxMb1TrackalienMd010001Attack12Sound||||																																																																												
834014	1|IK|3|112|HitCase	1|IK|4|112|HitCase	1|IK|5|112|HitCase	1|IK|6|112|HitCase	1|Effect|FxMb1TrackalienMd010001Attack13Sound||||																																																																													
834015	20|Cast|83401501|83401502|83401505	0|IK|5|170|HitCase	0|IK|6|170|HitCase	20|IKPosition|7|160	20|Magic|834003|1	18|Magic|834034|1	0|IK|4|170|HitCase	0|IK|3|170|HitCase	160|Magic|834046|1	9|Cast|83401512	0|Effect|FxMb1TrackalienMd010001Attack14Sound||||																																																																							
834016	20|Cast|83401601|83401602|83401605	160|Magic|834046|1	0|IK|6|170|HitCase	20|IKPosition|8|150	20|Magic|834003|1	18|Magic|834038|1	0|IK|4|170|HitCase	0|IK|3|170|HitCase	0|IK|5|170|HitCase	9|Cast|83401612	0|Effect|FxMb1TrackalienMd010001Attack15Sound||||																																																																							
834017	66|Magic|834046|1	13|Magic|834037|1	13|Magic|834042|1	0|Effect|FxMb1TrackalienMd010001Attack16GuadianYa0203|Ya0203|1||	0|Effect|FxMb1TrackalienMd010001Attack16GuadianYa0204|Ya0204|1||	0|Effect|FxMb1TrackalienMd010001Attack16GuadianYa0205|Ya0205|1||	0|Effect|FxMb1TrackalienMd010001Attack16GuadianYa0206Zha|Ya0206|1||	13|Effect|FxMb1TrackalienMd010001Attack16GuadianYa0206Zha|Ya0506|1||	13|Effect|FxMb1TrackalienMd010001Attack16GuadianYa0206Zha|Ya0505|1||	13|Effect|FxMb1TrackalienMd010001Attack16GuadianYa0206Zha|Ya0504|1||	66|Magic|834046|1	0|Effect|FxMb1TrackalienMd010001Attack16Sound||||																																																																						
