Id	Name	ManagerName	Icon	TimeId	FunctionNameId	SkipId	Order	RedPointConditions[1]	RedPointConditions[2]
1	A Dance in the Park	RpgTowerManager	Assets/Product/Texture/Image/UiFubenActivityBanner/FubenActivityBanner21.png		10321	11736		CONDITION_RPGTOWER_TASK_RED	CONDITION_RPGTOWER_DAILYREWARD_RED
2	Babel Tower: Sidereal Impression	FubenBabelTowerManager	Assets/Product/Texture/Image/UiFubenActivityBanner/FubenActivityBanner06.png		10307	20015		CONDITION_ACTIVITYBRIE_BABELTOWER_REWARD	
3	Magic Square Trial	FubenSpecialTrainManager	Assets/Product/Texture/Image/UiFubenActivityBanner/FubenActivityBanner73.png		10316	85010		CONDITION_SPECIALTRAIN_RED	
4	Starry Conversations	PokerGuessingManager	Assets/Product/Texture/Image/UiFubenActivityBanner/FubenActivityBanner81.png		10333	11761		CONDITION_POKER_GUESSING_RED	
5	Overwinter	FubenRepeatChallengeManager	Assets/Product/Texture/Image/UiFubenActivityBanner/FubenActivityBanner09.png	15901	10309	20017	1	CONDITION_REPEAT_CHALLENGE_REWARD	
6	Sinister Craft	FubenActivityBossSingleManager	Assets/Product/Texture/Image/UiFubenActivityBanner/FubenActivityBanner100.png	15021	10304	11724	5	CONDITION_ACTIVITYBRIE_BOSSSINGLE	
7	Operation Uniframe	PivotCombatManager	Assets/Product/Texture/Image/UiFubenActivityBanner/FubenActivityBanner60.png		10422	82070		CONDITION_PIVOTCOMBAT_ALL_RED_POINT	
8	Circuit Connect: Force Unleashed	SameColorActivityManager	Assets/Product/Texture/Image/UiFubenActivityBanner/FubenActivityBanner61.png		10413	82010		CONDITION_SAMECOLOR_TASK	
9	Simulacrum Submersion	RiftManager	Assets/Product/Texture/Image/UiFubenActivityBanner/FubenActivityBanner88.png		10437	88003		CONDITION_RIFT_ENTRANCE	
10	Co-op Mode	DlcHuntManager	Assets/Product/Texture/Image/UiFubenActivityBanner/FubenActivityBannerDlcHunt.png			87001			
11	Cat Grab	GoldenMinerManager	Assets/Product/Texture/Image/UiFubenActivityBanner/FubenActivityBanner64.png		10426	20122			
12	Spectroscopic Binary Star	FubenCoupleCombatManager	Assets/Product/Texture/Image/UiFubenActivityBanner/FubenActivityBanner68.png		10343	82001		CONDITION_COUPLE_COMBAT_TASK_REWARD	
13	Arcade Anima: Alpha	CharacterTowerManager	Assets/Product/Texture/Image/UiFubenActivityBanner/FubenActivityBanner89.png		10436	11770			
14	Arcade Anima: Watanabe	CharacterTowerManager	Assets/Product/Texture/Image/UiFubenActivityBanner/FubenActivityBanner90.png		10436	11768			
15	Endless Summer Blue	FashionStoryManager	Assets/Product/Texture/Image/UiFubenActivityBanner/FubenActivityBanner86.png			11773		CONDITION_FASHION_STORY_HAVE_STAGE	
16	Palette Clash	ColorTableManager	Assets/Product/Texture/Image/UiFubenActivityBanner/FubenActivityBanner94.png					CONDITION_COLORTABLE_ENTRANCE	
17	Blazing Trails	BrilliantWalkManager	Assets/Product/Texture/Image/UiFubenActivityBanner/FubenActivityBanner92.png		10439	89001		CONDITION_BRILLIANTWALK_ENTRANCE	
18	Memory Rescue - Canvas Chronicle	MemorySaveManager	Assets/Product/Texture/Image/UiFubenActivityBanner/FubenActivityBanner91.png		10351	88005		CONDITION_MEMORYSAVE_ALL_RED_POINT	
19	Joyous Wrappings	FubenSpecialTrainManager	Assets/Product/Texture/Image/UiFubenActivityBanner/FubenActivityBanner95.png	15201	10316	89007	9	CONDITION_SPECIALTRAIN_RED	
20	Abyssal Unbounded	FubenNewCharActivityManager	Assets/Product/Texture/Image/UiFubenActivityBanner/FubenActivityBanner101.png	15821	10325	20071	2	CONDITION_KOROMCHARACTIVITYMAINRED	
21	Ultimate Brawl - Deadlocked	SuperSmashBrosManager	Assets/Product/Texture/Image/UiFubenActivityBanner/FubenActivityBanner99.png	15111	10350	20104	6		
22	Cooking Lulu	RestaurantManager	Assets/Product/Texture/Image/UiFubenActivityBanner/FubenActivityBanner97.png	15304	10443	89008	8	CONDITION_RESTAURANT_ENTRANCE	
23	Arcade Anima: Nanami	CharacterTowerManager	Assets/Product/Texture/Image/UiFubenActivityBanner/FubenActivityBanner96.png	15102	10436	11776	4		
24	Corrupted Battlefront	Maverick2Manager	Assets/Product/Texture/Image/UiFubenActivityBanner/FubenActivityBanner98.png	15011	10445	89011	7	CONDITION_MAVERICK2	
25	Daydream Believer	TwoSideTowerManager	Assets/Product/Texture/Image/UiFubenActivityBanner/FubenActivityBanner102.png	15701	403	89012	3		
