Id	AreaGroupId[1]	AreaGroupId[2]	AreaGroupId[3]	AreaGroupId[4]	AreaGroupId[5]	AreaGroupId[6]	AreaGroupId[7]	AreaGroupId[8]	AreaGroupId[9]	AreaGroupId[10]	AreaGroupId[11]	AreaGroupId[12]	AreaGroupId[13]	AreaGroupId[14]	AreaGroupId[15]	AreaGroupId[16]
1	2	8	3													
2	4	5	10	2	6											
3	4	5	10	2	6											
4	2	8	3													
5	4	5	10	2	6											
6	4	5	10	2	6											
7	2	8	3													
8	4	5	10	2	6											
9	4	5	10	2	6											
10	4	5	10	2	6											
11	33	305	71	119	128											
12	350	351	357	104	135	151	190	220	242	269	291	326	345	11	54	80
14	98	179	69	196	39	296	38	285	64	162	102	348				
15	79	179	39	195	101	286	121	161	18	306	167					
16	361	362	363	364	365	366	367	368	369	370						
17	371	372	373	374	375	376	377	378	379	380						
18	381	382	383	384	385	386	387	388	389	390						
19	391	392	393	394	395	396	397	398	399	400						
20	401	402	403	404	405	406	407	408	409	410						
21	411	412	413	414	415	416	417	418	419	420						
