Id	StageId	Level	RecommendAblity	Name	Desc	ScoreRatio	FightEventId[1]	FightEventId[2]	LockBuffId[1]	LockBuffId[2]	LockBuffId[3]	LockBuffId[4]	LockBuffId[5]	LockBuffId[6]	LockBuffId[7]	LockBuffId[8]	LockBuffId[9]	LockBuffId[10]	LockBuffId[11]	LockBuffId[12]	LockBuffId[13]	LockBuffId[14]	LockBuffId[15]	LockBuffId[16]	LockBuffId[17]	LockBuffId[18]	LockBuffId[19]	LockBuffId[20]	LockBuffId[21]	LockBuffId[22]	LockBuffId[23]	LockBuffId[24]	LockBuffId[25]	UnlockCondLevel	ScoreTitleUnlockDesc
1	30150235	1	4500	<color=#FFFFFFFF>Stable</color>	Final Strategic Lv. *1	1	11041																											0	
2	30150235	2	5300	<color=#c4ff67FF>Overload</color>	Final Strategic Lv. *1.2	1.2	11042																											0	
3	30150235	3	6000	<color=#67fdffFF>Haywire</color>	Final Strategic Lv. *1.4	1.4	11043																											0	
4	30150235	4	6500	<color=#fffc00FF>Berserk</color>	Final Strategic Lv. *1.6	1.6	11044																											0	
5	30150235	5	7000	<color=#ff003cFF>Overclock</color>	Final Strategic Lv. *2	2	11045																											0	
6	30150236	1	4500	<color=#FFFFFFFF>Stable</color>	Final Strategic Lv. *1	1	11041																											0	
7	30150236	2	5300	<color=#c4ff67FF>Overload</color>	Final Strategic Lv. *1.2	1.2	11042																											0	
8	30150236	3	6000	<color=#67fdffFF>Haywire</color>	Final Strategic Lv. *1.4	1.4	11043																											0	
9	30150236	4	6500	<color=#fffc00FF>Berserk</color>	Final Strategic Lv. *1.6	1.6	11044																											0	
10	30150236	5	7000	<color=#ff003cFF>Overclock</color>	Final Strategic Lv. *2	2	11045																											0	
11	30150237	1	4500	<color=#FFFFFFFF>Stable</color>	Final Strategic Lv. *1	1	11041																											0	
12	30150237	2	5300	<color=#c4ff67FF>Overload</color>	Final Strategic Lv. *1.2	1.2	11042																											0	
13	30150237	3	6000	<color=#67fdffFF>Haywire</color>	Final Strategic Lv. *1.4	1.4	11043																											0	
14	30150237	4	6500	<color=#fffc00FF>Berserk</color>	Final Strategic Lv. *1.6	1.6	11044																											0	
15	30150237	5	7000	<color=#ff003cFF>Overclock</color>	Final Strategic Lv. *2	2	11045																											0	
16	30150238	1	4500	<color=#FFFFFFFF>Stable</color>	Final Strategic Lv. *1	1	14001		32022	32023	32001	11002	11003	32031	32031	32032	32033	32151	11012	11013	33231	32131	33341	11041	11042	11043	11044	11045						0	
17	30150238	2	5300	<color=#c4ff67FF>Overload</color>	Final Strategic Lv. *1.3	1.3	14002		32022	32023	32001	11002	11003	32031	32032	32033	32151	11013	33231	32131	33341	11041	11042	11043	11044	11045								0	
18	30150238	3	6000	<color=#67fdffFF>Haywire</color>	Final Strategic Lv. *1.5	1.5	14003		32023	32001	11003	32031	32033	32151	11013	33231	32131	33341	11041	11042	11043	11044	11045											0	
19	30150238	4	6500	<color=#fffc00FF>Berserk</color>	Final Strategic Lv. *1.8	1.8	14004		32001	32151	33231	33341	11041	11042	11043	11044	11045																	0	
20	30150238	5	7000	<color=#ff003cFF>Overclock</color>	Final Strategic Lv. *2	2	14005																											0	
21	30150239	1	4500	<color=#FFFFFFFF>Stable</color>	Final Strategic Lv. *1	1	14001		32111	32112	32113	33151	32121	11002	11003	11011	11012	11013	33231	32131	33341	13001	13002	13003	11041	11042	11043	11044	11045					0	
22	30150239	2	5300	<color=#c4ff67FF>Overload</color>	Final Strategic Lv. *1.3	1.3	14002		32112	32113	33151	32121	11002	11003	11012	11013	33231	32131	33341	13002	13003	11041	11042	11043	11044	11045								0	
23	30150239	3	6000	<color=#67fdffFF>Haywire</color>	Final Strategic Lv. *1.5	1.5	14003		32112	32113	33151	32121	11003	11013	33231	32131	33341	13003	11041	11042	11043	11044	11045											0	
