Id	BuffId	RequireAbility	NeedCharacter	Condition	ShowFightEventIds[1]	ShowFightEventIds[2]	ShowFightEventIds[3]
12010101		4000	3		760221	760352	
12010102		4000	1		780193	760312	
12010201		4000	2		760432	760273	760243
12010202		4000	2		760312	780181	
12010301		4000	3		778200	760303	760243
12010302		4000	1		760291	760042	760452
12020101		4400	1		760343		
12020102		4400	1		760391	760242	760133
12020103		4400	2		760253	760263	760133
12020201		4400	1		780193	760303	760423
12020202		4400	2		760313	760253	760333
12020203		4400	1		760391	760303	780081
12020301		4400	1		760353	760243	
12020302		4400	2		778200	760292	760343
12020303		4400	1		760423	760133	760343
12030101		4800	2		760453	760391	760353
12030102		4800	2		760042	760132	760221
12030103		4800	1		780192	760253	760231
12030201		4800	2		760303		
12030202		4800	2		780191	760353	
12030203		4800	1		760253	760211	
12030301		4800	2		778200	760341	760243
12030302		4800	2		760323	760313	
12030303		4800	1		760343	760231	
12040101		5200	2		760253	760451	
12040102		5200	1		760391	760373	760133
12040103		5200	2		760323	760343	760261
12040201		5200	2				
12040202		5200	1		760221		
12040203		5200	2		760321		
12040301		5200	2		778200	760452	760351
12040302		5200	2		780153	760391	
12040303		5200	1		760133	760243	760231
12050101		5400	2		760131		
12050102		5400	3		760313	760251	760341
12050103		5400	1		760343		
12050201		5400	3		760293	760243	760341
12050202		5400	1		760341	760271	760351
12050203		5400	2		760301	760353	760213
12050301		5400	1		760253	760322	760352
12050302		5400	2		760411	760221	760313
12050303		5400	3		778200	760343	760213
12060101		5600	1				
12060102		5600	3		760341	760221	760291
12060103		5600	3		760411	760131	760251
12060201		5600	3		780053	760341	
12060202		5600	1		760241	760341	760351
12060203		5600	3		760341	760251	
12060301		5600	3		778200	760493	760243
12060302		5600	3		760251		
12060303		5600	1		760221		
12070101		5800	3		760351	760371	
12070102		5800	3				
12070103		5800	2				
12070201		5800	3		760311	760331	760251
12070202		5800	3				
12070203		5800	2		760221	760311	
12070301		5800	2				
12070302		5800	3		778200	760321	
12070303		5800	3		760291	760351	760221
12080101		6000	3		760431		
12080102		6000	3		760301	760311	760471
12080103		6000	3		760211	760131	760251
12080201		6000	3		760241		
12080202		6000	3		760221	760301	760271
12080203		6000	3		760291		
12080301		6000	3		778200	760471	
12080302		6000	3		760251	760281	
12080303		6000	3				
12090101		6000	3		760451	760491	760272
12090102		6000	3		760221	760343	760372
12090103		6000	3		780001	760313	760331
12090201		6000	3		760253	760332	760413
