ChapterId	StageType	UnlockLessonPoint	UnlockLv	PrevChapterIds[1]	ClearPoint	StageIds[1]	StageIds[2]	StageIds[3]	Order	Name	LockDesc
1	1		5		0	30110001	30110002	30110003	1	Basic Controls Course	Unlocked by default
2	1		30		0	30110004	30110005	30110006	1	Basic Technique Course	Unlocks at Commandant Lv.30
3	2	80			9	30110007	30110008	30110009	1	TC-B License Upgrade Exam	Total Achievement Points reach 80
4	1		40		0	30110010	30110011	30110012	1	Coordination Skill Subject	Unlocks at Commandant Lv.40
5	1		52		0	30110013	30110014	30110015	1	Uniframe Combat Subject	Unlocks at Commandant Lv.52
6	2	180		3	9	30110016	30110017	30110018	1	TC-A License Upgrade Exam	Achieve 9★ in TC-B Exam and obtain a total of 180 Achievement Points
7	1		61		0	30110019	30110020	30110021	1	Advanced Coordination Subject	Unlocks at Commandant Lv.61
8	1		70		0	30110022	30110023	30110024	1	Advanced Skill Subject	Unlocks at Commandant Lv.70
9	2	280		6	9	30110025	30110026	30110027	1	TC-S License Upgrade Exam	Achieve 9★ in TC-A Exam and obtain a total of 280 Achievement Points
10	2	300		9	9	30110028	30110029	30110030	1	TC-X License Upgrade Exam	Achieve 9★ in TC-S Exam and obtain a total of 300 Achievement Points
