Id	GroupId	PreStageId	FightEventId	Name	BuffDesc
30162252	1	0	0	Defense Point 1-1	Defense War
30162253	1	30162252	0	Defense Point 1-2	Defense War
30162254	1	30162253	0	Defense Point 1-3	Attack War
30162255	2	30162254	0	Defense Point 2-1	Defense War
30162256	2	30162255	0	Defense Point 2-2	Defense War
30162257	2	30162256	0	Defense Point 2-3	Attack War
30162258	3	30162257	0	Defense Point 3-1	Defense War
30162259	3	30162258	0	Defense Point 3-2	Defense War
30162260	3	30162259	0	Defense Point 3-3	Attack War
30162261	4	30162260	0	Defense Point 4-1	Defense War
30162262	4	30162261	0	Defense Point 4-2	Defense War
30162263	4	30162262	0	Defense Point 4-3	Attack War
30162264	5	30162263	0	Defense Point 5-1	Defense War
30162265	5	30162264	0	Defense Point 5-2	Attack War
30162266	5	30162265	0	Defense Point 5-3	Attack War
30162267	6	30162266	0	Defense Point 6-1	Defense War
30162268	6	30162267	0	Defense Point 6-2	Defense War
30162269	6	30162268	0	Defense Point 6-3	Attack War
30162270	7	30162269	0	Defense Point 7-1	Defense War
30162271	7	30162270	0	Defense Point 7-2	Defense War
30162272	7	30162271	0	Defense Point 7-3	Attack War
30162273	8	30162272	0	Defense Point 8-1	Defense War
30162274	8	30162273	0	Defense Point 8-2	Attack War
30162275	8	30162274	0	Defense Point 8-3	Attack War
30162276	9	30162275	0	Watcher's Tower - 1F	Tranquility
30162277	9	30162276	34049	Watcher's Tower - 2F	All units lose Physical Resistance
30162278	9	30162277	34045	Watcher's Tower - 3F	All units deal more damage
30162279	9	30162278	34052	Watcher's Tower - 4F	All units lose Ice Resistance
30162280	9	30162279	34043	Watcher's Tower - 5F	All units gain movement speed
30162281	9	30162280	34050	Watcher's Tower - 6F	All units lose Fire Resistance
30162282	9	30162281	34048	Watcher's Tower - 7F	Lightning will be cast at random spots to attack random units
30162283	9	30162282	34051	Watcher's Tower - 8F	All units lose Lightning Resistance
30162284	9	30162283	34047	Watcher's Tower - 9F	All units lose movement speed
30162285	9	30162284	34053	Watcher's Tower - 10F	All units lose Dark Resistance
30162286	9	30162285	34046	Watcher's Tower - 11F	All units gain all Resistances
30162287	9	30162286	34048	Watcher's Tower - 12F	Lightning will be cast at random spots to attack random units
30162288	9	30162287	0	Watcher's Tower - 13F	Tranquility
30162289	9	30162288	34049	Watcher's Tower - 14F	All units lose Physical Resistance
30162290	9	30162289	34045	Watcher's Tower - 15F	All units deal more damage
30162291	9	30162290	34052	Watcher's Tower - 16F	All units lose Ice Resistance
30162292	9	30162291	34043	Watcher's Tower - 17F	All units gain movement speed
30162293	9	30162292	34050	Watcher's Tower - 18F	All units lose Fire Resistance
30162294	9	30162293	34048	Watcher's Tower - 19F	Lightning will be cast at random spots to attack random units
30162295	9	30162294	34051	Watcher's Tower - 20F	All units lose Lightning Resistance
30162296	9	30162295	34047	Watcher's Tower - 21F	All units lose movement speed
30162297	9	30162296	34053	Watcher's Tower - 22F	All units lose Dark Resistance
30162298	9	30162297	34046	Watcher's Tower - 23F	All units gain all Resistances
30162299	9	30162298	34048	Watcher's Tower - 24F	Lightning will be cast at random spots to attack random units
30162351	9	30162299	0	Watcher's Tower - 25F	Tranquility
30162352	9	30162351	34049	Watcher's Tower - 26F	All units lose Physical Resistance
30162353	9	30162352	34045	Watcher's Tower - 27F	All units deal more damage
30162354	9	30162353	34052	Watcher's Tower - 28F	All units lose Ice Resistance
30162355	9	30162354	34043	Watcher's Tower - 29F	All units gain movement speed
30162356	9	30162355	34050	Watcher's Tower - 30F	All units lose Fire Resistance
30162357	9	30162356	34048	Watcher's Tower - 31F	Lightning will be cast at random spots to attack random units
30162358	9	30162357	34051	Watcher's Tower - 32F	All units lose Lightning Resistance
30162359	9	30162358	34047	Watcher's Tower - 33F	All units lose movement speed
30162360	9	30162359	34053	Watcher's Tower - 34F	All units lose Dark Resistance
30162361	9	30162360	34046	Watcher's Tower - 35F	All units gain all Resistances
30162362	9	30162361	34048	Watcher's Tower - 36F	Lightning will be cast at random spots to attack random units
30162363	9	30162362	0	Watcher's Tower - 37F	Tranquility
30162364	9	30162363	34049	Watcher's Tower - 38F	All units lose Physical Resistance
30162365	9	30162364	34045	Watcher's Tower - 39F	All units deal more damage
30162366	9	30162365	34052	Watcher's Tower - 40F	All units lose Ice Resistance
30162367	9	30162366	34043	Watcher's Tower - 41F	All units gain movement speed
30162368	9	30162367	34050	Watcher's Tower - 42F	All units lose Fire Resistance
30162369	9	30162368	34048	Watcher's Tower - 43F	Lightning will be cast at random spots to attack random units
30162370	9	30162369	34051	Watcher's Tower - 44F	All units lose Lightning Resistance
30162371	9	30162370	34047	Watcher's Tower - 45F	All units lose movement speed
30162372	9	30162371	34053	Watcher's Tower - 46F	All units lose Dark Resistance
30162373	9	30162372	34046	Watcher's Tower - 47F	All units gain all Resistances
30162374	9	30162373	34048	Watcher's Tower - 48F	Lightning will be cast at random spots to attack random units
