Id	CharacterId	Type[1]	Type[2]	Type[3]	Type[4]	Type[5]	LockSkill[1]	SkillLevel[1]	LockLevel[1]	LockSkill[2]	SkillLevel[2]	LockLevel[2]	LockSkill[3]	SkillLevel[3]	LockLevel[3]	LockSkill[4]	SkillLevel[4]	LockLevel[4]	Elements[1]	ReferenceComboId[1]	ReferenceComboId[2]	ReferenceComboId[3]	ReferenceComboId[4]	ReferenceComboId[5]
201	1011002	101		302			101224	1	9	101225	1	18	101227	1	18	101226	1	27	2	302		101		
202	1021001	101		301			102124	1	9	102125	1	18	102127	1	18	102126	1	27	1	301		101		
203	1031001	103		301			103124	1	9	103125	1	18	103127	1	18	103126	1	27	1	301		103		
204	1041002	101		307	400		104224	1	9	104225	1	18	104227	1	18	104226	1	27	1	307		101	400	
205	1051001	102		308			105124	1	9	105125	1	18	105127	1	18	105126	1	27	1	308		102		
206	1061002	102		304	401		106224	1	9	106225	1	18	106227	1	18	106226	1	27	1	304		102	401	
207	1071002	101		305	400		107224	1	9	107225	1	18	107227	1	18	107226	1	27	1	305		101	400	
208	1081002	101		306	401		108224	1	9	108225	1	18	108227	1	18	108226	1	27	1	306		101	401	
209	1021002	101		302			102224	1	9	102225	1	18	102227	1	18	102226	1	27	4	302		101		
210	1031002	103		302			103224	1	9	103225	1	18	103227	1	18	103226	1	27	4	302		103		
211	1011003	101		303			101324	1	9	101325	1	18	101327	1	18	101326	1	27	1	303		101		
212	1031003	103		303			103324	1	9	103325	1	18	103327	1	18	103326	1	27	1	303		103		
213	1061003	102					106324	1	9	106325	1	18	106327	1	18	106326	1	27	5			102		
214	1071003	101		305	404		107324	1	9	107325	1	18	107327	1	18	107326	1	27	2	305		101	404	
215	1051003	102		308	404		105324	1	9	105325	1	18	105327	1	18	105326	1	27	2	308		102	404	
216	1021003	101			402		102324	1	9	102325	1	18	102327	1	18	102326	1	27	1			101	402	
217	1081003	101		306			108324	1	9	108325	1	18	108327	1	18	108326	1	27	5	306		101		
218	1091002	102		310			109224	1	9	109225	1	18	109227	1	18	109226	1	27	1	310		102		
219	1041003	101		307			104324	1	9	104325	1	18	104327	1	18	104326	1	27	4	307		101		
220	1111002	103		309			111224	1	9	111225	1	18	111227	1	18	111226	1	27	2	309		103		
221	1121002	102		304			112224	1	9	112225	1	18	112227	1	18	112226	1	27	4	304		102		
222	1021004	101		303			102424	1	9	102425	1	18	102427	1	18	102426	1	27	3	303		101		
223	1131002	103		311	403		113224	1	9	113225	1	18	113227	1	18	113226	1	27	5	311		103	403	
224	1141003	102					114324	1	9	114325	1	18	114327	1	18	114326	1	27	1			102		
225	1161002	102		309			116224	1	9	116225	1	18	116227	1	18	116226	1	27	3	309		102		
226	1171003	101			402		117324	1	9	117325	1	18	117327	1	18	117326	1	27	5			101	402	
227	1211002	103		304			121224	1	9	121225	1	18	121227	1	18	121226	1	27	3	304		103		
228	1121003	102					112324	1	9	112325	1	18	112327	1	18	112326	1	27	3			102		
229	1221002	102		311	403		122224	1	9	122225	1	18	122227	1	18	122226	1	27	5	311		102	403	
230	1131003	102		311			113324	1	9	113325	1	18	113327	1	18	113326	1	27	4	311		102		
231	1031004	104					103424	1	9	103425	1	18	103427	1	18	103426	1	27	2			104		
232	1531004	104		310			153424	1	9	153425	1	18	153427	1	18	153426	1	27	5	310		104		
233	1051004	102		308			105424	1	9	105425	1	18	105427	1	18	105426	1	27	2	308		102		
234	1071004	102		305			107424	1	9	107425	1	18	107427	1	18	107426	1	27	5	305		102		
