Id	ChapterId	UnlockEvent[1]	UnlockEvent[2]	GainDesc[1]	GainDesc[2]	Icon	BuffName	Explain	EventId
1	1	302010101		Explore M-2		Assets/Product/Texture/Image/UiExplore/UiExploreIconDj1.png	Accelerate	Increase move speed by 20%.	302010101
2	1	302010301		Explore B II-2		Assets/Product/Texture/Image/UiExplore/UiExploreIconDj2.png	Assist	Enters the combat to assist for 10 sec when taking damage with less than 50% HP left.	302010301
3	1	302010701		Explore B III-2		Assets/Product/Texture/Image/UiExplore/UiExploreIconDj3.png	Weaken	Reduces the HP of Iron Maiden by 50% when facing her.	302010701
4	1	302011101		Explore B I-5		Assets/Product/Texture/Image/UiExplore/UiExploreIconDj4.png	ATK Up	Extra DMG Bonus increases by 20%	302011101
5	2	302020101		Explore M 1-2		Assets/Product/Texture/Image/UiExplore/UiExploreIconDj5.png	DMG Reduction	Extra DMG Reduction increases by 15%	302020101
6	2	302020401		Explore M I-7		Assets/Product/Texture/Image/UiExplore/UiExploreIconDj6.png	Run-Up	Becomes accelerated when moving continuously out of combat.	302020401
7	2	302020701		Explore B-2		Assets/Product/Texture/Image/UiExplore/UiExploreIconDj7.png	Berserk	Increases all DMG by 3% when hitting an enemy. Lasts 7 sec and stacks up to 10 times.	302020701
8	2	302020801		Explore M II-6		Assets/Product/Texture/Image/UiExplore/UiExploreIconDj8.png	Support	Significantly enhances ally Constructs in the battle against Time Hunter.	302020801
9	3	302030201		Explore M I-2		Assets/Product/Texture/Image/UiExplore/UiExploreIconDj9.png	Energy Casting	Increase max HP by 1000.	302030201
10	3	302030301		Explore M I-3		Assets/Product/Texture/Image/UiExplore/UiExploreIconDj10.png	Kinetic	Increases DMG after moving continuously for 3 sec.	302030301
11	3	302030401		Explore B I-2		Assets/Product/Texture/Image/UiExplore/UiExploreIconDj11.png	Bio-Booster Arm	Extra DMG Bonus increases by 10%. Gain higher weight-bearing capacity.	302030401
12	3	302030701		Explore M I-8		Assets/Product/Texture/Image/UiExplore/UiExploreIconDj12.png	Lucky	15% chance to dodge the incoming DMG.	302030701
13	4	302040201		Explore M-3		Assets/Product/Texture/Image/UiExplore/UiExploreIconDj13.png	Perception	Increases Critical by 15%	302040201
14	4	302040301		Explore B II-2		Assets/Product/Texture/Image/UiExplore/UiExploreIconDj14.png	Iron Wall	Doubles the DEF. Increases the knowledge and understanding of machines.	302040301
15	4	302040401		Explore M-6		Assets/Product/Texture/Image/UiExplore/UiExploreIconDj15.png	Thunderclap	Increases move speed by 30%. Attacks have a chance to deal Lightning DMG.	302040401
16	4	302040501		Explore B III-1		Assets/Product/Texture/Image/UiExplore/UiExploreIconDj16.png	Steadfast	Extra DMG Bonus increases by 10%. Damage increases when HP is lower.	302040501
