Id	ChapterId	Name	IsBossNode	IsKeyNode	Type	TypeValue	Icon	PreShowId[1]	PreShowId[2]	PreShowId[3]	PreOpenId[1]	PreOpenId[2]	CostEndurance	RewardId	RewardIcon	CharacterIcon	TimeDesc	Posision[1]	Posision[2]	Title	Explain	EnterIco
1	1	M-1	0	1	2	TS00101BA							0			Assets/Product/Texture/Image/Role/RoleHeadGrayRaven.png	6:11			Unveiling the Golden Veil	Hidden in the darkness before Dawn, Gray Raven traveled through sandstorms and entered the unpopulated desert named "Golden Vortex".	Assets/Product/Texture/Image/UiExplore/UiExplorePlotTab01.png
2	1	M-2	0	0	1	30020101	Assets/Product/Texture/Image/UiExplore/UiExploreFubenNormal1.png	1					4	30020101	Assets/Product/Texture/Image/IconcurrencySp/IconConsumeMoneySp.png	Assets/Product/Texture/Image/Role/RoleHeadGrayRaven.png	6:22	1		First Conflict	After parting ways with Liv, Gray Raven and the guards of Golden Vortex had conflict for the first time.<color=#0e70bd>\nTeam BP Limit: 3000             Required units: 1</color>	Assets/Product/Texture/Image/UiExplore/UiExploreBattleTab01.png
3	1	M-3	0	0	2	TS00102BA		2					0			Assets/Product/Texture/Image/Role/RoleHeadGrayRaven.png	6:36			Mystery of the Light Pillar	In the center of Golden Vortex was a group of buildings shrouded in the "Golden Pillar". Its origin was still unknown to Gray Raven.	Assets/Product/Texture/Image/UiExplore/UiExplorePlotTab01.png
4	1	M-4	0	0	1	30020102	Assets/Product/Texture/Image/UiExplore/UiExploreFubenNormal1.png	3					4	30020102	Assets/Product/Texture/Image/IconcurrencySp/IconConsumeSPSp.png	Assets/Product/Texture/Image/Role/RoleHeadGrayRaven.png	6:47	1		Mystery of the Light Pillar	30 minutes after Liv left, Lucia found the remains of Goldfinch members. She swore that she would find out the murderer.<color=#0e70bd>\nTeam BP Limit: 3000             Required units: 1</color>	Assets/Product/Texture/Image/UiExplore/UiExploreBattleTab01.png
5	1	B II-1	0	0	2	TS00103BA		4					0			Assets/Product/Texture/Image/Role/RoleHeadSandSparrow.png	Yesterday 12:45			Value of Existence	Yesterday at noon time, Goldfinch changed their mission objective and started heading toward the center of Golden Vortex.	Assets/Product/Texture/Image/UiExplore/UiExplorePlotTab01.png
6	1	B II-2	0	0	1	30020103	Assets/Product/Texture/Image/UiExplore/UiExploreFubenNormal1.png	5					4	30020103	Assets/Product/Texture/Image/IconToolsSp/ItExpI010030Sp.png	Assets/Product/Texture/Image/Role/RoleHeadSandSparrow.png	Yesterday 15:55	1		Stumble	It took Goldfinch almost three hours before they finally arrived at the outer walls of the central area...<color=#0e70bd>\nTeam BP Limit: 3000             Required units: 1</color>	Assets/Product/Texture/Image/UiExplore/UiExploreBattleTab01.png
7	1	B II-3	0	0	1	30020104	Assets/Product/Texture/Image/UiExplore/UiExploreFubenNormal1.png	6					4	30020104	Assets/Product/Texture/Image/IconToolsSp/EGouliangI01001Sp.png	Assets/Product/Texture/Image/Role/RoleHeadSandSparrow.png	Yesterday 17:33	1		A Bridge Too Far	Goldfinch members were attacked and chased by the guards. By evening, they realized they no longer had the strength to move any further... <color=#0e70bd>\nTeam BP Limit: 3000             Required units: 1</color>	Assets/Product/Texture/Image/UiExplore/UiExploreBattleTab01.png
8	1	B II-4	0	0	2	TS00104BA		7					0			Assets/Product/Texture/Image/Role/RoleHeadSandSparrow.png	Yesterday 18:42			Contribution	As the night started to fall, Goldfinch members seemed to have foreseen their upcoming fate...	Assets/Product/Texture/Image/UiExplore/UiExplorePlotTab01.png
9	1	M-5	0	0	2	TS00105BA		4			7	21	0			Assets/Product/Texture/Image/Role/RoleHeadGrayRaven.png	6:58			Lone Raven	After the communication with Liv was cut, Lee left to search for her. Lucia stayed back with the commandant.	Assets/Product/Texture/Image/UiExplore/UiExplorePlotTab01.png
10	1	M-6	0	0	1	30020105	Assets/Product/Texture/Image/UiExplore/UiExploreFubenNormal1.png	9					4	30020105	Assets/Product/Texture/Image/IconcurrencySp/IconConsumeSPSp.png	Assets/Product/Texture/Image/Role/RoleHeadGrayRaven.png	7:15	1		Secret Passage	It had been an hour in Golden Vortex, and only Lucia and the commandant were left. They were forced to fall back to the underground secret passage.<color=#0e70bd>\nTeam BP Limit: 3000             Required units: 1</color>	Assets/Product/Texture/Image/UiExplore/UiExploreBattleTab01.png
11	1	M-7	0	0	1	30020106	Assets/Product/Texture/Image/UiExplore/UiExploreFubenNormal1.png	10					4	30020106	Assets/Product/Texture/Image/IconToolsSp/ItExpI010030Sp.png	Assets/Product/Texture/Image/Role/RoleHeadGrayRaven.png	7:30	1		The Queen and Hope	After hiding underground for 15 minutes... A Construct caught Lucia's attention. It was walking without purpose like a corpse.<color=#0e70bd>\nTeam BP Limit: 3000             Required units: 1</color>	Assets/Product/Texture/Image/UiExplore/UiExploreBattleTab01.png
12	1	M-8	0	0	2	TS00106BA		11					0			Assets/Product/Texture/Image/Role/RoleHeadGrayRaven.png	7:48			Royal Guards	The queen's royal guards chased after Lucia and the commandant. They had to run for almost an hour...	Assets/Product/Texture/Image/UiExplore/UiExplorePlotTab01.png
13	1	B III-1	0	0	2	TS00107BA		9					0			Assets/Product/Texture/Image/Role/RoleHeadLi3.png	7:07			Red Light, Green Light	Minutes after Lee left, he was trapped among a group of guards with peculiar behaviors...	Assets/Product/Texture/Image/UiExplore/UiExplorePlotTab01.png
14	1	B III-2	1	0	1	30020107	Assets/Product/Texture/Image/UiExplore/UiExploreFubenBoss1.png	13					4	30020107	Assets/Product/Texture/Image/IconToolsSp/E1GouliangMd010011Sp.png	Assets/Product/Texture/Image/Role/RoleHeadLi3.png	7:30	2		Battle in Alley	Lee struggled for half an hour trying to get rid of the guards. He moved to the secret passage, hoping the guards would be lost...<color=#0e70bd>\nTeam BP Limit: 3000             Required units: 2</color>	Assets/Product/Texture/Image/UiExplore/UiExploreBattleTab01.png
15	1	B III-3	0	0	2	TS00108BA		14					0			Assets/Product/Texture/Image/Role/RoleHeadLi3.png	7:42			Big Gamble	Lee fought a tough battle in the underground secret passage. The guards wanted to trap him to death...	Assets/Product/Texture/Image/UiExplore/UiExplorePlotTab01.png
16	1	M-9	0	0	2	TS00109BA		12	15		12	24	0			Assets/Product/Texture/Image/Role/RoleHeadGrayRaven.png	8:10			Letter of Invitation	When Lucia was trapped in a tough fight, the mysterious queen sent her royal guards to invite the commandant to her palace.	Assets/Product/Texture/Image/UiExplore/UiExplorePlotTab01.png
17	1	M-10	1	0	1	30020108	Assets/Product/Texture/Image/UiExplore/UiExploreFubenBoss1.png	16					4	30020108	Assets/Product/Texture/Image/IconcurrencySp/IconConsumeGemSp.png	Assets/Product/Texture/Image/Role/RoleHeadGrayRaven.png	8:20	2		Awakening	The invitation was in fact a subjugation. Lucia turned down the Queen's offer, so Gray Raven and the royal guards went to war.<color=#0e70bd>\nTeam BP Limit: 3000             Required units: 2</color>	Assets/Product/Texture/Image/UiExplore/UiExploreBattleTab01.png
18	1	M-11	0	1	2	TS00110BA		17					0			Assets/Product/Texture/Image/Role/RoleHeadGrayRaven.png	8:44			Queen's Arrival	It was nearly noon, the sun was hanging high in the sky and scorching the Golden Vortex. The "Golden Queen" finally revealed herself...	Assets/Product/Texture/Image/UiExplore/UiExplorePlotTab01.png
19	1	B I-1	0	0	1	30020109	Assets/Product/Texture/Image/UiExplore/UiExploreFubenNormal1.png	1					4	30020109	Assets/Product/Texture/Image/IconcurrencySp/IconConsumeMoneySp.png	Assets/Product/Texture/Image/Role/RoleHeadLifu3.png	6:41	1		Companion	Liv joined Browning, the leader of Goldfinch. They started searching for the tactical devices left behind by Goldfinch in the desert.<color=#0e70bd>\nTeam BP Limit: 3000             Required units: 1</color>	Assets/Product/Texture/Image/UiExplore/UiExploreBattleTab01.png
20	1	B I-2	0	0	2	TS00111BA		19					0			Assets/Product/Texture/Image/Role/RoleHeadLifu3.png	7:20			Digging Site	Browning finally found the device after searching in the desert for almost 40 minutes. But it was covered under some golden powder...	Assets/Product/Texture/Image/UiExplore/UiExplorePlotTab01.png
21	1	B I-3	0	0	1	30020110	Assets/Product/Texture/Image/UiExplore/UiExploreFubenNormal1.png	20					4	30020110	Assets/Product/Texture/Image/IconToolsSp/EGouliangI01001Sp.png	Assets/Product/Texture/Image/Role/RoleHeadLifu3.png	7:22	1		Protection	The device seemed to have attracted lots of guards. As they quickly came close, Liv swore to protect Browning...<color=#0e70bd>\nTeam BP Limit: 3000             Required units: 1</color>	Assets/Product/Texture/Image/UiExplore/UiExploreBattleTab01.png
22	1	B I-4	0	0	2	TS00112BA		21			9		0			Assets/Product/Texture/Image/Role/RoleHeadLifu3.png	7:40			Aftermath	After more than 10 minutes of digging, the device was almost out. But Browning triggered a landmine underneath it...	Assets/Product/Texture/Image/UiExplore/UiExplorePlotTab01.png
23	1	B I-5	0	0	1	30020111	Assets/Product/Texture/Image/UiExplore/UiExploreFubenNormal1.png	22					4	30020111	Assets/Product/Texture/Image/IconToolsSp/ItExpI190020Sp.png	Assets/Product/Texture/Image/Role/RoleHeadLifu3.png	7:41	1		Trojan Horse	To ensure the search mission could succeed, Liv decided to hack into the device's operating system...<color=#0e70bd>\nTeam BP Limit: 3000             Required units: 1</color>	Assets/Product/Texture/Image/UiExplore/UiExploreBattleTab01.png
24	1	B I-6	0	1	2	TS00113BA		23			12		0			Assets/Product/Texture/Image/Role/RoleHeadLifu3.png	7:46			Cheap Shot	Liv returned to her Construct after 5 minutes of hacking into the system. But Browning...	Assets/Product/Texture/Image/UiExplore/UiExplorePlotTab01.png
25	1	B I-7	0	1	2	TS00114BA		24			18		0			Assets/Product/Texture/Image/Role/RoleHeadLifu3.png	7:47			Explosive Encounter	Liv seized the opportunity for a "mutual destruction" with Browning...	Assets/Product/Texture/Image/UiExplore/UiExplorePlotTab01.png
51	2	M I-1	0	1	2	TS00115BA							0			Assets/Product/Texture/Image/Role/RoleHeadDubian3.png	9:08			Maverick	Watanabe reached the Golden Vortex in the morning. The enemy info was still unknown, but he charged in alone.	Assets/Product/Texture/Image/UiExplore/UiExplorePlotTab02.png
52	2	M I-2	0	0	1	30020201	Assets/Product/Texture/Image/UiExplore/UiExploreFubenNormal1.png	51					6	30020201	Assets/Product/Texture/Image/IconcurrencySp/IconConsumeMoneySp.png	Assets/Product/Texture/Image/Role/RoleHeadDubian3.png	9:15	1		Inquisition	Watanabe spent a few minutes observing the guards. He decided to capture one for inquisition.<color=#0e70bd>\nTeam BP Limit: 4000             Required units: 1</color>	Assets/Product/Texture/Image/UiExplore/UiExploreBattleTab02.png
