Id	StageId	GroupId	Diff	MonsterLevel[1]	MonsterLevel[2]	MonsterLevel[3]
1	30140101	1	1	497	235	185
2	30140107	1	1	497	235	185
3	30140109	1	1	497	235	185
4	30140110	1	1	497	235	185
5	30140111	1	1	497	235	185
6	30140112	1	1	497	235	185
7	30140201	1	1	289	139	109
8	30140202	1	1	289	139	109
9	30140203	1	1	289	139	109
10	30140204	1	1	289	139	109
11	30140205	1	1	289	139	109
12	30140206	1	1	289	139	109
13	30140207	1	1	289	139	109
14	30140208	1	1	289	139	109
15	30140209	1	1	289	139	109
16	30140210	1	1	289	139	109
17	30140211	1	1	289	139	109
18	30140212	1	1	289	139	109
19	30140301	1	1	570	286	224
20	30140307	1	1	570	286	224
21	30140309	1	1	570	286	224
22	30140310	1	1	570	286	224
23	30140311	1	1	570	286	224
24	30140312	1	1	570	286	224
25	30140401	1	1	342	164	129
26	30140402	1	1	342	164	129
27	30140403	1	1	342	164	129
28	30140404	1	1	342	164	129
29	30140405	1	1	342	164	129
30	30140406	1	1	342	164	129
31	30140407	1	1	342	164	129
32	30140408	1	1	342	164	129
33	30140409	1	1	342	164	129
34	30140410	1	1	342	164	129
35	30140411	1	1	342	164	129
36	30140412	1	1	342	164	129
37	30140501	1	1	654	343	267
38	30140507	1	1	654	343	267
39	30140509	1	1	654	343	267
40	30140510	1	1	654	343	267
41	30140511	1	1	654	343	267
42	30140512	1	1	654	343	267
43	30140113	1	1	506	239	189
44	30140117	1	1	506	239	189
45	30140120	1	1	506	239	189
46	30140213	1	1	295	142	111
47	30140214	1	1	295	142	111
48	30140215	1	1	295	142	111
49	30140216	1	1	295	142	111
50	30140217	1	1	295	142	111
51	30140218	1	1	295	142	111
52	30140219	1	1	295	142	111
53	30140220	1	1	295	142	111
54	30140313	1	1	579	293	227
55	30140317	1	1	579	293	227
56	30140320	1	1	579	293	227
57	30140413	1	1	347	167	131
58	30140414	1	1	347	167	131
59	30140415	1	1	347	167	131
60	30140416	1	1	347	167	131
61	30140417	1	1	347	167	131
62	30140418	1	1	347	167	131
63	30140419	1	1	347	167	131
64	30140420	1	1	347	167	131
65	30140513	1	1	661	350	272
66	30140517	1	1	661	350	272
67	30140520	1	1	661	350	272
68	30140121	1	1	375	386	298
69	30140122	1	1	375	386	298
70	30140124	1	1	375	386	298
71	30140125	1	1	503	386	298
72	30140126	1	1	503	386	298
73	30140221	1	1	293	225	176
74	30140222	1	1	293	225	176
75	30140223	1	1	293	225	176
76	30140224	1	1	293	225	176
77	30140225	1	1	293	225	176
78	30140226	1	1	293	225	176
79	30140227	1	1	293	225	176
80	30140228	1	1	293	225	176
81	30140229	1	1	293	225	176
82	30140230	1	1	219	225	176
83	30140321	1	1	456	469	363
84	30140322	1	1	456	469	363
85	30140324	1	1	456	469	363
86	30140325	1	1	576	469	363
87	30140326	1	1	576	469	363
88	30140421	1	1	345	265	208
89	30140422	1	1	345	265	208
90	30140423	1	1	345	265	208
91	30140424	1	1	345	265	208
92	30140425	1	1	345	265	208
93	30140426	1	1	345	265	208
94	30140427	1	1	345	265	208
95	30140428	1	1	345	265	208
96	30140429	1	1	345	265	208
97	30140430	1	1	259	265	208
98	30140521	1	1	530	541	435
99	30140522	1	1	530	541	435
100	30140524	1	1	530	541	435
101	30140525	1	1	657	541	435
102	30140526	1	1	657	541	435
103	30140101	1	2	559	279	214
104	30140107	1	2	559	279	214
105	30140109	1	2	559	279	214
106	30140110	1	2	559	279	214
