Id	GroupId	LevelId[0]	LevelId[1]	LevelId[2]	LevelId[3]	UnlockSpend	Name	Icon
1	1	1001	1002	1003	1004	25	Kill Enemies, Recover Orbs	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21151.png
2	1	1101	1102	1103	1104	25	Combo Blast	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon22070.png
3	1	1201	1202	1203	1204	50	Collateral Damage	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon32101.png
4	2	3201	3202	3203	3204	25	Medusa's Curse	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon12112.png
5	2	3101	3102	3103	3104	50	Exploding Corpse	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21063.png
6	2	3001	3002	3003	3004	100	HP Reduction	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon33103.png
7	3	2001	2002	2003	2004	50	Black Hole Anima	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon32161.png
8	3	2101	2102	2103	2104	100	Frozen Domain	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21233.png
9	3	2201	2202	2203	2204	150	Indomitable Tyranny	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon32001.png
10	4	4001	4002	4003	4004	100	Mission Extension	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon12123.png
11	4	4101	4102	4103	4104	150	Extra Strike	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon22060.png
12	4	4201	4202	4203	4204	150	Laser Support	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21073.png
