Id	FightEventId	UnlockSpend	SkillDesc
1001	97171	50	30% chance to drop 1 random Signal Orb after an enemy dies
1002	97172	100	30% chance to drop 2 random Signal Orbs after an enemy dies
1003	97173	200	35% chance to drop 2 random Signal Orbs after an enemy dies
1004	97174	400	40% chance to drop 2 random Signal Orbs after an enemy dies
1101	97175	50	Every 60-hit combo, unleash a shockwave around you that deals 200% Physical DMG
1102	97176	100	Every 50-hit combo, unleash a shockwave around you that deals 250% Physical DMG
1103	97177	200	Every 40-hit combo, unleash a shockwave around you that deals 300% Physical DMG
1104	97178	400	Every 30-hit combo, unleash a shockwave around you that deals 350% Physical DMG
1201	97179	50	Attacks from members deal +50 Physical DMG
1202	97180	100	Attacks from members deal +100 Physical DMG
1203	97181	200	Attacks from members deal +150 Physical DMG
1204	97182	400	Attacks from members deal +200 Physical DMG
2001	97183	50	Releases a minor black hole every 20s at the character's location
2002	97184	100	Releases a minor black hole every 10s at the character's location
2003	97185	200	Releases a major black hole every 10s at the character's location
2004	97186	400	Releases a major black hole every 5s at the character's location
2101	97187	50	20% chance to freeze the enemy for 3s and inflict 80% Ice DMG on surrounding enemies
2102	97188	100	30% chance to freeze the enemy for 3s and inflict 100% Ice DMG on surrounding enemies
2103	97189	200	40% chance to freeze the enemy for 4s and inflict 120% Ice DMG on surrounding enemies
2104	97190	400	50% chance to freeze the enemy for 4s and inflict 150% Ice DMG on surrounding enemies
2201	97191	50	Gains Super Armor. 10% chance to recover 1 Energy when attacking.
2202	97192	100	Gains Super Armor. 15% chance to recover 2 Energy when attacking.
2203	97193	200	Gains Super Armor. 20% chance to recover 3 Energy when attacking.
2204	97194	400	Gains Super Armor. 25% chance to recover 4 Energy when attacking.
3001	97151	50	Reduces total HP of all enemies by 10% permanently
3002	97152	100	Reduces total HP of all enemies by 15% permanently
3003	97153	200	Reduces total HP of all enemies by 20% permanently
3004	97154	400	Reduces total HP of all enemies by 25% permanently
3101	97195	50	Enemies self-destruct on death, dealing 5% total HP to enemies within 2m
3102	97196	100	Enemies self-destruct on death, dealing 10% total HP to enemies within 2m
3103	97197	200	Enemies self-destruct on death, dealing 10% total HP to enemies within 4m
3104	97198	400	Enemies self-destruct on death, dealing 15% total HP to enemies within 4m
3201	97199	50	30% chance to petrify the enemy for 5s every 16s
3202	97200	100	35% chance to petrify the enemy for 5s every 13s
3203	97201	200	40% chance to petrify the enemy for 5s every 10s
3204	97202	400	50% chance to petrify the enemy for 5s every 7s
4001	97161	50	Mission time extends by 4s for every 25 enemies defeated. Max 10 activations
4002	97162	100	Mission time extends by 4s for every 20 enemies defeated. Max 10 activations
4003	97163	200	Mission time extends by 6s for every 20 enemies defeated. Max 10 activations
4004	97164	400	Mission time extends by 6s for every 15 enemies defeated. Max 10 activations
4101	97165	50	There is a 10% chance that each kill counts as 2 kills
4102	97166	100	There is a 15% chance that each kill counts as 2 kills
4103	97167	200	There is a 20% chance that each kill counts as 2 kills
4104	97168	400	There is a 25% chance that each kill counts as 2 kills
4201	97203	50	Summon 1 laser to defeat the enemy every 30s (Rigid Body Immunity)
4202	97204	100	Summon 2 lasers to defeat the enemy every 25s (Rigid Body Immunity)
4203	97205	200	Summon 3 lasers to defeat the enemy every 20s (Rigid Body Immunity)
4204	97206	400	Summon 3 lasers to defeat the enemy every 10s (Rigid Body Immunity)
