Id	RegionId	ActivityId	OpenTime	Difficulty	SecondaryRegionIndex	SecondaryRegionBackground	StageLibId	TotalSupplyEnergyLevelLimit	EffectLibId	RegionName	SmallIcon	TaskGroupId
1	1	8	0	1	5	Assets/Product/Texture/Image/UiPivotCombat/UiPivotCombatBgThunder.png	401	0	1	Hyper Electric Converter	Assets/Product/Texture/Image/IconType/IconTypeYsLeiWhite.png	13
2	2	8	172800	1	4	Assets/Product/Texture/Image/UiPivotCombat/UiPivotCombatBgPhysical.png	402	0	2	Power Lab	Assets/Product/Texture/Image/IconType/IconTypeYsWuliWhite.png	13
3	3	8	345600	1	2	Assets/Product/Texture/Image/UiPivotCombat/UiPivotCombatBgFire.png	403	0	3	Burning Reactor	Assets/Product/Texture/Image/IconType/IconTypeYsHuoWhite.png	13
4	4	8	604800	1			4001	3	1	Central Area		13
5	1	8	0	2	5	Assets/Product/Texture/Image/UiPivotCombat/UiPivotCombatBgThunder.png	411	0	1	Hyper Electric Converter	Assets/Product/Texture/Image/IconType/IconTypeYsLeiWhite.png	15
6	2	8	172800	2	4	Assets/Product/Texture/Image/UiPivotCombat/UiPivotCombatBgPhysical.png	412	0	2	Power Lab	Assets/Product/Texture/Image/IconType/IconTypeYsWuliWhite.png	15
7	3	8	345600	2	2	Assets/Product/Texture/Image/UiPivotCombat/UiPivotCombatBgFire.png	413	0	3	Burning Reactor	Assets/Product/Texture/Image/IconType/IconTypeYsHuoWhite.png	15
8	4	8	604800	2			4011	3	1	Central Area		15
9	1	9	0	1	5	Assets/Product/Texture/Image/UiPivotCombat/UiPivotCombatBgThunder.png	401	0	1	Hyper Electric Converter	Assets/Product/Texture/Image/IconType/IconTypeYsLeiWhite.png	14
10	2	9	172800	1	4	Assets/Product/Texture/Image/UiPivotCombat/UiPivotCombatBgShadow.png	404	0	2	Eclipse Generator	Assets/Product/Texture/Image/IconType/IconTypeYsAnWhite.png	14
11	3	9	345600	1	2	Assets/Product/Texture/Image/UiPivotCombat/UiPivotCombatBgIce.png	405	0	3	Frost Coolant Pool	Assets/Product/Texture/Image/IconType/IconTypeYsBingWhite.png	14
12	4	9	604800	1			4002	3	1	Central Area		14
13	1	9	0	2	5	Assets/Product/Texture/Image/UiPivotCombat/UiPivotCombatBgThunder.png	411	0	1	Hyper Electric Converter	Assets/Product/Texture/Image/IconType/IconTypeYsLeiWhite.png	16
14	2	9	172800	2	4	Assets/Product/Texture/Image/UiPivotCombat/UiPivotCombatBgShadow.png	414	0	2	Eclipse Generator	Assets/Product/Texture/Image/IconType/IconTypeYsAnWhite.png	16
15	3	9	345600	2	2	Assets/Product/Texture/Image/UiPivotCombat/UiPivotCombatBgIce.png	415	0	3	Frost Coolant Pool	Assets/Product/Texture/Image/IconType/IconTypeYsBingWhite.png	16
16	4	9	604800	2			4012	3	1	Central Area		16
