Id	StageLibId	StageId	GridIndex	GridName	GridIcon	SupplyEnergyLevelReward	IsScoreStage	MutexLockCharacter	IsLockCharacterStage	AffixIds[1]	AffixIds[2]	AffixIds[3]	AffixIds[4]	AffixIds[5]	AffixIds[6]	Tips[1]	Tips[2]	Tips[3]	Tips[4]	Tips[5]	Tips[6]	Efficiency[1]	Efficiency[2]
1	401	30062357	1	EC-00		0	0	1	0							No environmental effects in the area.						Uniframe Mechanism Tutorial Stage	
2	401	30062395	2	EC-01		1	0		0	761192						When the <color=#0F70BC>Dynamic Rating</color> reaches <color=#0F70BC>B</color> or above, <color=#0F70BC>Uniframes</color> dealing DMG will <color=#0F70BC>additionally</color><color=#0F70BC>decrease the target's Lightning Resistance by 40%</color>.						When <color=#0F70BC>Uniframes</color> deal <color=#0F70BC>Lightning DMG</color>,<color=#0F70BC>the Finisher Gauge will decrease 100% faster</color> for <color=#0F70BC>3s</color> (does not apply to Speed Attacks and Parries).	
3	401	30062396	3	EC-02		1	0		0	761192						When the <color=#0F70BC>Dynamic Rating</color> reaches <color=#0F70BC>B</color> or above, <color=#0F70BC>Uniframes</color> dealing DMG will <color=#0F70BC>additionally</color><color=#0F70BC>decrease the target's Lightning Resistance by 40%</color>.						When <color=#0F70BC>Uniframes</color> deal <color=#0F70BC>Lightning DMG</color>,<color=#0F70BC>the Finisher Gauge will decrease 100% faster</color> for <color=#0F70BC>3s</color> (does not apply to Speed Attacks and Parries).	
4	401	30062397	4	EC-03	Assets/Product/Texture/Image/UiPivotCombat/UiPivotCombatBtnThunder.png	1	0		1	761192						When the <color=#0F70BC>Dynamic Rating</color> reaches <color=#0F70BC>B</color> or above, <color=#0F70BC>Uniframes</color> dealing DMG will <color=#0F70BC>additionally</color><color=#0F70BC>decrease the target's Lightning Resistance by 40%</color>.						When <color=#0F70BC>Uniframes</color> deal <color=#0F70BC>Lightning DMG</color>,<color=#0F70BC>the Finisher Gauge will decrease 100% faster</color> for <color=#0F70BC>3s</color> (does not apply to Speed Attacks and Parries).	
5	402	30062398	1	PL-01		1	0		0	761190						When the <color=#0F70BC>Dynamic Rating</color> reaches <color=#0F70BC>B</color> or above, <color=#0F70BC>Uniframes</color> dealing DMG will <color=#0F70BC>additionally</color><color=#0F70BC>the target's Physical Resistance will be decreased by 40%</color> for <color=#0F70BC>8s</color>.						When <color=#0F70BC>Uniframes</color> deal <color=#0F70BC>CRIT DMG</color> with a <color=#0F70BC>3-Ping</color>,<color=#0F70BC>the Finisher Gauge will decrease 100% faster</color> for <color=#0F70BC>3s</color> (does not apply to Speed Attacks and Parries).	
6	402	30062399	2	PL-02		1	0		0	761190						When the <color=#0F70BC>Dynamic Rating</color> reaches <color=#0F70BC>B</color> or above, <color=#0F70BC>Uniframes</color> dealing DMG will <color=#0F70BC>additionally</color><color=#0F70BC>the target's Physical Resistance will be decreased by 40%</color> for <color=#0F70BC>8s</color>.						When <color=#0F70BC>Uniframes</color> deal <color=#0F70BC>CRIT DMG</color> with a <color=#0F70BC>3-Ping</color>,<color=#0F70BC>the Finisher Gauge will decrease 100% faster</color> for <color=#0F70BC>3s</color> (does not apply to Speed Attacks and Parries).	
7	402	30062400	3	PL-03	Assets/Product/Texture/Image/UiPivotCombat/UiPivotCombatBtnPhysical.png	1	0		1	761190						When the <color=#0F70BC>Dynamic Rating</color> reaches <color=#0F70BC>B</color> or above, <color=#0F70BC>Uniframes</color> dealing DMG will <color=#0F70BC>additionally</color><color=#0F70BC>the target's Physical Resistance will be decreased by 40%</color> for <color=#0F70BC>8s</color>.						When <color=#0F70BC>Uniframes</color> deal <color=#0F70BC>CRIT DMG</color> with a <color=#0F70BC>3-Ping</color>,<color=#0F70BC>the Finisher Gauge will decrease 100% faster</color> for <color=#0F70BC>3s</color> (does not apply to Speed Attacks and Parries).	
8	403	30062401	1	FR-01		1	0		0	761191						When the <color=#0F70BC>Dynamic Rating</color> reaches <color=#0F70BC>B</color> or above, <color=#0F70BC>Uniframes</color> dealing DMG will <color=#0F70BC>additionally</color><color=#0F70BC>Uniframes</color> will <color=#0F70BC>decrease the target's Fire Resistance by 40%</color> for <color=#0F70BC>8s</color>.						Upon continuously pinging <color=#0F70BC>Signal Orbs of the same color twice</color>,<color=#0F70BC>the Finisher Gauge will decrease 100% faster</color> for <color=#0F70BC>3s</color> (does not apply to Speed Attacks and Parries).	
9	403	30062402	2	FR-02		1	0		0	761191						When the <color=#0F70BC>Dynamic Rating</color> reaches <color=#0F70BC>B</color> or above, <color=#0F70BC>Uniframes</color> dealing DMG will <color=#0F70BC>additionally</color><color=#0F70BC>Uniframes</color> will <color=#0F70BC>decrease the target's Fire Resistance by 40%</color> for <color=#0F70BC>8s</color>.						Upon continuously pinging <color=#0F70BC>Signal Orbs of the same color twice</color>,<color=#0F70BC>the Finisher Gauge will decrease 100% faster</color> for <color=#0F70BC>3s</color> (does not apply to Speed Attacks and Parries).	
10	403	30062403	3	FR-03	Assets/Product/Texture/Image/UiPivotCombat/UiPivotCombatBtnfire.png	1	0		1	761191						When the <color=#0F70BC>Dynamic Rating</color> reaches <color=#0F70BC>B</color> or above, <color=#0F70BC>Uniframes</color> dealing DMG will <color=#0F70BC>additionally</color><color=#0F70BC>Uniframes</color> will <color=#0F70BC>decrease the target's Fire Resistance by 40%</color> for <color=#0F70BC>8s</color>.						Upon continuously pinging <color=#0F70BC>Signal Orbs of the same color twice</color>,<color=#0F70BC>the Finisher Gauge will decrease 100% faster</color> for <color=#0F70BC>3s</color> (does not apply to Speed Attacks and Parries).	
