Id	SubId[1]	SubId[2]	SubId[3]	SubId[4]	Des
1010111	101011101	101011102	101011103		Repairer A
1010112	101011201	101011202	101011203		Protector A
1010113	101011301	101011302	101011303		Shieldbearer A
1010121	101012101	101012102	101012103		Repairer B
1010122	101012201	101012202	101012203		Protector B
1010123	101012301	101012302	101012303		Shieldbearer B
1010131	101013101	101013102	101013103		Ground Monitor A
1010132	101013201	101013202	101013203		Pilgrim A
1010211	101021101	101021102	101021103		Shieldbearer C
1010212	101021201	101021202	101021203		Tamer A
1010221	101022101	101022102	101022103		Pilgrim B
1010222	101022201	101022202	101022203		Sentry Gun A
1020111	102011101	102011102	102011103		Gardener A
1020112	102011201	102011202	102011203		Ronin IV A
1020113	102011301	102011302	102011303		Envoy A
1020121	102012101	102012102	102012103		Missionary A
1020122	102012201	102012202	102012203		Bio-Salamander C
1020123	102012301	102012302	102012303		Nalasr-E
1020131	102013101	102013102	102013103		Bio-Salamander C
1020132	102013201	102013202	102013203		Nalasr-E
1020211	102021101	102021102	102021103		Gardener B
1020212	102021201	102021202	102021203		Ronin IV B
1020221	102022101	102022102	102022103		Deconstructor A
1020222	102022201	102022202	102022203		Construct A
1020231	102023101	102023102	102023103		Deconstructor B
1020232	102023201	102023202	102023203		Construct B
1030111	103011101	103011102	103011103		Hetero Repair Unit A
1030112	103011201	103011202	103011203		Heteromer Hydraulic A
1030113	103011301	103011302	103011303		Hetero Deconstruct Unit A
1030121	103012101	103012102	103012103		Hetero Repair Unit B
1030122	103012201	103012202	103012203		Heteromer Hydraulic B
1030123	103012301	103012302	103012303		Hetero Deconstruct Unit B
1030131	103013101	103013102	103013103		Hetero Repair Unit C
1030132	103013201	103013202	103013203		Heteromer Hydraulic C
1030133	103013301	103013302	103013303		Hetero Deconstruct Unit C
1030211	103021101	103021102	103021103		Hetero Repair Unit D
1030212	103021201	103021202	103021203		Heteromer Hydraulic D
1030213	103021301	103021302	103021303		Hetero Fire Unit D
1030221	103022101	103022102	103022103		Hetero Repair Unit E
