Id	SubId[1]	SubId[2]	SubId[3]	SubId[4]	SubId[5]	SubId[6]	SubId[7]
10101	101011	101012					
10102	101021	101022					
10201	102011	102012	102013				
10202	102021	102022	102023				
10301	103011	103012	103013				
10302	103021	103022	103023				
10401	104011	104012	104013	104014			
10402	104021	104022	104023				
10501	105011	105012	105013	105014			
10502	105021	105022	105023				
10503	105031	105032					
10601	106011	106012	106013				
10602	106021	106022	106023	106024			
10701	107011	107012	107013	107014			
10702	107021	107022	107023				
10801	108011	108012	108013				
10802	108021	108022	108023	108024			
10803	108031	108032					
10901	109011	109012	109013	109014			
10902	109021	109022	109023	109024			
11001	110011	110012	110013	110014	110015		
11002	110021	110022	110023				
11101	111011	111012	111013				
11102	111021	111022	111023				
11201	112011	112012	112013				
11202	112021	112022	112023				
11203	112031						
11301	113011	113012	113013	113014			
11302	113021	113022	113023				
11401	114011						
11402	114021						
11501	115011	115012	115013	115014	115015		
11502	115021	115022	115023				
11601	116011	116012	116013				
11602	116021	116022					
11603	116031						
11701	117011	117012	117013				
11702	117021	117022					
11703	117031						
11801	118011	118012	118013				
11802	118021	118022					
11901	119011						
12001	120011						
12002	120021						
