Id	NeedShow	SimpleDesc	UpExp	BuffId[1]	BuffId[2]	BuffId[3]
1		Extra DMG Bonus increases by 3%.	55	50901		
2		Extra DMG Bonus increases by 3%.	80	50902		
3		Extra DMG Bonus increases by 3%.	105	50903		
4		Extra DMG Bonus increases by 3%.	130	50904		
5	1	Character is eternally Super Armored	155	50905		
6		Extra DMG Bonus increases by 3%.	180	50906		
7		Extra DMG Bonus increases by 3%.	200	50907		
8		Extra DMG Bonus increases by 3%.	220	50908		
9		Extra DMG Bonus increases by 3%.	240	50909		
10	1	Extra Signal Orbs	260	50910		
11		Extra DMG Bonus increases by 3%.	280	50911		
12		Extra DMG Bonus increases by 3%.	295	50912		
13		Extra DMG Bonus increases by 3%.	310	50913		
14		Extra DMG Bonus increases by 3%.	325	50914		
15	1	Extra Matrix	340	50915		
16		Extra DMG Bonus increases by 3%.	355	50916		
17		Extra DMG Bonus increases by 3%.	365	50917		
18		Extra DMG Bonus increases by 3%.	375	50918		
19		Extra DMG Bonus increases by 3%.	385	50919		
20	1	QTE No Cooldown	395	50920		
21		Extra DMG Bonus increases by 3%.	405	50921		
22		Extra DMG Bonus increases by 3%.	415	50922		
23		Extra DMG Bonus increases by 3%.	425	50923		
24		Extra DMG Bonus increases by 3%.	435	50924		
25	1	Unlock Auto Clear	445			
