Id	NpcId	HeadIcon	IsShowMark	Level	BuffIds[1]	BuffIds[2]	BuffRandomGroupIds[1]	BuffRandomGroupIds[2]	BuffRandomGroupIds[3]
10010101	90210	Assets/Product/Texture/Image/RoleCharacter/TufuNormal01.png	0	97	761502		1		
10010102	90110	Assets/Product/Texture/Image/RoleCharacter/Me1XunjingzheMd000001.png	0	148	761502		1		
10010103	90150	Assets/Product/Texture/Image/RoleCharacter/Mo1YeyaMd000001.png	0	93	761502		1		
10010104	90770	Assets/Product/Texture/Image/RoleCharacter/ZhangyuNormal01.png	0	120	761502		1		
10010105	90120	Assets/Product/Texture/Image/RoleCharacter/Mo1BaohuzheMd000001.png	0	104	761502		1		
10010106	90090	Assets/Product/Texture/Image/RoleCharacter/Mo1DimianjianshiqiMd000001.png	0	141	761502		1		
10011101	90250	Assets/Product/Texture/Image/RoleCharacter/LangrenNormal01.png	0	80	761503		1		
10011102	90180	Assets/Product/Texture/Image/RoleCharacter/Mo1ZhixingzheMd000001.png	0	110	761503		1		
10011103	90460	Assets/Product/Texture/Image/RoleCharacter/Me1ShenhaiqianfuzheMd000002.png	0	120	761503		1		
10011104	90160	Assets/Product/Texture/Image/RoleCharacter/ShaojiepaoNormal01.png	0	120	761503		1		
10011105	90620	Assets/Product/Texture/Image/RoleCharacter/Me1YihehuolidanyuanMd000001.png	0	400	761503		1		
10011106	90600	Assets/Product/Texture/Image/RoleCharacter/Me1YihefenjiedanyuanMd000001.png	0	305	761503		1		
10012101	90222	Assets/Product/Texture/Image/RoleCharacter/Me1YijiwajuezheMd000001.png	1	50	761504		1		
10012102	90360	Assets/Product/Texture/Image/RoleCharacter/FenjiezheNormal01.png	1	122	761504		1		
10012103	90330	Assets/Product/Texture/Image/RoleCharacter/Me1XinshiMd000001.png	1	124	761504		1		
10012104	90130	Assets/Product/Texture/Image/RoleCharacter/Me1XunshoushiMd000001.png	1	87	761504		1		
10012105	90370	Assets/Product/Texture/Image/RoleCharacter/Me1YijikantanzheMd000001.png	1	160	761504		1		
10110101	90400	Assets/Product/Texture/Image/RoleCharacter/FangshengdouniuNormal01.png	0	89	761502		2	201	
10110102	90860	Assets/Product/Texture/Image/RoleCharacter/Mo1BopuerMd01000.png	0	210	761502		2	201	
10110103	90460	Assets/Product/Texture/Image/RoleCharacter/Me1ShenhaiqianfuzheMd000002.png	0	120	761502		2	201	
10110104	90730	Assets/Product/Texture/Image/RoleCharacter/BaixianshengNormal01.png	0	109	761502		2	201	
10110105	90100	Assets/Product/Texture/Image/RoleCharacter/Mo1KongzhongjianshiqiMd000001.png	0	99	761502		2	201	
10110106	90190	Assets/Product/Texture/Image/RoleCharacter/Mo1ShouhuzheMd000001.png	0	144	761502		2	201	
