Id	LimitCount	ShopItemId[1]	BuyCount[1]	ShopItemId[2]	BuyCount[2]	ShopItemId[3]	BuyCount[3]	ShopItemId[4]	BuyCount[4]	ShopItemId[5]	BuyCount[5]	ShopItemId[6]	BuyCount[6]	ShopItemId[7]	BuyCount[7]	ShopItemId[8]	BuyCount[8]	ShopItemId[9]	BuyCount[9]	ShopItemId[10]	BuyCount[10]	ShopItemId[11]	BuyCount[11]	ShopItemId[12]	BuyCount[12]	ShopItemId[13]	BuyCount[13]	ShopItemId[14]	BuyCount[14]	ShopItemId[15]	BuyCount[15]	ShopItemId[16]	BuyCount[16]	ShopItemId[17]	BuyCount[17]	ShopItemId[18]	BuyCount[18]	ShopItemId[19]	BuyCount[19]	ShopItemId[20]	BuyCount[20]	ShopItemId[21]	BuyCount[21]	ShopItemId[22]	BuyCount[22]	ShopItemId[23]	BuyCount[23]	ShopItemId[24]	BuyCount[24]	ShopItemId[25]	BuyCount[25]	ShopItemId[26]	BuyCount[26]	ShopItemId[27]	BuyCount[27]	ShopItemId[28]	BuyCount[28]	ShopItemId[29]	BuyCount[29]	ShopItemId[30]	BuyCount[30]	ShopItemId[31]	BuyCount[31]	ShopItemId[32]	BuyCount[32]	ShopItemId[33]	BuyCount[33]	ShopItemId[34]	BuyCount[34]	ShopItemId[35]	BuyCount[35]	ShopItemId[36]	BuyCount[36]	ShopItemId[37]	BuyCount[37]	ShopItemId[38]	BuyCount[38]	ShopItemId[39]	BuyCount[39]	ShopItemId[40]	BuyCount[40]	ShopItemId[41]	BuyCount[41]	ShopItemId[42]	BuyCount[42]	ShopItemId[43]	BuyCount[43]	ShopItemId[44]	BuyCount[44]	ShopItemId[45]	BuyCount[45]	ShopItemId[46]	BuyCount[46]	ShopItemId[47]	BuyCount[47]
20001	8	1001	1	1002	1	1003	1	1004	1	1005	1	1006	1	1007	1	1008	1	1009	1	1010	1	1011	1	1012	1	1013	1	1014	1	1015	1	1016	1	1017	1	1018	1	1019	1	1101	1	1102	1	1103	1	1104	1	1105	1	1106	1	1107	1	1108	1																																								
30001	8	1001	1	1002	1	1003	1	1004	1	1005	1	1006	1	1007	1	1008	1	1009	1	1010	1	1011	1	1012	1	1013	1	1014	1	1015	1	1016	1	1017	1	1018	1	1019	1	1101	1	1102	1	1103	1	1104	1	1105	1	1106	1	1107	1	1108	1																																								
30002	8	1001	1	1002	1	1003	1	1004	1	1005	1	1006	1	1007	1	1008	1	1009	1	1010	1	1011	1	1012	1	1013	1	1014	1	1015	1	1016	1	1017	1	1018	1	1019	1	1101	1	1102	1	1103	1	1104	1	1105	1	1106	1	1107	1	1108	1																																								
30003	8	1001	1	1002	1	1003	1	1004	1	1005	1	1006	1	1007	1	1008	1	1009	1	1010	1	1011	1	1012	1	1013	1	1014	1	1015	1	1016	1	1017	1	1018	1	1019	1	1101	1	1102	1	1103	1	1104	1	1105	1	1106	1	1107	1	1108	1																																								
30004	8	1001	1	1002	1	1003	1	1004	1	1005	1	1006	1	1007	1	1008	1	1009	1	1010	1	1011	1	1012	1	1013	1	1014	1	1015	1	1016	1	1017	1	1018	1	1019	1	1101	1	1102	1	1103	1	1104	1	1105	1	1106	1	1107	1	1108	1																																								
30005	8	1001	1	1002	1	1003	1	1004	1	1005	1	1006	1	1007	1	1008	1	1009	1	1010	1	1011	1	1012	1	1013	1	1014	1	1015	1	1016	1	1017	1	1018	1	1019	1	1101	1	1102	1	1103	1	1104	1	1105	1	1106	1	1107	1	1108	1																																								
30006	10	1001	1	1002	1	1003	1	1004	1	1005	1	1006	1	1007	1	1008	1	1009	1	1010	1	1011	1	1012	1	1013	1	1014	1	1015	1	1016	1	1017	1	1018	1	1019	1	1101	1	1102	1	1103	1	1104	1	1105	1	1106	1	1107	1	1108	1																																								
30007	10	1001	1	1002	1	1003	1	1004	1	1005	1	1006	1	1007	1	1008	1	1009	1	1010	1	1011	1	1012	1	1013	1	1014	1	1015	1	1016	1	1017	1	1018	1	1019	1	1101	1	1102	1	1103	1	1104	1	1105	1	1106	1	1107	1	1108	1																																								
30008	10	1001	1	1002	1	1003	1	1004	1	1005	1	1006	1	1007	1	1008	1	1009	1	1010	1	1011	1	1012	1	1013	1	1014	1	1015	1	1016	1	1017	1	1018	1	1019	1	1101	1	1102	1	1103	1	1104	1	1105	1	1106	1	1107	1	1108	1																																								
30009	10	1001	1	1002	1	1003	1	1004	1	1005	1	1006	1	1007	1	1008	1	1009	1	1010	1	1011	1	1012	1	1013	1	1014	1	1015	1	1016	1	1017	1	1018	1	1019	1	1101	1	1102	1	1103	1	1104	1	1105	1	1106	1	1107	1	1108	1																																								
