Id	CharacterId	Level	RobotId	SkillIds[1]	SkillIds[2]	SkillIds[3]	SkillIds[4]
101	1081002	1	33509				
102	1081002	2	33510				
103	1081002	3	33511				
104	1081002	4	33512	108227	108224		
105	1081002	5	33513				
106	1081002	6	33514				
107	1081002	7	33515	108225			
108	1081002	8	33516				
109	1081002	9	33517				
110	1081002	10	33518	108226			
111	1081002	11	33519				
112	1081002	12	33520				
113	1081002	13	33521				
114	1071002	1	33522				
115	1071002	2	33523				
116	1071002	3	33524				
117	1071002	4	33525	107227	107224		
118	1071002	5	33526				
119	1071002	6	33527				
120	1071002	7	33528	107225			
121	1071002	8	33529				
122	1071002	9	33530				
123	1071002	10	33531	107226			
124	1071002	11	33532				
125	1071002	12	33533				
126	1071002	13	33534				
127	1061002	1	33535				
128	1061002	2	33536				
129	1061002	3	33537				
130	1061002	4	33538	106227	106224		
131	1061002	5	33539				
132	1061002	6	33540				
133	1061002	7	33541	106225			
134	1061002	8	33542				
135	1061002	9	33543				
136	1061002	10	33544	106226			
137	1061002	11	33545				
138	1061002	12	33546				
139	1061002	13	33547				
140	1051003	1	33548				
141	1051003	2	33549				
142	1051003	3	33550				
143	1051003	4	33551	105327	105324		
144	1051003	5	33552				
145	1051003	6	33553				
146	1051003	7	33554	105325			
147	1051003	8	33555				
148	1051003	9	33556				
149	1051003	10	33557	105326			
150	1051003	11	33558				
151	1051003	12	33559				
152	1051003	13	33560				
153	1131002	1	33561				
154	1131002	2	33562				
155	1131002	3	33563				
156	1131002	4	33564	113227	113224		
157	1131002	5	33565				
158	1131002	6	33566				
159	1131002	7	33567	113225			
160	1131002	8	33568				
161	1131002	9	33569				
162	1131002	10	33570	113226			
163	1131002	11	33571				
164	1131002	12	33572				
165	1131002	13	33573				
