Id	FightEventId	Name	Icon	Description	Star	ConsumeCounts[1]	ConsumeCounts[2]
10001	93305	HP Boost I	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21131.png	Max HP of team members increases by 2500	1	20	200
10002	93368	Ice DMG Boost I	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21231.png	Ice DMG of team members increases by 20%	1	20	200
10003	81050	Evasion Bonus I	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon22031.png	Dodge Gauge limit of team members increases by 700	1	20	200
10004	93346	Signal Boost I	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21151.png	Gain 2 random Signal Orbs in every 15s	1	20	200
10101	93305	HP Boost I	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21131.png	Max HP of team members increases by 2500	1	20	200
10102	93368	Ice DMG Boost I	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21231.png	Ice DMG of team members increases by 20%	1	20	200
10103	81050	Evasion Bonus I	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon22031.png	Dodge Gauge limit of team members increases by 700	1	20	200
10104	93346	Signal Boost I	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21151.png	Gain 2 random Signal Orbs in every 15s	1	20	200
10105	120105	QTE Reduction I	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21161.png	QTE cooldown of team members decreases by 1s	1	20	200
10106	96103	Signature Move Boost I	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21071.png	Team members' Signature Move can stun the enemy for 2s	1	20	200
10201	93346	Signal Boost I	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21151.png	Gain 2 random Signal Orbs in every 15s	1	40	400
10202	90902	Damage Boost I	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon22041.png	All DMG of team members increases by 15%	1	40	400
10203	120214	Dodge Boost I	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon33001.png	Team members recover Dodge Gauge 20% faster	1	40	400
10204	120105	QTE Reduction I	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21161.png	QTE cooldown of team members decreases by 1s	1	40	400
10205	96103	Signature Move Boost I	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21071.png	Team members' Signature Move can stun the enemy for 2s	1	40	400
10301	93368	Ice DMG Boost I	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21231.png	Ice DMG of team members increases by 20%	1	40	400
10302	93363	Fire DMG Boost I	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21212.png	Fire DMG of team members increases by 20%	1	40	400
10303	93373	Lightning DMG Boost I	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21222.png	Lightning DMG of team members increases by 20%	1	40	400
10304	93305	HP Boost I	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21131.png	Max HP of team members increases by 2500	1	40	400
10305	81050	Evasion Bonus I	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon22031.png	Dodge Gauge limit of team members increases by 700	1	40	400
10401	93368	Ice DMG Boost I	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21231.png	Ice DMG of team members increases by 20%	1	50	500
10402	93378	Dark DMG Boost I	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon22022.png	Dark DMG of team members increases by 20%	1	50	500
10403	93363	Fire DMG Boost I	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21212.png	Fire DMG of team members increases by 20%	1	50	500
10404	93305	HP Boost I	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21131.png	Max HP of team members increases by 2500	1	50	500
10405	81050	Evasion Bonus I	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon22031.png	Dodge Gauge limit of team members increases by 700	1	50	500
10501	93368	Ice DMG Boost I	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21231.png	Ice DMG of team members increases by 20%	1	50	500
10502	93363	Fire DMG Boost I	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21212.png	Fire DMG of team members increases by 20%	1	50	500
10503	93358	Physical DMG Boost I	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21252.png	Physical DMG of team members increases by 20%	1	50	500
10504	93305	HP Boost I	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21131.png	Max HP of team members increases by 2500	1	50	500
10505	81050	Evasion Bonus I	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon22031.png	Dodge Gauge limit of team members increases by 700	1	50	500
10601	93307	HP Boost II	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21131.png	Max HP of team members increases by 5000	2	70	700
10602	81051	Evasion Bonus II	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon22031.png	Dodge Gauge limit of team members increases by 1000	2	70	700
10603	90903	QTE Riot V	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon1.png	Triggering a QTE by a 3-Ping will trigger the other two Constructs' QTE	5	100	1000
10604	93368	Ice DMG Boost I	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21231.png	Ice DMG of team members increases by 20%	1	70	700
10605	93358	Physical DMG Boost I	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21252.png	Physical DMG of team members increases by 20%	1	70	700
10701	90903	QTE Riot V	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon1.png	Triggering a QTE by a 3-Ping will trigger the other two Constructs' QTE	5	100	1000
10702	75014	Combo Riot IV	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon22070.png	Immediately gain 3 random Signal Orbs of the same color after landing a 30-hit combo	4	80	800
10703	93307	HP Boost II	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21131.png	Max HP of team members increases by 5000	2	70	700
10704	81051	Evasion Bonus II	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon22031.png	Dodge Gauge limit of team members increases by 1000	2	70	700
10705	90902	Damage Boost I	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon22041.png	All DMG of team members increases by 15%	1	70	700
10801	75014	Combo Riot IV	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon22070.png	Immediately gain 3 random Signal Orbs of the same color after landing a 30-hit combo	4	80	800
10802	93390	Healing Riot IV	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon22080.png	Excess healing is converted into 200% damage	5	100	1000
10803	93382	Skill Boost I	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon13011.png	All team members deal 25% more damage from pinging Orbs	1	70	700
10804	90902	Damage Boost I	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon22041.png	All DMG of team members increases by 15%	1	70	700
10805	93378	Dark DMG Boost I	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon22022.png	Dark DMG of team members increases by 20%	1	70	700
10901	120302	Matrix Reduction IV	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon13021.png	Matrix cooldown of team members decreases by 2s	4	80	800
10902	96101	Laser Riot V	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon32141.png	Summon a satellite beam every 10s that strikes the target area for 2000 True DMG.	5	100	1000
10903	93368	Ice DMG Boost I	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21231.png	Ice DMG of team members increases by 20%	1	70	700
10904	93378	Dark DMG Boost I	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon22022.png	Dark DMG of team members increases by 20%	1	70	700
10905	93373	Lightning DMG Boost I	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21222.png	Lightning DMG of team members increases by 20%	1	70	700
11001	93202	Shield Support IV	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon32021.png	Gain a shield that absorbs damage equal to 10% of HP every 15s while in battle. This shield cannot stack	4	120	1200
11002	96102	Recovery Boost V	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon22001.png	Team members recover 1.5% of total HP every sec	5	140	1400
11003	90903	QTE Riot V	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon1.png	Triggering a QTE by a 3-Ping will trigger the other two Constructs' QTE	5	140	1400
11004	93368	Ice DMG Boost I	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21231.png	Ice DMG of team members increases by 20%	1	100	1000
11005	93358	Physical DMG Boost I	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21252.png	Physical DMG of team members increases by 20%	1	100	1000
11006	93363	Fire DMG Boost I	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21212.png	Fire DMG of team members increases by 20%	1	100	1000
11101	93390	Healing Riot IV	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon22080.png	Excess healing is converted into 200% damage	5	160	1600
11102	120302	Matrix Reduction IV	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon13021.png	Matrix cooldown of team members decreases by 2s	4	140	1400
11103	90903	QTE Riot V	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon1.png	Triggering a QTE by a 3-Ping will trigger the other two Constructs' QTE	5	160	1600
11104	120106	QTE Reduction II	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21161.png	QTE cooldown of team members decreases by 2s	2	120	1200
11105	93346	Signal Boost I	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21151.png	Gain 2 random Signal Orbs in every 15s	1	120	1200
11106	93307	HP Boost II	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21131.png	Max HP of team members increases by 5000	2	120	1200
11107	81051	Evasion Bonus II	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon22031.png	Dodge Gauge limit of team members increases by 1000	2	120	1200
11108	90705	Signature Reduction IV	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon13031.png	Team members gain 10 bonus energy every 5s	4	140	1400
11109	96106	Signature Frenzy III	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21012.png	Team members gain 10s Super Armor and 20% Extra DMG Bonus after casting a Signature Move	3	130	1300
11201	93202	Shield Support IV	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon32021.png	Gain a shield that absorbs damage equal to 10% of HP every 15s while in battle. This shield cannot stack	4	140	1400
11202	93370	Ice DMG Boost II	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21231.png	Ice DMG of team members increases by 40%	2	120	1200
11203	93309	HP Boost III	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21131.png	Max HP of team members increases by 7500	3	120	1200
11204	120107	QTE Reduction III	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21161.png	QTE cooldown of team members decreases by 3s	3	120	1200
11205	120216	Dodge Boost II	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon22031.png	Team members recover Dodge Gauge 50% faster	2	120	1200
11206	93348	Signal Boost III	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21151.png	Gain 3 random Signal Orbs in every 10s	3	130	1300
11207	96104	DMG Reduction III	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon12141.png	Team members gain 20% DMG Reduction	3	130	1300
11208	75014	Combo Riot IV	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon22070.png	Immediately gain 3 random Signal Orbs of the same color after landing a 30-hit combo	4	140	1400
11209	90705	Signature Reduction IV	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon13031.png	Team members gain 10 bonus energy every 5s	4	140	1400
