Id	StageId	Type	PrefabPath	IconPath	MemberIds[1]	MemberIds[2]	MemberIds[3]	MemberIds[4]	MemberIds[5]	MemberIds[6]	MemberIds[7]	MemberIds[8]	MemberIds[9]	MemberIds[10]	Additions[1]	Additions[2]	Additions[3]	Additions[4]	Additions[5]	Additions[6]	Additions[7]	Additions[8]	Additions[9]	Additions[10]	Additions[11]	Additions[12]	StarRewardIds[0]	StarRewardIds[1]	StarRewardIds[2]	StarRewardIds[3]	ChallengeIds[1]	ChallengeIds[2]	ChallengeIds[3]	ShowFightEventIds[1]	ShowFightEventIds[2]	ShowFightEventIds[3]	ShowFightEventIds[4]
1001	30201101	1	Assets/Product/Ui/ComponentPrefab/FuBenSimulatedCombat/GridStageSimulatedCombatFightN02.prefab	Assets/Product/Texture/Image/UiSimulatedCombat/UiSimulatedCombatStageN01.png	22703	20203	22303	21703							10001	10002	10003	10004																			
1002	30201102	1	Assets/Product/Ui/ComponentPrefab/FuBenSimulatedCombat/GridStageSimulatedCombatFightN01.prefab	Assets/Product/Texture/Image/UiSimulatedCombat/UiSimulatedCombatStageN02.png	22705	22205	20405	21805							10101	10102	10103	10104	10105	10106																	
1003	30201103	1	Assets/Product/Ui/ComponentPrefab/FuBenSimulatedCombat/GridStageSimulatedCombatFightN01.prefab	Assets/Product/Texture/Image/UiSimulatedCombat/UiSimulatedCombatStageN03.png	22707	21907	21107	22407	21307						10201	10202	10203	10204	10205																		
1004	30201104	1	Assets/Product/Ui/ComponentPrefab/FuBenSimulatedCombat/GridStageSimulatedCombatFightN01.prefab	Assets/Product/Texture/Image/UiSimulatedCombat/UiSimulatedCombatStageN04.png	22711	20110	20911	22111	22510	20510	21211				10301	10302	10303	10304	10305															780396	760603		
1005	30201105	1	Assets/Product/Ui/ComponentPrefab/FuBenSimulatedCombat/GridStageSimulatedCombatFightN02.prefab	Assets/Product/Texture/Image/UiSimulatedCombat/UiSimulatedCombatStageN05.png	22212	22513	22613	21312	20113	21512	21412	22413			10401	10402	10403	10404	10405															760393	760412	760451	
1006	30201106	1	Assets/Product/Ui/ComponentPrefab/FuBenSimulatedCombat/GridStageSimulatedCombatFightN01.prefab	Assets/Product/Texture/Image/UiSimulatedCombat/UiSimulatedCombatStageN06.png	22715	22014	22215	21414	20115	21614	21814	21015			10501	10502	10503	10504	10505															760393	760353	760383	
1007	30201107	1	Assets/Product/Ui/ComponentPrefab/FuBenSimulatedCombat/GridStageSimulatedCombatFightN02.prefab	Assets/Product/Texture/Image/UiSimulatedCombat/UiSimulatedCombatStageN07.png	22716	22516	22216	21615	22415	21215	20616	20315	22615		10601	10602	10603	10604	10605															760393	760373	760273	760412
1008	30201108	1	Assets/Product/Ui/ComponentPrefab/FuBenSimulatedCombat/GridStageSimulatedCombatFightN01.prefab	Assets/Product/Texture/Image/UiSimulatedCombat/UiSimulatedCombatStageN08.png	22718	21017	20417	21118	22018	21218	20217	21817	22417		10701	10702	10703	10704	10705															760213	780396	760452	
1009	30201109	1	Assets/Product/Ui/ComponentPrefab/FuBenSimulatedCombat/GridStageSimulatedCombatFightN02.prefab	Assets/Product/Texture/Image/UiSimulatedCombat/UiSimulatedCombatStageN09.png	22719	22319	20319	22019	21118	20618	21418	21718	20518		10801	10802	10803	10804	10805															760283	760233	760252	
1010	30201110	1	Assets/Product/Ui/ComponentPrefab/FuBenSimulatedCombat/GridStageSimulatedCombatFightN01.prefab	Assets/Product/Texture/Image/UiSimulatedCombat/UiSimulatedCombatStageN10.png	22721	22520	22221	22621	21320	22320	21020	21921	22120		10901	10902	10903	10904	10905															760393	760383	760413	
1011	30201111	1	Assets/Product/Ui/ComponentPrefab/FuBenSimulatedCombat/GridStageSimulatedCombatFightN01.prefab	Assets/Product/Texture/Image/UiSimulatedCombat/UiSimulatedCombatStageN11.png	22723	22522	22223	21623	22422	21023	21422	22023	21522		11001	11002	11003	11004	11005	11006														760393	760453	760383	
1012	30201112	1	Assets/Product/Ui/ComponentPrefab/FuBenSimulatedCombat/GridStageSimulatedCombatFightN02.prefab	Assets/Product/Texture/Image/UiSimulatedCombat/UiSimulatedCombatStageN12.png	22725	22524	21625	21024	21925	21224	21425	22625	22324		11101	11102	11103	11104	11105	11106	11107	11108	11109											760293	760253	780396	
1013	30201113	1	Assets/Product/Ui/ComponentPrefab/FuBenSimulatedCombat/GridStageSimulatedCombatFightN01.prefab	Assets/Product/Texture/Image/UiSimulatedCombat/UiSimulatedCombatStageN13.png	22726	22526	22225	21926	22125	22626	21325	21426	21525		11201	11202	11203	11204	11205	11206	11207	11208	11209	11210										760253	760393	760313	
1014	30201114	1	Assets/Product/Ui/ComponentPrefab/FuBenSimulatedCombat/GridStageSimulatedCombatFightN02.prefab	Assets/Product/Texture/Image/UiSimulatedCombat/UiSimulatedCombatStageN14.png	22727	22526	22226	22626	21327	22326	21626	22427	21026	20127	11301	11302	11303	11304	11305	11306	11307	11308	11309											760453	760283	780396	
2001	30201151	2	Assets/Product/Ui/ComponentPrefab/FuBenSimulatedCombat/GridStageSimulatedCombatFightH01.prefab	Assets/Product/Texture/Image/UiSimulatedCombat/UiSimulatedCombatStageH01.png	22708	20206	21508	21707	22308	21806	22007				20001	20002	20003	20004	20005	20006							405001	405002	405003	405004	11001	11002	11003				
2002	30201152	2	Assets/Product/Ui/ComponentPrefab/FuBenSimulatedCombat/GridStageSimulatedCombatFightH02.prefab	Assets/Product/Texture/Image/UiSimulatedCombat/UiSimulatedCombatStageH02.png	22711	21809	22211	20410	20311	20710	22109	21610			20101	20102	20103	20104	20105	20106	20107						405005	405006	405007	405008	11011	11012	11013				
2003	30201153	2	Assets/Product/Ui/ComponentPrefab/FuBenSimulatedCombat/GridStageSimulatedCombatFightH01.prefab	Assets/Product/Texture/Image/UiSimulatedCombat/UiSimulatedCombatStageH03.png	22713	21911	21112	21313	22411	21713	21212	21011	21813		20201	20202	20203	20204	20205	20206	20207	20208					405009	405010	405011	405012	11021	11022	11023				
2004	30201154	2	Assets/Product/Ui/ComponentPrefab/FuBenSimulatedCombat/GridStageSimulatedCombatFightH01.prefab	Assets/Product/Texture/Image/UiSimulatedCombat/UiSimulatedCombatStageH04.png	22715	20115	20913	22114	22515	20514	21414	22413	20615		20301	20302	20303	20304	20305	20306	20307	20308	20309				405013	405014	405015	405016	11031	11032	11033	780396	760603		
2005	30201155	2	Assets/Product/Ui/ComponentPrefab/FuBenSimulatedCombat/GridStageSimulatedCombatFightH01.prefab	Assets/Product/Texture/Image/UiSimulatedCombat/UiSimulatedCombatStageH05.png	22217	22516	22615	21317	21416	21515	21817	21016	20615		20401	20402	20403	20404	20405	20406	20407	20408	20409				405017	405018	405019	405020	11041	11042	11043	760393	760412	760451	
2006	30201156	2	Assets/Product/Ui/ComponentPrefab/FuBenSimulatedCombat/GridStageSimulatedCombatFightH02.prefab	Assets/Product/Texture/Image/UiSimulatedCombat/UiSimulatedCombatStageH06.png	22719	22018	22218	21419	20119	21619	20617	20319	22617		20501	20502	20503	20504	20505	20506	20507	20508	20509				405021	405022	405023	405024	11051	11052	11053	760393	760353	760383	
2007	30201157	2	Assets/Product/Ui/ComponentPrefab/FuBenSimulatedCombat/GridStageSimulatedCombatFightH01.prefab	Assets/Product/Texture/Image/UiSimulatedCombat/UiSimulatedCombatStageH07.png	22721	22521	22220	21619	22421	21220	20621	20319	20820		20601	20602	20603	20604	20605	20606	20607	20608	20609				405025	405026	405027	405028	11061	11062	11063	760393	760373	760273	760412
2008	30201158	2	Assets/Product/Ui/ComponentPrefab/FuBenSimulatedCombat/GridStageSimulatedCombatFightH02.prefab	Assets/Product/Texture/Image/UiSimulatedCombat/UiSimulatedCombatStageH08.png	22721	21020	20421	21120	22021	21220	20221	21819	20521		20701	20702	20703	20704	20705	20706	20707	20708	20709	20710			405029	405030	405031	405032	11071	11072	11073	760213	780396	760452	
2009	30201159	2	Assets/Product/Ui/ComponentPrefab/FuBenSimulatedCombat/GridStageSimulatedCombatFightH01.prefab	Assets/Product/Texture/Image/UiSimulatedCombat/UiSimulatedCombatStageH09.png	22723	22322	20323	22021	21123	20622	21423	21723	22121		20801	20802	20803	20804	20805	20806	20807	20808	20809	20810			405033	405034	405035	405036	11081	11082	11083	760283	760233	760252	
2010	30201160	2	Assets/Product/Ui/ComponentPrefab/FuBenSimulatedCombat/GridStageSimulatedCombatFightH01.prefab	Assets/Product/Texture/Image/UiSimulatedCombat/UiSimulatedCombatStageH10.png	22723	22522	22222	22621	21323	22322	21023	21922	22123		20901	20902	20903	20904	20905	20906	20907	20908	20909	20910			405037	405038	405039	405040	11091	11092	11093	760393	760383	760413	
2011	30201161	2	Assets/Product/Ui/ComponentPrefab/FuBenSimulatedCombat/GridStageSimulatedCombatFightH02.prefab	Assets/Product/Texture/Image/UiSimulatedCombat/UiSimulatedCombatStageH11.png	22725	22523	22224	21623	22425	21023	21425	22023	21525		21001	21002	21003	21004	21005	21006	21007	21008	21009	21010			405041	405042	405043	405044	11101	11102	11103	760393	760453	760383	
2012	30201162	2	Assets/Product/Ui/ComponentPrefab/FuBenSimulatedCombat/GridStageSimulatedCombatFightH01.prefab	Assets/Product/Texture/Image/UiSimulatedCombat/UiSimulatedCombatStageH12.png	22725	22524	21625	21023	21924	21225	21423	22625	22324		21101	21102	21103	21104	21105	21106	21107	21108	21109	21110	21111		405045	405046	405047	405048	11111	11112	11113	760293	760253	780396	
2013	30201163	2	Assets/Product/Ui/ComponentPrefab/FuBenSimulatedCombat/GridStageSimulatedCombatFightH01.prefab	Assets/Product/Texture/Image/UiSimulatedCombat/UiSimulatedCombatStageH13.png	22726	22526	22226	21926	22126	22626	21326	21426	21526		21201	21202	21203	21204	21205	21206	21207	21208	21209	21210	21211		405049	405050	405051	405052	11121	11122	11123	760253	760393	760313	
2014	30201164	2	Assets/Product/Ui/ComponentPrefab/FuBenSimulatedCombat/GridStageSimulatedCombatFightH02.prefab	Assets/Product/Texture/Image/UiSimulatedCombat/UiSimulatedCombatStageH14.png	22727	22527	22227	22627	21327	22327	21627	22427	21027	20127	21301	21302	21303	21304	21305	21306	21307	21308	21309	21310	21311	21312	405053	405054	405055	405056	11131	11132	11133	760453	760283	780396	
