Id	Level	CharacterId	UpExp	FightEventId	Ability	AttributeId[1]	AttributeValue[1]	AttributeId[2]	AttributeValue[2]	AttributeId[3]	AttributeValue[3]	AttributeId[4]	AttributeValue[4]
1	1	1011002	0	220001	321	1	606	11	115	23	45	44	20
2	2	1011002	100	220002	642	1	1212	11	230	23	90	44	40
3	3	1011002	120	220003	964	1	1818	11	345	23	135	44	60
4	4	1011002	150	220004	1285	1	2424	11	460	23	180	44	80
5	5	1011002	180	220005	1606	1	3030	11	575	23	225	44	100
6	6	1011002	120	220006	1927	1	3636	11	690	23	270	44	120
7	7	1011002	260	220007	2248	1	4242	11	805	23	315	44	140
8	8	1011002	300	220008	2570	1	4848	11	920	23	360	44	160
9	9	1011002	350	220009	2891	1	5454	11	1035	23	405	44	180
10	10	1011002	420	220010	3212	1	6060	11	1150	23	450	44	200
11	11	1011002	500	220011	3639	1	6870	11	1305	23	510	44	225
12	12	1011002	700	220012	4066	1	7680	11	1460	23	570	44	250
13	13	1011002	1000	220013	4493	1	8490	11	1615	23	630	44	275
14	14	1011002	1400	220014	4920	1	9300	11	1770	23	690	44	300
15	15	1011002	1900	220015	5347	1	10110	11	1925	23	750	44	325
16	16	1011002	2500	220016	5990	1	11325	11	2155	23	840	44	365
17	17	1011002	3000	220017	6633	1	12540	11	2385	23	930	44	405
18	18	1011002	3500	220018	7276	1	13755	11	2615	23	1020	44	445
19	19	1011002	4000	220019	7919	1	14970	11	2845	23	1110	44	485
20	20	1011002	4500	220020	8562	1	16185	11	3075	23	1200	44	525
21	1	1021001	0	220001	321	1	606	11	115	23	45	44	20
22	2	1021001	100	220002	642	1	1212	11	230	23	90	44	40
23	3	1021001	120	220003	964	1	1818	11	345	23	135	44	60
24	4	1021001	150	220004	1285	1	2424	11	460	23	180	44	80
25	5	1021001	180	220005	1606	1	3030	11	575	23	225	44	100
26	6	1021001	120	220006	1927	1	3636	11	690	23	270	44	120
27	7	1021001	260	220007	2248	1	4242	11	805	23	315	44	140
28	8	1021001	300	220008	2570	1	4848	11	920	23	360	44	160
29	9	1021001	350	220009	2891	1	5454	11	1035	23	405	44	180
30	10	1021001	420	220010	3212	1	6060	11	1150	23	450	44	200
31	11	1021001	500	220011	3639	1	6870	11	1305	23	510	44	225
32	12	1021001	700	220012	4066	1	7680	11	1460	23	570	44	250
33	13	1021001	1000	220013	4493	1	8490	11	1615	23	630	44	275
34	14	1021001	1400	220014	4920	1	9300	11	1770	23	690	44	300
35	15	1021001	1900	220015	5347	1	10110	11	1925	23	750	44	325
36	16	1021001	2500	220016	5990	1	11325	11	2155	23	840	44	365
37	17	1021001	3000	220017	6633	1	12540	11	2385	23	930	44	405
38	18	1021001	3500	220018	7276	1	13755	11	2615	23	1020	44	445
39	19	1021001	4000	220019	7919	1	14970	11	2845	23	1110	44	485
40	20	1021001	4500	220020	8562	1	16185	11	3075	23	1200	44	525
41	1	1031001	0	220001	321	1	606	11	115	23	45	44	20
42	2	1031001	100	220002	642	1	1212	11	230	23	90	44	40
43	3	1031001	120	220003	964	1	1818	11	345	23	135	44	60
44	4	1031001	150	220004	1285	1	2424	11	460	23	180	44	80
45	5	1031001	180	220005	1606	1	3030	11	575	23	225	44	100
46	6	1031001	120	220006	1927	1	3636	11	690	23	270	44	120
47	7	1031001	260	220007	2248	1	4242	11	805	23	315	44	140
48	8	1031001	300	220008	2570	1	4848	11	920	23	360	44	160
49	9	1031001	350	220009	2891	1	5454	11	1035	23	405	44	180
50	10	1031001	420	220010	3212	1	6060	11	1150	23	450	44	200
51	11	1031001	500	220011	3639	1	6870	11	1305	23	510	44	225
52	12	1031001	700	220012	4066	1	7680	11	1460	23	570	44	250
53	13	1031001	1000	220013	4493	1	8490	11	1615	23	630	44	275
54	14	1031001	1400	220014	4920	1	9300	11	1770	23	690	44	300
55	15	1031001	1900	220015	5347	1	10110	11	1925	23	750	44	325
56	16	1031001	2500	220016	5990	1	11325	11	2155	23	840	44	365
57	17	1031001	3000	220017	6633	1	12540	11	2385	23	930	44	405
58	18	1031001	3500	220018	7276	1	13755	11	2615	23	1020	44	445
59	19	1031001	4000	220019	7919	1	14970	11	2845	23	1110	44	485
60	20	1031001	4500	220020	8562	1	16185	11	3075	23	1200	44	525
61	1	1041002	0	220001	321	1	606	11	115	23	45	44	20
62	2	1041002	100	220002	642	1	1212	11	230	23	90	44	40
63	3	1041002	120	220003	964	1	1818	11	345	23	135	44	60
64	4	1041002	150	220004	1285	1	2424	11	460	23	180	44	80
65	5	1041002	180	220005	1606	1	3030	11	575	23	225	44	100
66	6	1041002	120	220006	1927	1	3636	11	690	23	270	44	120
67	7	1041002	260	220007	2248	1	4242	11	805	23	315	44	140
68	8	1041002	300	220008	2570	1	4848	11	920	23	360	44	160
69	9	1041002	350	220009	2891	1	5454	11	1035	23	405	44	180
70	10	1041002	420	220010	3212	1	6060	11	1150	23	450	44	200
71	11	1041002	500	220011	3639	1	6870	11	1305	23	510	44	225
72	12	1041002	700	220012	4066	1	7680	11	1460	23	570	44	250
73	13	1041002	1000	220013	4493	1	8490	11	1615	23	630	44	275
74	14	1041002	1400	220014	4920	1	9300	11	1770	23	690	44	300
75	15	1041002	1900	220015	5347	1	10110	11	1925	23	750	44	325
76	16	1041002	2500	220016	5990	1	11325	11	2155	23	840	44	365
77	17	1041002	3000	220017	6633	1	12540	11	2385	23	930	44	405
78	18	1041002	3500	220018	7276	1	13755	11	2615	23	1020	44	445
79	19	1041002	4000	220019	7919	1	14970	11	2845	23	1110	44	485
80	20	1041002	4500	220020	8562	1	16185	11	3075	23	1200	44	525
81	1	1051001	0	220001	321	1	606	11	115	23	45	44	20
82	2	1051001	100	220002	642	1	1212	11	230	23	90	44	40
83	3	1051001	120	220003	964	1	1818	11	345	23	135	44	60
84	4	1051001	150	220004	1285	1	2424	11	460	23	180	44	80
85	5	1051001	180	220005	1606	1	3030	11	575	23	225	44	100
86	6	1051001	120	220006	1927	1	3636	11	690	23	270	44	120
87	7	1051001	260	220007	2248	1	4242	11	805	23	315	44	140
88	8	1051001	300	220008	2570	1	4848	11	920	23	360	44	160
89	9	1051001	350	220009	2891	1	5454	11	1035	23	405	44	180
90	10	1051001	420	220010	3212	1	6060	11	1150	23	450	44	200
91	11	1051001	500	220011	3639	1	6870	11	1305	23	510	44	225
92	12	1051001	700	220012	4066	1	7680	11	1460	23	570	44	250
93	13	1051001	1000	220013	4493	1	8490	11	1615	23	630	44	275
94	14	1051001	1400	220014	4920	1	9300	11	1770	23	690	44	300
95	15	1051001	1900	220015	5347	1	10110	11	1925	23	750	44	325
96	16	1051001	2500	220016	5990	1	11325	11	2155	23	840	44	365
97	17	1051001	3000	220017	6633	1	12540	11	2385	23	930	44	405
98	18	1051001	3500	220018	7276	1	13755	11	2615	23	1020	44	445
99	19	1051001	4000	220019	7919	1	14970	11	2845	23	1110	44	485
100	20	1051001	4500	220020	8562	1	16185	11	3075	23	1200	44	525
101	1	1061002	0	220001	321	1	606	11	115	23	45	44	20
102	2	1061002	100	220002	642	1	1212	11	230	23	90	44	40
103	3	1061002	120	220003	964	1	1818	11	345	23	135	44	60
104	4	1061002	150	220004	1285	1	2424	11	460	23	180	44	80
105	5	1061002	180	220005	1606	1	3030	11	575	23	225	44	100
106	6	1061002	120	220006	1927	1	3636	11	690	23	270	44	120
107	7	1061002	260	220007	2248	1	4242	11	805	23	315	44	140
108	8	1061002	300	220008	2570	1	4848	11	920	23	360	44	160
109	9	1061002	350	220009	2891	1	5454	11	1035	23	405	44	180
110	10	1061002	420	220010	3212	1	6060	11	1150	23	450	44	200
111	11	1061002	500	220011	3639	1	6870	11	1305	23	510	44	225
112	12	1061002	700	220012	4066	1	7680	11	1460	23	570	44	250
