Id	FightEventId	Type	Icon	Name	Image	Desc
1	50600	1	Assets/Product/Texture/Image/IconAffix/AffixIconMoai2.png	Petrification		The device will petrify <color=#34aff9>all units</color> within <color=#34aff9>10m</color> every <color=#34aff9>5</color>s.
2	50601	1	Assets/Product/Texture/Image/IconAffix/AffixIconHeidong2.png	Black Hole		The device will pull <color=#34aff9>all units</color> nearby every <color=#34aff9>15</color>s.
3	50602	2	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon12251.png	Sweeping Laser	Assets/Product/Texture/Image/UiTwoSideTower/UiTwoSideTowerImg02.png	The device will shoot a laser beam at the character, dealing DMG equal to 10% of max HP to <color=#34aff9>all units</color> on the path.
4	50603	2	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon13001.png	Full-On Bombardment	Assets/Product/Texture/Image/UiTwoSideTower/UiTwoSideTowerImg01.png	The device will shoot at the character, dealing damage equal to 30% of max HP to <color=#34aff9>all units</color> within range.
5	50604	1	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon22080.png	Fast Recovery		All units <color=#34aff9>within 10m</color> from the device will restore 1% of max HP every second.
6	50605	1	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon22001.png	Healing		All units that are more than <color=#34aff9>10m away</color> from the device will restore 1% of max HP every second.
7	50606	1	Assets/Product/Texture/Image/IconAffix/AffixIconFushe2.png	Radiation	Assets/Product/Texture/Image/UiTwoSideTower/UiTwoSideTowerImg03.png	All units <color=#34aff9>within 10m</color> from the device will receive damage equal to 7% of max HP every second.
8	50607	1	Assets/Product/Texture/Image/IconAffix/AffixIconBodong2.png	Wave		All units that are <color=#34aff9>10m away</color> from the device will receive DMG equal to 7% of max HP every second.
9	50608	2	Assets/Product/Texture/Image/IconAffix/AffixIconMoai2.png	Stagnancy		Character's attacks will petrify enemies. Petrified enemies will be <color=#34aff9>immune</color> to damage by the character for <color=#34aff9>5</color>s. Cooldown: <color=#34aff9>10</color>s.
10	50609	1	Assets/Product/Texture/Image/IconAffix/AffixIconHeidong2.png	Turmoil		Enemies will generate a black hole to pull your allies. And every time they <color=#34aff9>receive damage</color>, they will unleash a shockwave and deal damage to <color=#34aff9>all nearby units</color>.
11	50610	1	Assets/Product/Texture/Image/IconAffix/AffixIconXunjie2.png	Follow-Up		Enemies move faster but <color=#34aff9>receive more damage</color>.
12	50611	2	Assets/Product/Texture/Image/IconAffix/AffixIconFushe2.png	Self-Hatred		Enemies deal damage to nearby units over time. The <color=#34aff9>closer the units, the more damage they will receive</color>.
13	50612	2	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21161.png	Implosion		Enemies will be <color=#34aff9>immune</color> to damage from the character but will lose HP over time.
14	50613	1	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon22041.png	Cost of Freedom		Enemies will not be affected by control effects but will receive <color=#34aff9>more damage</color>.
15	50614	1	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon12051.png	Hesitation		Every time when an enemy <color=#34aff9>receives damage</color>, the attacker will lose Dodge Gauge value and movement speed.
16	50615	1	Assets/Product/Texture/Image/IconAffix/AffixIconShanxian2.png	Wave Teleport		Enemies gain Flash. Each time after an enemy flashes, they will <color=#34aff9>receive more damage</color>.
17	50616	1	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon13011.png	Matrix Exchange		Character <color=#34aff9>will not enter Matrix when dodges</color>, but all pings will be regarded as 3-Pings.
18	50617	1	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon12121.png	Matrix Weakness		Character has a shorter cooldown, but enemies have a greatly higher DMG Reduction <color=#34aff9>outside the Matrix</color>.
19	50618	2	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon22041.png	Wild Gambler		Character deals <color=#34aff9>1000%</color> more Signature DMG and <color=#34aff9>dies 10s after the Signature Move hits the target</color>.
