Id	DamageMaxScore	TimeMaxScore	HpMaxScore	BossLoseHp	BossLoseHpScore	BossTotalHp	LeftTime	LeftTimeScore	CharLeftHp	CharLeftHpScore
30180229	80000	45000	45000	0.01	800	0	1	500	0.01	450
30180239	80000	45000	45000	0.01	800	0	1	500	0.01	450
30180249	80000	45000	45000	0.01	800	0	1	500	0.01	450
30180259	80000	45000	45000	0.01	800	0	1	500	0.01	450
30180269	80000	45000	45000	0.01	800	0	1	500	0.01	450
30180230	160000	150000	90000	0.01	1600	0	1	500	0.01	900
30180240	160000	150000	90000	0.01	1600	0	1	500	0.01	900
30180250	160000	150000	90000	0.01	1600	0	1	500	0.01	900
30180260	160000	150000	90000	0.01	1600	0	1	500	0.01	900
30180270	160000	150000	90000	0.01	1600	0	1	500	0.01	900
