Id	Name	ConditionIds[1]	ConditionIds[2]	Priority	SkipId	BtnContent	NpcName	NpcHandIcon	ContentsGroupId	Type	UiType
1010	Lee: Palefire				9001	I got it, Lee.	Lee	Assets/Product/Texture/Image/RoleCharacter/RoleHeadLi1.png	1010	1	2
1020	Lucia: Lotus				9001	Let's talk about something you enjoy.	Lucia	Assets/Product/Texture/Image/RoleCharacter/RoleHeadluxiya1.png	1020	1	2
1030	Liv: Eclipse				9001	No problem. I'm glad you like it.	Liv	Assets/Product/Texture/Image/RoleCharacter/RoleHeadLifu1.png	1030	1	2
1040	Bianca: Zero				9001	It feels great to understand you.	Bianca	Assets/Product/Texture/Image/RoleCharacter/RoleHeadAolisuo1.png	1040	1	2
1050	Nanami: Storm				9001	Thanks... Let me put on my goggles first.	Nanami	Assets/Product/Texture/Image/RoleCharacter/RoleHeadYongyechao1.png	1050	1	2
1060	Kamui: Bastion				9001	I will not forget.	Kamui	Assets/Product/Texture/Image/RoleCharacter/RoleHeadShenwei1.png	1060	1	2
1070	Karenina: Blast				9001	Yeah, I'm free.	Karenina	Assets/Product/Texture/Image/RoleCharacter/RoleHeadKalienina1.png	1070	1	2
1080	Watanabe: Nightblade				9001	It's a promise then.	Watanabe	Assets/Product/Texture/Image/RoleCharacter/RoleHeadDubian1.png	1080	1	2
1090	Lucia: Dawn				9001	I'll try to become the best Commandant too.	Lucia	Assets/Product/Texture/Image/RoleCharacter/RoleHeadluxiya1S.png	1090	1	2
1100	Liv: Lux				9001	I'll be with you.	Liv	Assets/Product/Texture/Image/RoleCharacter/RoleHeadLifu1S.png	1100	1	2
1110	Lee: Entropy				9001	I like it a lot, thanks.	Lee	Assets/Product/Texture/Image/RoleCharacter/RoleHeadLi1SS.png	1110	1	2
1120	Liv: Luminance				9001	Alright.	Liv	Assets/Product/Texture/Image/RoleCharacter/RoleHeadLifu1SS.png	1120	1	2
1130	Kamui: Tenebrion				9001	I'll take good care of this.	Kamui	Assets/Product/Texture/Image/RoleCharacter/RoleHeadShenwei1SS.png	1130	1	2
1140	Karenina: Ember				9001	What about a hug?	Karenina	Assets/Product/Texture/Image/RoleCharacter/RoleHeadKalienina1SS.png	1140	1	2
1150	Nanami: Pulse				9001	Thanks... Wait, what?	Nanami	Assets/Product/Texture/Image/RoleCharacter/RoleHeadYongyechao1SS.png	1150	1	2
1160	α				9001	That's a bit difficult...	α	Assets/Product/Texture/Image/RoleCharacter/RoleHeadLuxiyaaerfa1SS.png	1160	1	2
1170	Watanabe: Astral				9001	I want to see you too.	Watanabe	Assets/Product/Texture/Image/RoleCharacter/RoleHeadDubian1SS.png	1170	1	2
1180	Ayla: Brilliance				9001	I'm ready!	Ayla	Assets/Product/Texture/Image/RoleCharacter/RoleHeadAila1.png	1180	1	2
1190	Bianca: Veritas				9001	Yeah, be there soon.	Bianca	Assets/Product/Texture/Image/RoleCharacter/RoleHeadBianka1SS.png	1190	1	2
1200	Sophia: Silverfang				9001	Thank you, Sophia.	Sophia	Assets/Product/Texture/Image/RoleCharacter/RoleHeadSufeiya1.png	1200	1	2
1210	Chrome: Arclight				9001	Come to me.	Chrome	Assets/Product/Texture/Image/RoleCharacter/RoleHeadKuluomu1.png	1210	1	2
1220	Lucia				9001	Very beautiful. Thank you, Lucia.	Lucia	Assets/Product/Texture/Image/RoleCharacter/RoleHeadR4Luxiya1.png	60001	1	2
1230	Vera				9001	I won't go anywhere.	Vera	Assets/Product/Texture/Image/RoleCharacter/WeilaNormal01.png	60002	1	2
1240	Camu				9001	S-so dark... I'll take my time with them.	Camu	Assets/Product/Texture/Image/RoleCharacter/RoleHeadKamu1.png	60003	1	2
1250	Rosetta				9001	Thank you.	Rosetta	Assets/Product/Texture/Image/RoleCharacter/RoleHeadLuosaita1.png	60004	1	2
1260	Qu				9001	I'm honored.	Qu	Assets/Product/Texture/Image/RoleCharacter/RoleHeadQu1.png	60005	1	2
1270	Changyu				9001	I can hardly wait.	Changyu	Assets/Product/Texture/Image/RoleCharacter/RoleHeadChangyu1.png	60006	1	2
2001	Lucia: Lotus					Thank you, Lucia.	Lucia	Assets/Product/Texture/Image/RoleCharacter/RoleHeadluxiya1.png	2001	1	2
2002	Lucia: Dawn					I'm glad too.	Lucia	Assets/Product/Texture/Image/RoleCharacter/RoleHeadluxiya1S.png	2002	1	2
2003	Lucia: Plume					I'm sure we will.	Lucia	Assets/Product/Texture/Image/RoleCharacter/RoleHeadR4Luxiya1.png	2003	1	2
2004	Lucia: Crimson Abyss					But, Alpha, you...	α	Assets/Product/Texture/Image/RoleCharacter/RoleHeadLuxiyaaerfa1SS.png	2004	1	2
