Id	NextStep	Mask	ConditionType	ConditionParam	CompleteType	CompleteParam	Effect	Arrow	UiName	IsFlow[1]	ListIndex[1]	FlowParam[1]	Target[1]	IsFlow[2]	ListIndex[2]	FlowParam[2]	Target[2]	IsFlow[3]	ListIndex[3]	FlowParam[3]	Target[3]	IsFlow[4]	ListIndex[4]	FlowParam[4]	Target[4]	RewardId	Record	IconPos	Icon	Name	Text	
10101	10102	1	1	UiMain	0				UiMain	0				0													0	0	Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	Mysterious Girl	Finally! We have a connection. No time to explain - you need to learn the basics of a Commandant's responsibility.	
10102	10103	1	3	10101	1	UiTask			UiMain	0			SafeAreaContentPane/BgView/Background/BtnLegion	0													0	0	Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	Mysterious Girl	Missions from Eden are shown here.	
10103		1	6	PanelTaskStoryList	0				UiTask	1	98	Id	PanelTaskStoryList	0			BtnFinish										1	0	Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	Mysterious Girl	Choose a completed mission.	
10201	10202	1	1	UiMain	0				UiMain	0				0													0	0	Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	Mysterious Girl	You have submitted your post-action report. Now, try swapping a team member's [Memory].	
10202	10203	1	3	10201	1	UiCharacter			UiMain	0			BtnConstructor	0													0	0	Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	Mysterious Girl		
10203	10204	1	3	10202	1	UiEquipAwarenessReplace			UiCharacter	0			BtnAwarenessReplace1	0													0	0	Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	Mysterious Girl		
10204	10205	1	6	PanelEquipScroll	1	UiEquipAwarenessPopup			UiEquipAwarenessReplace	1	3012001		PanelEquipScroll	0			@										0	1	Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	Mysterious Girl		
10205		1	3	10204	0				UiEquipAwarenessPopup	0			BtnPutOn	0													1	0	Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	Mysterious Girl		
10301	10302	1	1	UiMain	0				UiMain	0				0													0	0	Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	Mysterious Girl	[Memory] can be enhanced.	
10302	10303	1	3	10301	1	UiCharacter			UiMain	0			BtnConstructor	0													0	0	Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	Mysterious Girl		
10303	10304	1	3	10302	1	UiEquipAwarenessReplace			UiCharacter	0			PanelAwareness1	0													0	0	Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	Mysterious Girl		
10304	10305	1	3	10205|10303	1	UiEquipAwarenessPopup			UiEquipAwarenessReplace	0			PanelPos1	0													0	0	Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	Mysterious Girl	Choose a [Memory] to enhance.	
10305	10306	1	3	10304	1	UiEquipDetail			UiEquipAwarenessPopup	0			BtnStrengthen	0													0	0	Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	Mysterious Girl		
10306	10307	1	3	10305	1	UiEquipStrengthen			UiEquipDetail	0			BtnStrengthen	0													0	0	Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	Mysterious Girl		
10307	10308	1	6	PanelEquipScroll	0				UiEquipStrengthen	1	3912001		PanelEquipScroll	0			@										0	1	Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	Mysterious Girl		
10308	10309	1	3	10307	0				UiEquipStrengthen				BtnStrengthen														1	0	Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	Mysterious Girl		
10309		1	3	10308	0				UiEquipStrengthen	0			BtnMain	0													0	0	Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	Mysterious Girl		
10401	10402	1	1	UiMain	0				UiMain	0				0													0	0	Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	Mysterious Girl	Your team is now ready to continue operations.	
10402	10403	1	3	10401	1	UiFubenMainLineBanner			UiMain	0			BtnFight	0													0	0	Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	Mysterious Girl		
10403	10404	1	6	PanelChapterList	5				UiFubenMainLineBanner	1	1001	Id	PanelChapterList	0													0	0	Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	Mysterious Girl		
10404	10405	1	3	10403	1	UiFubenMainLineDetail			UiFubenMainLineChapter	0			10010101	0													0	0	Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	Mysterious Girl		
10405	10406	1	3	10404	1	UiNewRoomSingle			UiFubenMainLineDetail	0			BtnEnter	0													0	0	Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	Mysterious Girl		
10406		1	3	10405	0				UiNewRoomSingle	0			BtnEnterFight	0													1	0	Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	Mysterious Girl		
20101	20102	1	1	UiMain	0				UiMain	0				0													0	0	Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	Mysterious Girl	Let's try out the new equipment.	
20102	20103	1	3	20101	1	UiCharacter			UiMain	0			BtnConstructor	0													0	0	Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	Mysterious Girl		
20103	20104	1	3	20102	1	UiEquipAwarenessReplace			UiCharacter	0			PanelAwareness4	0													0	0	Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	Mysterious Girl		
20104	20105	1	3	20103	0				UiEquipAwarenessReplace	0			Tog4	0													0	1	Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	Mysterious Girl	[Memory] provide different bonuses based on the part they are equipped on.	
20105	20106	1	6	PanelEquipScroll	1	UiEquipAwarenessPopup			UiEquipAwarenessReplace	1	3042001		PanelEquipScroll	0			@										0	1	Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	Mysterious Girl	Equip [Memory] of the same name to activate set bonuses.	
20106	20107	1	3	20105	0				UiEquipAwarenessPopup	0			BtnPutOn	0													1	0	Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	Mysterious Girl		
20107	20108	1	3	20106	0				UiEquipAwarenessReplace	0				0													0	0	Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	Mysterious Girl	Wear 2 [Memory] of the same name to activate a set-of-2 bonus.	
20108		1	3	20107	0				UiEquipAwarenessReplace	0			BtnMain	0													0	0	Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	Mysterious Girl		
20201	20202	1	1	UiMain	0				UiMain	0				0													0	0	Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	Mysterious Girl	We are now ready for battle.	
