Id	Name	RankLevel	Enable
101	Army Commander	1	1
102	Army Deputy Commander	2	1
103	General in Chief	3	1
104	Battle Elite	4	1
201	Field Commander	1	0
202	Chief Adviser	2	0
203	Corps Commander	3	0
204	Joint Force Elite	4	0
301	Force Commander	1	1
302	Vice Commander	2	1
303	Commander Elite	3	1
304	Officer	4	1
401	Supreme Commander	1	1
402	Vice Adjudicator	2	1
403	Operation Analyst	3	1
404	Operation Executor	4	1
501	Commander-in-Chief	1	1
502	Deputy Adviser	2	1
503	Chief Adviser	3	1
504	Chief Elite	4	1
