Level	Capacity	PositionNum[1]	PositionNum[2]	PositionNum[3]	Build	Contribution	EmergencyMaintenance	EmergencyDay	WishMaxCount	WishItemCount	WishContributeMaxCount	TalentPoint
1	35	1	8	10	7000	0	0	0	0	0	0	10
2	40	1	10	10	12800	0	0	0	0	0	0	10
3	45	1	12	10	16200	0	0	0	0	0	0	20
4	50	1	14	10	25000	0	0	0	0	0	0	30
5	55	2	16	10	44000	0	0	0	0	0	0	50
6	60	2	18	10	62400	0	0	0	0	0	0	80
7	65	2	20	10	78000	0	0	0	0	0	0	130
8	70	3	22	10	88200	0	0	0	0	0	0	150
9	75	3	24	10	94500	0	0	0	0	0	0	180
10	80	3	26	10	-1	0	0	0	0	0	0	180
