Id	Name	FurnitureType	IsShowName	NameHeightOffset	InteractPos	ShowButtonGroupId	EffectGroupId	IsGetReward	RewardHeightOffset	PrefabName	DontAutoCreateCollider	IsNeedLoad	SpecialUiNames[1]	UiNameProxyPaths[1]	SpecialUiNameHeightOffset[1]	UiShowDistance	EnvironmentSound	RedPointCondition	AnimationType	AnimationArg	AnimationName[1]	AnimationName[2]
1	Floor	1								GuildFloor001	1											
2	Wall No.1	3								GuildWall001												
3	Wall No.2	3								GuildWall002												
4	Wall No.3	3								GuildWall003												
5	Wall No.4	3								GuildWall004												
6	Camera No.1	3								GuildCamera001												
7	Camera No.2	3								GuildCamera001_1												
8	Camera No.3	3								GuildCamera002												
9	Camera No.4	3								GuildCamera002_1												
10	Door No.1	3								GuildDoor001												
11	Door No.2	3								GuildDoor001_1												
12	Window No.1	3								GuildWindow001												
13	Window No.2	3								GuildWindow001 _1												
14	Wall Equipment	3								GuildPackage001												
15	Wall Equipment	3								GuildPackage001_1												
16	Ceiling	3								GuildCeiling001												
17	Tactical Long Table	2								GuildTable001	1											
18	Player	2	1	1.25	1	200				GuildConsole001	1		PanelMusicPlayer	XUi/XUiGuildDorm/XUiGuildDormMusicGrid	1.75	4						
19	Info Board	2								GuildConsole001_1												
20	Tactical Short Table	2								GuildConsole002												
21	Tactical Short Table	2								GuildConsole002_1												
22	Info Board	2								GuildBlackboard001						4						
23	Tactical Terminal	2			1	100				GuildCommand001	1									Test	Setup	Exit
24	Sleep Cabin No.1	2			1	1		1	1.75	GuildCockpit001	1											
25	Sleep Cabin No.2	2			1	1		1	1.75	GuildCockpit001_1	1											
26	Tactical Chair No.1	2			1	3		1	1.25	GuildChair001	1											
27	Tactical Chair No.2	2			1	3		1	1.25	GuildChair001_1	1											
28	Tactical Chair No.3	2			1	3		1	1.25	GuildChair001_2	1											
29	Tactical Chair No.4	2			1	3		1	1.25	GuildChair001_3	1											
30	Tactical Chair No.5	2			1	3		1	1.25	GuildChair001_4	1											
31	Tactical Chair No.6	2			1	3		1	1.25	GuildChair001_5	1											
32	Tactical Chair No.7	2			1	3		1	1.25	GuildChair001_6	1											
33	Tactical Chair No.8	2			1	3		1	1.25	GuildChair001_7	1											
34	Vending Machine No.1	2			1	4		1	2	GuildCabinet001	1											
35	Vending Machine No.2	2			1	4		1	2	GuildCabinet003	1											
36	Vending Machine No.3	2			1	4		1	2	GuildCabinet003_1	1											
37	Fortune Machine	2	1	2	1	300	300		2.3	Signmodel01	1					5		CONDITION_GUILD_SIGN_REWARD				
1000	Floor	1								S03006_Terrain01	1											
1001	Recliner	2			1	1		1	1.25	S03006_11Tanyi (1)	1											
1002	Recliner	2			1	1		1	1.25	S03006_11Tanyi (2)	1											
1003	Recliner	2			1	1		1	1.25	S03006_11Tanyi (4)	1											
1004	Recliner	2			1	1		1	1.25	S03006_11Tanyi (6)	1											
1005	Recliner	2			1	1		1	1.25	S03006_11Tanyi (7)	1											
1006	Recliner	2			1	1		1	1.25	S03006_11Tanyi (8)	1											
1007	Chair	2			1	2		1	1.25	S03006_11yizi	1											
1008	Chair	2			1	2		1	1.25	S03006_11yizi (1)	1											
1009	Chair	2			1	2		1	1.25	S03006_11yizi (2)	1											
1010	Chair	2			1	2		1	1.25	S03006_11yizi (3)	1											
1011	Chair	2			1	2		1	1.25	S03006_11yizi (4)	1											
1012	Chair	2			1	2		1	1.25	S03006_11yizi (5)	1											
1013	Chair	2			1	2		1	1.25	S03006_11yizi (6)	1											
1014	Chair	2			1	2		1	1.25	S03006_11yizi (7)	1											
1015	Chair	2			1	2		1	1.25	S03006_11yizi (8)	1											
1016	Chair	2			1	2		1	1.25	S03006_11yizi (9)	1											
1017	Ice Cream Stool	2			1	2		1	1.25	S03006_10Denzi	1											
1018	Ice Cream Stool	2			1	2		1	1.25	S03006_10Denzi (1)	1											
1019	Ice Cream Stool	2			1	2		1	1.25	S03006_10Denzi (4)	1											
1020	Ice Cream Stool	2			1	2		1	1.25	S03006_10Denzi (5)	1											
1021	Player	2	1	1.25	1	200				S03006_01Tiaoyintao	1		PanelMusicPlayer	XUi/XUiGuildDorm/XUiGuildDormMusicGrid	1.75	4						
1022	Blue Chair	2			1	2		1	1.25	S03006_13Yizi	1											
1023	Blue Chair	2			1	2		1	1.25	S03006_13Yizi (1)	1											
1024	Blue Chair	2			1	2		1	1.25	S03006_13Yizi (2)	1											
1025	Blue Chair	2			1	2		1	1.25	S03006_13Yizi (3)	1											
1026	Barbecue Grill	2								WoodenBarbecues001	1						2636					
1027	Sea Level	2								3006_Water_01	1						2634					
1028	Fortune Machine	2	1	2	1	300	300		2.3	Signmodel02	1					5		CONDITION_GUILD_SIGN_REWARD				
2000	Floor	1								Navigation	1											
2001	Chair	2			1	2		1	1.25	S03405_11Yizi	1											
2002	Chair	2			1	2		1	1.25	S03405_11Yizi (1)	1											
2003	Chair	2			1	2		1	1.25	S03405_11Yizi (2)	1											
2004	Chair	2			1	2		1	1.25	S03405_11Yizi (3)	1											
2005	Chair	2			1	2		1	1.25	S03405_11Yizi (4)	1											
2006	Chair	2			1	2		1	1.25	S03405_11Yizi (5)	1											
2007	Fireworks Device	2			1	5		1	1.25	S03405_06Yanhua (3)	1											
2008	Fireworks Device	2			1	5		1	1.25	S03405_06Yanhua (4)	1											
2009	Fireworks Device	2			1	5		1	1.25	S03405_06Yanhua (5)	1											
2010	Tactical Terminal	2			1	100				S03405_22Qiandaoji	1											
2011	Player	2	1	1.25	1	200				S03405_22Bofangqi	1		PanelMusicPlayer	XUi/XUiGuildDorm/XUiGuildDormMusicGrid	1.75	5						
2012	Fortune Machine	2	1	2	1	300	300		2.3	S03405_13Qiandaoji	1					5		CONDITION_GUILD_SIGN_REWARD				
2013	Sky Fireworks	3					1			Yanhua							2838					
2014	Sky Fireworks	3					1			Yanhua (4)							2838					
