Id	MonsterId	Num	Level	FightEventIds[1]	FightEventIds[2]	FightEventIds[3]	Desc
11100	93232	1	194	779782			Courier，1-1
11101	93182	1	84	779783			Nalasr，1-1
11110	90350	1	120	779784			Firefighter!, 1-1
11200	93182	1	84	779783			Nalasr，1-2
11201	93192	1	135	779786			Heal，1-2
11202	90090	1	138	779785			Ground Monitor, 1-2
11203	90090	1	138	779785			Ground Monitor, 1-2
11210	90360	1	119				Deconstructor, 1-2
11300	90760	1	181	779787			Rabbit, 1-3
11301	91750	1	99	779788			Snow Owl, 1-3
11302	90150	1	74	779784			Hydraulic, 1-3
11303	90090	1	138	779789			Octopus, 1-3
11304	90190	1	113	779789			Shieldbearer, 1-3
11310	90340	1	85	779790			Royal Guard!, 1-3
11400	93223	1	118				Deporter，1-4
11401	90150	1	74				Hydraulic, 1-4
11402	90130	1	86				Tamer, 1-4
11403	93182	1	84				Nalasr，1-4
11410	90360	1	119				Deconstructor, 1-4
11411	90440	1	157				Terrapod, 1-4
21100	90850	1	243	779802			Chomper, 1-1
21101	93182	1	165	779803			Nalasr，1-1
21102	90190	1	221	779804			Shieldbearer, 1-1
21110	90330	1	239	779782			Envoy!, 1-1
21200	93223	1	231	779802			Deporter，1-2
21201	90090	1	272	779804			Octopus, 1-1
21202	93192	1	265	779805			Heal，1-2
21203	90850	1	243	779802			Chomper, 1-2
21210	90340	1	166	779786			Royal Guard!, 1-2
21300	90760	1	355	779806			Rabbit, 1-3
21301	91750	1	195	779789			Snow Owl, 1-3
21302	90150	1	146	779802			Hydraulic, 1-3
21303	90160	1	231	779807			Sentry Gun, 1-3
21304	90090	1	272	779782			Octopus, 1-3
21305	90190	1	221	779782			Shieldbearer, 1-3
21310	90410	1	384	779808			Acid Ant, 1-3
21400	90130	1	168				Tamer, 1-4
21401	93182	1	165				Nalasr，1-4
21402	93223	1	231				Deporter，1-4
21403	91750	1	195				Snow Owl, 1-4
21410	90390	1	185				Harvester, 1-4
22100	90710	1	210	779809			Cathy, 2-1
22101	90730	1	210	779809			Mr. White, 2-1
22102	90720	1	163	779810			Martini, 2-1
