Id	Name	Description	WorldDesc	BigIcon	Icon	ItemType	Quality	Priority	MaxCount	GridCount	TimelinessType	StartTime	Duration	RecycleRewardId	RecycleByMail	SellForId	SellForCount	RecType	RecTime	RecCount	SuitId	FastTrading	SkipIdParams[0]	SkipIdParams[1]	SkipIdParams[2]	SkipIdParams[3]	SkipIdParams[4]	SkipIdParams[5]	SubTypeParams[0]	SubTypeParams[1]	SubTypeParams[2]	SubTypeParams[3]	SubTypeParams[4]	SubTypeParams[5]	SubTypeParams[6]	SubTypeParams[7]
1	Cogs	Common material that contains important compounds.	Standard cog widely used in industrial production during the Golden Age. It became the key to Construct development when the Ta-193 copolymer that it contains was found to have extremely high biological affinity.	Assets/Product/Texture/Image/Iconcurrency/IconConsumeMoney.png	Assets/Product/Texture/Image/IconcurrencySp/IconConsumeMoneySp.png	3	3	10														0														
2	Black Card	Special card that can be exchanged for various materials.	Can be exchanged for resources in Humanity Front territory. Issued to squads as funding and managed by the Commandant.	Assets/Product/Texture/Image/Iconcurrency/IconConsumeGem.png	Assets/Product/Texture/Image/IconcurrencySp/IconConsumeGemSp.png	3	5	10														0	50024													
3	Black Card	Special card that can be exchanged for various materials.	Can be exchanged for resources in Humanity Front territory. Issued to squads as funding and managed by the Commandant.	Assets/Product/Texture/Image/Iconcurrency/IconConsumeGem.png	Assets/Product/Texture/Image/IconcurrencySp/IconConsumeGemSp.png	3	5	10														0	50024													
4	Serum	Required for the Commandant to enter battle.	Protects the human body from the Punishing for a certain amount of time, and supplied to Babylonia's frontline squads reguarly.	Assets/Product/Texture/Image/Iconcurrency/IconConsumeActionPoint.png	Assets/Product/Texture/Image/IconcurrencySp/IconConsumeActionPointSp.png	1	4	10	5000									1	360	1		0														
5	Rainbow Card	Premium card that can be exchanged for various materials.	Premium card that can be exchanged for resources in Humanity Front territory. Managed by the Commandant.	Assets/Product/Texture/Image/IconTools/IconConsumeGem02.png	Assets/Product/Texture/Image/IconToolsSp/IconConsumeGem02Sp.png	3	5	10														0	50037													
6	Bullion	Placeholder.	Placeholder	Assets/Product/Texture/Image/IconTools/ItPointChaExp.png	Assets/Product/Texture/Image/IconToolsSp/ItPointChaExpSp.png	1	3	10	999	99												0														
7	Squad EXP	Represents a squad's performance records. Accumulate EXP to increase squad rating.		Assets/Product/Texture/Image/IconTools/ItPointTeamExp001.png	Assets/Product/Texture/Image/IconToolsSp/ItPointTeamExp001Sp.png	1	3	10														0														
8	Rainbow Card	Premium card that can be exchanged for various materials.	Premium card that can be exchanged for resources in Humanity Front territory. Managed by the Commandant.	Assets/Product/Texture/Image/IconTools/IconConsumeGem02.png	Assets/Product/Texture/Image/IconToolsSp/IconConsumeGem02Sp.png	3	5	10														0														
9	Shard	Not in use.		Assets/Product/Texture/Image/IconTools/IconNomal.png	Assets/Product/Texture/Image/IconToolsSp/IconNomalSp.png	8	3	10	999	999												0														
10	Rainbow Card	Premium card that can be exchanged for various materials.	Premium card that can be exchanged for resources in Humanity Front territory. Managed by the Commandant.	Assets/Product/Texture/Image/IconTools/IconConsumeGem02.png	Assets/Product/Texture/Image/IconToolsSp/IconConsumeGem02Sp.png	3	5	10														0														
11	Friendship Point	Level of friendship with a contact.		Assets/Product/Texture/Image/IconTools/ItPointFriend001.png	Assets/Product/Texture/Image/IconToolsSp/ItPointFriend001Sp.png	1	3	10	9999													0														
12	Skill Point	Data program that increases members' understanding of skills and raises their skill levels.	Chip containing skill data. Helps members improve their skills.	Assets/Product/Texture/Image/Iconcurrency/IconConsumeSP.png	Assets/Product/Texture/Image/IconcurrencySp/IconConsumeSPSp.png	1	3	10	99999	99												0	10040													
13	Daily Activity	Activity gained from completing Daily Missions. Resets at 07:00 AM UTC daily.		Assets/Product/Texture/Image/IconTools/ItPointNewquest01.png	Assets/Product/Texture/Image/IconToolsSp/ItPointNewquest01Sp.png	1	3	10	1000													0														
14	Weekly Activity	Activity gained from completing Daily Missions. Resets at 07:00 AM UTC on Monday.		Assets/Product/Texture/Image/IconTools/ItPointQuest01.png	Assets/Product/Texture/Image/IconToolsSp/ItPointQuest01Sp.png	1	3	10	5000													0														
15	Particle	Generated by the Dormitory power plant.		Assets/Product/Texture/Image/IconTools/ItBatI010010.png	Assets/Product/Texture/Image/IconToolsSp/ItBatI010010Sp.png	1	3	10														0														
16	Material	Currency for Dormitory Decor.	Materials obtained from recycling. Can be remade into various useful items.	Assets/Product/Texture/Image/IconTools/ItExpI100010.png	Assets/Product/Texture/Image/IconToolsSp/ItExpI100010Sp.png	1	3	10														0														
17	Scavenger MK-II	Increases reward in Co-op.	Robot developed by Babylonia. Able to survive exposure to the Punishing for brief periods of time, it can help find useful materials on the battlefield.	Assets/Product/Texture/Image/Iconcurrency/IconConsumeJunkman.png	Assets/Product/Texture/Image/IconcurrencySp/IconConsumeJunkmanSp.png	1	3	10	21	21												0														
18	Bounty EXP	Increases Bounty level.	Special reward that increases Bounty level. Complete different missions to get different bonuses. "Aim for the top." —Anonymous Construct	Assets/Product/Texture/Image/Iconcurrency/IconConsumeJunkman.png	Assets/Product/Texture/Image/IconcurrencySp/IconConsumeJunkmanSp.png	1	3	10														0														
19	Test item	Test item.	Test item	Assets/Product/Texture/Image/IconTools/IconConsumeGem02.png	Assets/Product/Texture/Image/IconToolsSp/IconConsumeGem02Sp.png	3	5	10														0														
20	Current	Progress earned from completing Novice Missions.	Thank you, Commandant. - Gray Raven	Assets/Product/Texture/Image/IconTools/ItPointQuest01.png	Assets/Product/Texture/Image/IconToolsSp/ItPointQuest01Sp.png	1	3	10	1000													0														
21	Fragment Shard	Unlocks Fragment stages.	Different combinations of the same shards may lead to different results. - Asimov	Assets/Product/Texture/Image/IconTools/ItBePassport01.png	Assets/Product/Texture/Image/IconToolsSp/ItBePassport01Sp.png	1	3	10	99	99												0														
22	Scavenger MK-II	Increases reward in Co-op.	Robot developed by Babylonia. Able to survive exposure to the Punishing for brief periods of time, it can help find useful materials on the battlefield.	Assets/Product/Texture/Image/Iconcurrency/IconConsumeJunkman.png	Assets/Product/Texture/Image/IconcurrencySp/IconConsumeJunkmanSp.png	1	3	10	21	21												0														
23	War Zone Influence	Currency for War Zone. Can be used in the War Shop.	Conflicts of various kinds can arise in the War Zone. Those who have influence are often in a position to determine the final outcome of these Event.	Assets/Product/Texture/Image/IconTools/IconConsumeBattle001.png	Assets/Product/Texture/Image/IconToolsSp/IconConsumeBattle001Sp.png	3	5	10	99999	99999												0	10000													
24	4★ Weapon Shard	Obtained from recycling 4★ weapons.	Parts obtained from recycling a 4★ weapon. Can be used to manufacture other weapons of the same grade, maximizing the use of resources.	Assets/Product/Texture/Image/IconTools/IconConsumeShopWeapon01.png	Assets/Product/Texture/Image/IconToolsSp/IconConsumeShopWeapon01Sp.png	65540	4	29800	99999	99999	1	2020/12/24 10:00	1	24								0	10001													
25	5★ Weapon Shard	Obtained from recycling 5★ weapons.	Parts obtained from recycling a 5★ weapon. Can be used to manufacture other weapons of the same grade, maximizing the use of resources.	Assets/Product/Texture/Image/IconTools/IconConsumeShopWeapon02.png	Assets/Product/Texture/Image/IconToolsSp/IconConsumeShopWeapon02Sp.png	65540	5	29800	99999	99999												0	10002													
26	6★ Weapon Shard	Obtained from recycling 6★ weapons.	Parts obtained from recycling a 6★ weapon. Can be used to manufacture other weapons of the same grade, maximizing the use of resources.	Assets/Product/Texture/Image/IconTools/IconConsumeShopWeapon03.png	Assets/Product/Texture/Image/IconToolsSp/IconConsumeShopWeapon03Sp.png	65540	6	29800	99999	99999												0	10003													
27	4★ Memory Shard	Obtained from recycling 4★ Memory Chips.	Parts obtained from recycling a 4★ Memory Chip. Can be used to manufacture other weapons of the same grade, maximizing the use of resources.	Assets/Product/Texture/Image/IconTools/IconConsumeShopWafer01.png	Assets/Product/Texture/Image/IconToolsSp/IconConsumeShopWafer01Sp.png	65540	4	29800	99999	99999	1	2020/12/24 10:00	1	27								0	10004													
28	5★ Memory Shard	Obtained from recycling 5★ Memory Chips.	Parts obtained from recycling a 5★ Memory Chip. Can be used to manufacture other weapons of the same grade, maximizing the use of resources.	Assets/Product/Texture/Image/IconTools/IconConsumeShopWafer02.png	Assets/Product/Texture/Image/IconToolsSp/IconConsumeShopWafer02Sp.png	65540	5	29800	99999	99999												0	10005													
29	6★ Memory Shard	Obtained from recycling 6★ Memory Chips.	Parts obtained from recycling a 6★ Memory Chip. Can be used to manufacture other weapons of the same grade, maximizing the use of resources.	Assets/Product/Texture/Image/IconTools/IconConsumeShopWafer03.png	Assets/Product/Texture/Image/IconToolsSp/IconConsumeShopWafer03Sp.png	65540	6	29800	99999	99999												0	10006													
30	Dorm Coin	Used for Dormitory Research and other actions.	Shiny coins that can be spent to perform research and other Dormitory-related actions.	Assets/Product/Texture/Image/IconTools/IconConsumeBase01.png	Assets/Product/Texture/Image/IconToolsSp/IconConsumeBase01Sp.png	3	5	29500	99999	99999												0	10007													
31	Decor Coin	Parts obtained from recycling Decor. Can be reassembled into other Decor.	Recycle existing Decor to obtain materials to produce new Decor, maximizing the use of resources.	Assets/Product/Texture/Image/IconTools/IconConsumeHouse01.png	Assets/Product/Texture/Image/IconToolsSp/IconConsumeHouse01Sp.png	3	4	29500	9999999	9999999												0	10026													
32	Coating Blueprint	Can be exchanged for Coatings.	Design blueprint that records Coating schematics in detail, used to produce new Coatings.	Assets/Product/Texture/Image/IconTools/CloPass02.png	Assets/Product/Texture/Image/IconToolsSp/CloPass02Sp.png	65540	5	29700	99999	99999												0	10008													
33	Coating Sketch	Can be exchanged for Coating Blueprints.	Rough sketch of a Coating design. Conveys the designer's concept, but not quite detailed enough to put into production.	Assets/Product/Texture/Image/IconTools/CloPass01.png	Assets/Product/Texture/Image/IconToolsSp/CloPass01Sp.png	65540	4	29700	99999	99999												0	10020													
34	A-Class Inver Material	Obtained from recycling Inver-Shards.	Material obtained from recycling Inver-Shards. Highly valuable and can be exchanged for various supplies at Babylonia.	Assets/Product/Texture/Image/IconTools/IconCharacterPiece01.png	Assets/Product/Texture/Image/IconToolsSp/IconCharacterPiece01Sp.png	65540	4	29901	99999	99999												0	10024													
35	S-Class Inver Material	Obtained from recycling Inver-Shards.	Material obtained from recycling Inver-Shards. Extremely valuable and can be exchanged for various supplies at Babylonia.	Assets/Product/Texture/Image/IconTools/IconCharacterPiece02.png	Assets/Product/Texture/Image/IconToolsSp/IconCharacterPiece02Sp.png	65540	4	29903	99999	99999												0	10024													
36	Residence Permit	Used to unlock a new Dormitory.	Permit to build new Dormitory facilities at the HQ.	Assets/Product/Texture/Image/IconTools/IconDormPass01.png	Assets/Product/Texture/Image/IconToolsSp/IconDormPass01Sp.png	65540	5	29500	99999	99999						30	2					0	10015													
37	Proof of Honor	Upvote others members of the United Command Bureau to increase their Popularity.	A special proof of popularity.	Assets/Product/Texture/Image/IconTools/IconDormPass01.png	Assets/Product/Texture/Image/IconToolsSp/IconDormPass01Sp.png	262148	4	1	99999	99999												0														
38	Command Bureau Contribution	Indicates the contribution you have made to the Command Bureau. Forms the basis for Command Bureau Contribution Rankings.	Can be gained by participating in Command Bureau challenges	Assets/Product/Texture/Image/IconTools/ItGuildPoint01.png	Assets/Product/Texture/Image/IconToolsSp/ItGuildPoint01Sp.png	2097156	4	40001	99999	99999												0														
39	United Achievement Points	Rewarded to participants in Command Bureau challenges. Can be exchanged for various resources in Point Shop.	Tokens rewarded to participants in Command Bureau events	Assets/Product/Texture/Image/IconTools/ItGuildConsume01.png	Assets/Product/Texture/Image/IconToolsSp/ItGuildConsume01Sp.png	3	4	10	99999	99999												0														
40	Command Bureau EXP	You can level up the Command Bureau after gaining enough Command Bureau EXP.	You can accumulate EXP for your Command Bureau by participating in Command Bureau challenges.	Assets/Product/Texture/Image/IconTools/ItGuildExp01.png	Assets/Product/Texture/Image/IconToolsSp/ItGuildExp01Sp.png	1	3	10	99999													0														
41	Return Progress	The progress of returning player missions. Will be reset once the returning period ends.		Assets/Product/Texture/Image/IconTools/ItPointQuest01.png	Assets/Product/Texture/Image/IconToolsSp/ItPointQuest01Sp.png	1	3	10	9999													0														
42	Type II Vote	Use this item to give likes to your favorite comments in Eden II forum.	Each vote has a unique identification code. Enter the code in Eden II to get likes. The votes will be reset to zero at the end of every event.	Assets/Product/Texture/Image/IconTools/ItPointEvent005.png	Assets/Product/Texture/Image/IconToolsSp/ItPointEvent005Sp.png	1	3	10	9999	99												0														
43	Progress	The progress of completion for Eden II Event targets.	Thank you, Commandant. - Gray Raven	Assets/Product/Texture/Image/IconTools/ItPointQuest01.png	Assets/Product/Texture/Image/IconToolsSp/ItPointQuest01Sp.png	1	3	10	99999													0														
44	Pioneer Medal	The proof of participation in the pioneer test. Can be exchanged for Black Cards in the live server. Stay tuned to further announcements for more detail.		Assets/Product/Texture/Image/IconTools/IconStagePass01.png	Assets/Product/Texture/Image/IconToolsSp/IconStagePass01Sp.png	65540	5	29999	99999	99999												0														
45	Weapon Coating Blueprint	Can be exchanged for Weapon Coatings.	Design blueprint that records Weapon Coating schematics in detail, used to produce new Weapon Coatings.	Assets/Product/Texture/Image/IconTools/CloPass03.png	Assets/Product/Texture/Image/IconToolsSp/CloPass03Sp.png	65540	5	29700	99999	99999												0														
46	Beacon Amplifier Points	Gained by leveling up the Command Bureau. Allow you to level up Beacon Amplifier.	An indicator of the team effort put into developing the Command Bureau.	Assets/Product/Texture/Image/IconTools/ItGuildConsume02.png	Assets/Product/Texture/Image/IconToolsSp/ItGuildConsume02Sp.png	1	3	10	99999													0														
47	Special Support Token	Use it to exchange for items in the Resource Shop. (Combat Supply Stage AE-5 drop)	A silver spinning top crafted from special materials. Bears a QR code that projects the words "Support Force" upon being scanned. Can be exchanged in Resource Shop for supplies that Babylonia has specially requisitioned for high-performing squads.	Assets/Product/Texture/Image/IconTools/IconConsumeShop001.png	Assets/Product/Texture/Image/IconToolsSp/IconConsumeShop001Sp.png	3	4	10	99999	99999												0	11728													
48	S-Rank Uniframe Material	Obtained by deconstructing the corresponding Inver-Shard.	The material obtained by deconstructing extra Inver-Shards has a higher recycle value and can be used to exchange any material in Babylonia.	Assets/Product/Texture/Image/IconTools/IconCharacterPiece03.png	Assets/Product/Texture/Image/IconToolsSp/IconCharacterPiece03Sp.png	65540	4	29902	99999	99999												0	10024													
50	Action Points	Autopoiesis Maze Action Points	Autopoiesis Maze Action Points			3	5	10	99999	99999												0														
51	Aberrant Cube	Can purchase add-on units in Autopoiesis Maze	The smaller version of a common material for industrial production. Can quickly produce add-ons and tools, among other things, based on the blueprint provided. Caveat: non-standard materials like this are worthless outside Autopoiesis Maze.	Assets/Product/Texture/Image/IconTools/ItPointEvent006.png	Assets/Product/Texture/Image/IconTools/ItPointEvent006.png	3	5	10	99999	99999												0														
52	Add-On Unit	Gain a random add-on unit to power up members in Autopoiesis Maze.	An integrator of certain add-on efficacy. Only works in Autopoiesis Maze.	Assets/Product/Texture/Image/IconTools/ItPointEvent008.png	Assets/Product/Texture/Image/IconTools/ItPointEvent008.png	2097156	5	40002	99999	99999												0														
53	Command Bureau Name Change Card	It can change the name of your Command Bureau. Note that only the Commandant with the highest authority level can use it.		Assets/Product/Texture/Image/IconTools/IconGuildRenameCard.png	Assets/Product/Texture/Image/IconToolsSp/IconGuildRenameCardSp.png	4194308	5	100000	99999	99999												0														
54	War Zone Merit	Issued based on War Zone ranking. Once there are 100 Merit, you may use all the Merit accumulated to avoid Demotion once in any division.	Commandants who have made outstanding contribution in War Zone are always favored in Babylonia. Sometimes they even get certain privileges.	Assets/Product/Texture/Image/IconToolsSp/IconZhanquGognxunzhi.png	Assets/Product/Texture/Image/IconToolsSp/IconZhanquGognxunzhi.png	3	5	10	99999	99999												0														
55	Battle Data	Chestlefield's tokens. Used for purchasing Tactic Cards in Tactic Reserve.	A very scientific small terminal that can capture real-time combat data and analyze it.	Assets/Product/Texture/Image/IconTools/IconActivityChessPursuit01.png	Assets/Product/Texture/Image/IconToolsSp/IconActivityChessPursuit01Sp.png	3	5	10	99999	99999												0														
