Id	LottoId	TemplateId	Count	Params[0]	Params[1]	Params[2]	Weights[1]	Weights[2]	Weights[3]	Weights[4]	Weights[5]	Weights[6]	Weights[7]	Weights[8]	Weights[9]	Weights[10]
1	1	6210307	1				0	0	0	0	30	30	30	30	30	30
2	1	50007	3500				0	0	120	120	120	120	120	120	120	120
3	1	80010	1				0	0	200	200	200	200	200	200	200	200
4	1	29	450				500	500	500	500	500	500	500	500	500	500
5	1	50005	500				800	800	800	800	800	800	800	800	800	800
6	1	50003	200				2000	2000	2000	2000	2000	2000	2000	2000	2000	2000
7	1	32	20				7000	7000	7000	7000	7000	7000	7000	7000	7000	7000
8	1	30013	30				8000	8000	8000	8000	8000	8000	8000	8000	8000	8000
9	1	90030	2				16000	16000	16000	16000	16000	16000	16000	16000	16000	16000
10	1	90015	1				18000	18000	18000	18000	18000	18000	18000	18000	18000	18000
11	2	6210405	1				0	0	0	0	30	30	30	30	30	30
12	2	3002	1				0	0	120	120	120	120	120	120	120	120
13	2	80017	1				0	0	200	200	200	200	200	200	200	200
14	2	40301	120				500	500	500	500	500	500	500	500	500	500
15	2	50005	500				800	800	800	800	800	800	800	800	800	800
16	2	50003	200				2000	2000	2000	2000	2000	2000	2000	2000	2000	2000
17	2	32	20				7000	7000	7000	7000	7000	7000	7000	7000	7000	7000
18	2	30013	30				8000	8000	8000	8000	8000	8000	8000	8000	8000	8000
19	2	90030	2				16000	16000	16000	16000	16000	16000	16000	16000	16000	16000
20	2	90015	1				18000	18000	18000	18000	18000	18000	18000	18000	18000	18000
21	3	94008	1				0	0	0	0	30	30	30	30	30	30
22	3	3002	1				0	0	100	100	100	100	100	100	100	100
23	3	16040000	1				0	0	200	200	200	200	200	200	200	200
24	3	16030000	1				0	0	200	200	200	200	200	200	200	200
25	3	40301	240				1200	1200	1200	1200	1200	1200	1200	1200	1200	1200
26	3	30113	60				2000	2000	2000	2000	2000	2000	2000	2000	2000	2000
27	3	40201	60				7000	7000	7000	7000	7000	7000	7000	7000	7000	7000
28	3	40200	120				8000	8000	8000	8000	8000	8000	8000	8000	8000	8000
29	3	32	20				16000	16000	16000	16000	16000	16000	16000	16000	16000	16000
30	3	90030	3				18000	18000	18000	18000	18000	18000	18000	18000	18000	18000
31	4	94008	1				0	0	0	0	30	30	30	30	30	30
32	4	3002	1				0	0	100	100	100	100	100	100	100	100
33	4	94037	1				0	0	200	200	200	200	200	200	200	200
34	4	94039	1				0	0	200	200	200	200	200	200	200	200
35	4	40301	240				1200	1200	1200	1200	1200	1200	1200	1200	1200	1200
36	4	30014	15				2000	2000	2000	2000	2000	2000	2000	2000	2000	2000
37	4	40201	60				7000	7000	7000	7000	7000	7000	7000	7000	7000	7000
38	4	40200	120				8000	8000	8000	8000	8000	8000	8000	8000	8000	8000
39	4	32	20				16000	16000	16000	16000	16000	16000	16000	16000	16000	16000
40	4	90030	3				18000	18000	18000	18000	18000	18000	18000	18000	18000	18000
41	5	6001805	1				0	0	0	0	30	30	30	30	30	30
42	5	3002	1				0	0	120	120	120	120	120	120	120	120
43	5	80035	1				0	0	200	200	200	200	200	200	200	200
44	5	40301	120				500	500	500	500	500	500	500	500	500	500
45	5	50005	500				800	800	800	800	800	800	800	800	800	800
46	5	50003	200				2000	2000	2000	2000	2000	2000	2000	2000	2000	2000
47	5	32	20				7000	7000	7000	7000	7000	7000	7000	7000	7000	7000
48	5	30013	30				8000	8000	8000	8000	8000	8000	8000	8000	8000	8000
49	5	90030	2				16000	16000	16000	16000	16000	16000	16000	16000	16000	16000
50	5	90015	1				18000	18000	18000	18000	18000	18000	18000	18000	18000	18000
100001	100001	6902301	1				10
110001	110001	6210307	1				0	0	0	0	30	30	30	30	30	30
110002	110001	50005	3500				0	0	120	120	120	120	120	120	120	120
110003	110001	80010	1				0	0	200	200	200	200	200	200	200	200
110004	110001	29	450				500	500	500	500	500	500	500	500	500	500
110005	110001	50005	500				800	800	800	800	800	800	800	800	800	800
110006	110001	50003	200				2000	2000	2000	2000	2000	2000	2000	2000	2000	2000
110007	110001	32	20				7000	7000	7000	7000	7000	7000	7000	7000	7000	7000
110008	110001	30013	30				8000	8000	8000	8000	8000	8000	8000	8000	8000	8000
110009	110001	90030	2				16000	16000	16000	16000	16000	16000	16000	16000	16000	16000
110010	110001	90015	1				18000	18000	18000	18000	18000	18000	18000	18000	18000	18000
