Id	ActivityId	StageId	PreStage	CostCount	ColPictures[1]	ColPictures[2]	ColPictures[3]	ScrollPictures[1]	ScrollPictures[2]	ScrollPictures[3]	ScrollPictures[4]	ScrollPictures[5]	ScrollPictures[6]	ScrollPictures[7]	ScrollPictures[8]	ScrollPictures[9]	ScrollPictures[10]	ScrollPictures[11]	ScrollPictures[12]	Desc	QuestionDescs[1]	QuestionDescs[2]	QuestionDescs[3]	SuspectIcon	PassDesc	OpenBanner	FinishBanner	WinnerQIcon
1	1	1	0	3	9	0	0	1	3	7	8	9								Based on the <color=#cc0a0a>text</color> hint, form the target character <color=#cc0a0a>in the first position</color> on the right.	Corrupted	Cute	Big Brother		The mystery guest told Shark-speare to just stand here, but Shark-speare wants to play a more difficult game with Commandant.	Assets/Product/Texture/Image/UiBodyCombineGame/UiBodyCombineGameLevelUncustomed.png	Assets/Product/Texture/Image/UiBodyCombineGame/UiBodyCombineGameLevel1.png	Assets/Product/Texture/Image/UiBodyCombineGame/UiBodyCombineGameQ2.png
2	1	1	0	3	20	0	0	14	19	20	18	12																
3	1	1	0	3	31	0	0	29	25	23	31	30																
4	1	2	1	3	4	0	0	9	5	8	10	4	6	7						Based on the <color=#cc0a0a>text and silhouette</color> hints, form the target character <color=#cc0a0a>in the first position</color> on the right.	Gray Raven	Silhouette		Assets/Product/Texture/Image/UiBodyCombineGame/UiBodyCombineGameSuspects2.png	You'd better not connect my parts to anything strange... Forget it, good job.	Assets/Product/Texture/Image/UiBodyCombineGame/UiBodyCombineGameLevelUncustomed2.png	Assets/Product/Texture/Image/UiBodyCombineGame/UiBodyCombineGameLevel2.png	Assets/Product/Texture/Image/UiBodyCombineGame/UiBodyCombineGameQ4.png
5	1	2	1	3	15	0	0	18	21	15	16	17	20	19														
6	1	2	1	3	26	0	0	29	32	31	28	27	26	30														
7	1	3	2	3	34	8	0	4	8	10	34	8	2	6	5	11				Based on the <color=#cc0a0a>text and silhouette</color> hints, form the target character <color=#cc0a0a>in the first position</color> on the right.	New Character	Silhouette		Assets/Product/Texture/Image/UiBodyCombineGame/UiBodyCombineGameSuspects4.png	Your clear speed has beat 70% commandants. Yeah, I'm joking.	Assets/Product/Texture/Image/UiBodyCombineGame/UiBodyCombineGameLevelUncustomed3.png	Assets/Product/Texture/Image/UiBodyCombineGame/UiBodyCombineGameLevel3.png	Assets/Product/Texture/Image/UiBodyCombineGame/UiBodyCombineGameQ1.png
8	1	3	2	3	35	19	0	15	17	16	22	13	35	19	21	19												
9	1	3	2	3	36	30	0	24	27	30	32	33	28	26	36	30												
10	1	4	3	3	8	3	5	6	9	2	7	11	1	34	8	3	5	10	4	The <color=#cc0a0a>three characters</color> on the right are correct characters that match the <color=#cc0a0a>tags</color>.	Fire				You are the best, Commandant! Strike the victory pose with Nanami!	Assets/Product/Texture/Image/UiBodyCombineGame/UiBodyCombineGameLevelUncustomed4.png	Assets/Product/Texture/Image/UiBodyCombineGame/UiBodyCombineGameLevel4.png	Assets/Product/Texture/Image/UiBodyCombineGame/UiBodyCombineGameQ3.png
11	1	4	3	3	19	14	16	15	17	35	19	14	16	12	13	18	21	22	20									
12	1	4	3	3	30	25	27	28	23	26	29	36	30	25	27	31	24	33	32									
