Id	Name	Type	LifeType	Params[1]	Params[2]	Params[3]	Params[4]	Params[5]	Params[6]	Params[7]	Params[8]	Params[9]	Desc	ShowType	ShowDesc	ShowOnColors[1]	ShowOnColors[2]	ShowOnColors[3]	ShowOnPointTypes[1]	ShowOnPointTypes[2]	ShowOnPointTypes[3]	ShowOnPointTypes[4]	Icon
1	Effect 1	1	1	1									The first movement in each round costs no Action Points - Vera	0	The first movement in each round costs no Action Points.	1	2	3	1	2	3	4	Assets/Product/Texture/Image/UiColorTable/Skill/UiColorTableSkill001.png
2	Effect 2	15	1	5									Increasing Research Level only costs 5 Research Points now - Lee	0	Increasing Exhibition Level only costs 5 Paints in this round.	1	2	3	1				Assets/Product/Texture/Image/UiColorTable/Skill/UiColorTableSkill003.png
3	Effect 3	18	1	999	2								Quantity of Data obtained from Energy Point +2 - Ayla	0	Quantity of Paint obtained from Paint Workshop +2	1	2	3	3				Assets/Product/Texture/Image/UiColorTable/Skill/UiColorTableSkill004.png
4	Effect 4	3	1	999									Three-Color Paints have no storage limit - Karenina	0	Three-Color Paints have no storage limit								Assets/Product/Texture/Image/UiColorTable/Skill/UiColorTableSkill005.png
5	Effect 5	22	1										Regular & Outbreak are no longer randomized but upgrade the Boss of the character's color - Commandant	0	Masterpiece and Burst of Inspiration are no longer randomized, but increase the Master Level of the same color as the character's area instead.								Assets/Product/Texture/Image/UiColorTable/Skill/UiColorTableSkill007.png
6	Effect 6	2	2	2									Movement in Green area costs no Action Points in this round (determined by starting point)	1	Movement in Green area costs no Action Points in this round	2			1	2	3		
7	Effect 7	4	1	3									Stage - Cube Level starts from 3	0	Stage - Cube Level starts from 3								
8	Effect 8	5	1	1									Stage - When upgrading the Cube, the level increment +1	0	Stage - When upgrading the Cube, the level increment +1								
9	Effect 9	6	2	1									Each Healing will cost 1 more Data of the corresponding color in this round	1	Healing in this round costs 1 more Paint	1	2	3	2				
10	Effect 10	6	1	1									Stage - Each Healing will cost 1 more Data of the corresponding color in this round	0	Each Healing will cost 1 more Paint	1	2	3	2				
11	Effect 11	7	2	1									Unable to heal with Red in this round	1	Unable to heal with Red in this round	1			2				
12	Effect 12	7	3	1									Unable to heal with Red in the next round	1	Unable to heal with Red in this round	1			2				
13	Effect 13	8	2	1	1								You can only heal with Red 1 time in this round	1	You can only heal with Red 1 time in this round	1			2				
14	Effect 14	8	2	2	1								You can only heal with Green 1 time in this round	1	You can only heal with Green 1 time in this round	2			2				
15	Effect 15	8	2	3	1								You can only heal with Blue 1 time in this round	1	You can only heal with Blue 1 time in this round	3			2				
16	Effect 16	9	2	3									Out of all colors, you can only heal 3 times in this round	1	Out of all colors, you can only heal 3 times in this round	1	2	3	2				
17	Effect 17	9	3	3									Out of all colors, you can only heal 3 times in the next round	1	Out of all colors, you can only heal 3 times in this round	1	2	3	2				
18	Effect 18	10	4	1	3								Red Data increases by 3	1	Red Paint +3								
19	Effect 19	10	4	2	3								Green Data increases by 3	1	Green Paint +3								
20	Effect 20	10	4	3	3								Blue Data increases by 3	1	Blue Paint +3								
21	Effect 21	11	6	1	1								Red Boss Level increases by 1 in the next round	1	Red Boss Level increases by 1 in the next round	1			101				
22	Effect 22	11	6	2	1								Green Boss Level increases by 1 in the next round	1	Green Boss Level increases by 1 in the next round	2			101				
23	Effect 23	11	6	3	1								Blue Boss Level increases by 1 in the next round	1	Blue Boss Level increases by 1 in the next round	3			101				
24	Effect 24	12	4	7									All colors of Data become 7 in this round	1	All colors of Paint become 7 in this round								
25	Effect 25	12	6	7									All colors of Data become 7 in the next round	1	All colors of Paint become 7 in the next round								
26	Effect 26	13	4	1	1								Red Research Level increases by 1	1	Red Research Level +1								
27	Effect 27	13	4	2	1								Green Research Level increases by 1	1	Green Research Level +1								
28	Effect 28	13	4	3	1								Blue Research Level increases by 1	1	Blue Research Level +1								
29	Effect 29	14	4	3									Action Points increase by 3 in this round	1	+3 Action Points in this round								
30	Effect 30	15	2	4									Increasing Research Level only costs 4 Research Data in this round	1	Increasing Research Level only costs 4 Research Paint in this round								
31	Effect 31	17	1	1	1								Stage - In every round, deduct 1 Data of the area's color after making the first area action	0	Stage - In every round, deduct 1 Paint of the area's color after making the first area action								
32	Effect 32	17	2	1	1								In this round, deduct 1 Data of the area's color after making the first area action	1	In this round, deduct 1 Paint of the area's color after making the first area action								
33	Effect 33	18	2	1	2								Get +2 Data upon obtaining Data for the first time in this round	1	Get +2 Paint upon obtaining Paint for the first time in this round								
34	Effect 34	19	2	2	1								Get Green Data (Energy Point) 1 more time in this round	1	Get Green Paint (Energy Point) 1 more time in this round								
35	Effect 35	20	1	2	4								Stage - Unable to take action in Green blocks. After Green Virus Outbreak, set its level to 4	0	Stage - Unable to take action in Green blocks. After Green Virus Outbreak, set its level to 4								
36	Effect 36	21	2										At the end of this round, the timeline is not tallied but the progress will continue to move forward normally	1	At the end of this round, the timeline is not tallied but the progress will continue to move forward normally								
37	Effect 37	23	2	1	1								Get 1 Red Resource when staying in or passing the Central area for the first time in this round	1	Get 1 Red Resource when staying in or passing the Central area for the first time in this round								
38	Effect 38	23	2	2	1								Get 1 Green Resource when staying in or passing the Central area for the first time in this round	1	Get 1 Green Resource when staying in or passing the Central area for the first time in this round								
39	Effect 39	23	2	3	1								Get 1 Blue Resource when staying in or passing the Central area for the first time in this round	1	Get 1 Blue Resource when staying in or passing the Central area for the first time in this round								
40	Effect 40	24	2	2									The timeline tally event will be executed 2 times during this round's tally	1	The timeline tally event will be executed 2 times during this round's tally								
41	Effect 41	25	6	1									At the start of the next round, the Boss of the color that your character is currently staying will lose 1 level	1	At the start of the next round, the Boss of the color that your character is currently staying will lose 1 level								
42	Effect 42	26	1	3	3	3	4	4	4				Stage - Research only yields 3 or 4 points	0	Stage - Research only yields 3 or 4 points								
43	Effect 43	27	2	2									You can reroll 2 times when performing research in this round	1	You can reroll 2 times when performing research in this round								
44	Effect 44	28	2	2	1								The first 2 healings in this round get +1 effect	1	The first 2 healings in this round get +1 effect								
45	Effect 45	29	2	1	2								Red and Green Data can be used together in Research or Healing in this round	1	Red and Green Paint can be used together in Research or Healing in this round								
46	Effect 46	29	2	2	3								Green and Blue Data can be used together in Research or Healing in this round	1	Green and Blue Paint can be used together in Research or Healing in this round								
47	Effect 47	29	2	1	3								Red and Blue Data can be used together in Research or Healing in this round	1	Red and Blue Paint can be used together in Research or Healing in this round								
48	Effect 48	5	1	2									Stage - When upgrading the Cube, the level increment +2	0	Stage - When upgrading the Cube, the level increment +2								
49	Teleport I	1	2	1									The first movement in this round costs no Action Points (check if this is stacking with the Leader Skill)	0	The first movement in each round costs no Action Points.	1	2	3	1	2	3	4	Assets/Product/Texture/Image/UiColorTable/Skill/UiColorTableSkill010.png
50	Teleport II	1	2	2									The first 2 movements in this round cost no Action Points (check if this is stacking with the Leader Skill)	0	The first 2 movements in each round cost no Action Points	1	2	3	1	2	3	4	Assets/Product/Texture/Image/UiColorTable/Skill/UiColorTableSkill010.png
51	Teleport III	1	2	3									The first 3 movements in this round cost no Action Points (check if this is stacking with the Leader Skill)	0	The first 3 movements in each round cost no Action Points	1	2	3	1	2	3	4	Assets/Product/Texture/Image/UiColorTable/Skill/UiColorTableSkill010.png
52	Bonus Data 1	18	2	999	2								Get a bonus 2 Data when obtaining Data in this round	0	Get a bonus 2 Paint when obtaining Paint in this round	1	2	3	3				Assets/Product/Texture/Image/UiColorTable/Skill/UiColorTableSkill010.png
53	Bonus Data 2	18	2	999	3								Get a bonus 3 Data when obtaining Data in this round	0	Get a bonus 3 Paint when obtaining Paint in this round	1	2	3	3				Assets/Product/Texture/Image/UiColorTable/Skill/UiColorTableSkill010.png
54	Bonus Data 3	18	2	999	4								Get a bonus 4 Data when obtaining Data in this round	0	Get a bonus 4 Paint when obtaining Paint in this round	1	2	3	3				Assets/Product/Texture/Image/UiColorTable/Skill/UiColorTableSkill010.png
55	Enhanced Healing 1	28	2	999	1								Healing effect increases by 1 in this round	0	Criticism can further reduce the Master's level by 1 in this round	1	2	3	2				Assets/Product/Texture/Image/UiColorTable/Skill/UiColorTableSkill010.png
56	Enhanced Healing 2	28	2	999	2								Healing effect increases by 2 in this round	0	Criticism can further reduce the Master's level by 2 in this round	1	2	3	2				Assets/Product/Texture/Image/UiColorTable/Skill/UiColorTableSkill010.png
57	Enhanced Healing 3	28	2	999	3								Healing effect increases by 3 in this round	0	Criticism can further reduce the Master's level by 3 in this round	1	2	3	2				Assets/Product/Texture/Image/UiColorTable/Skill/UiColorTableSkill010.png
58	Data Abundance 1	10	4	1	2								Red Data increases by 2	1	Obtain 2 Three-Color Paints								
59	Data Abundance 1	10	4	2	2								Green Data increases by 2	0	Obtain 2 Three-Color Paints								
60	Data Abundance 1	10	4	3	2								Blue Data increases by 2	0	Obtain 2 Three-Color Paints								
61	Data Abundance 2	10	4	1	4								Red Data increases by 4	1	Obtain 4 Three-Color Paints								
62	Data Abundance 2	10	4	2	4								Green Data increases by 4	0	Obtain 4 Three-Color Paints								
63	Data Abundance 2	10	4	3	4								Blue Data increases by 4	0	Obtain 4 Three-Color Paints								
64	Data Abundance 3	10	4	1	7								Red Data increases by 7	1	Obtain 7 Three-Color Paints								
65	Data Abundance 3	10	4	2	7								Green Data increases by 7	0	Obtain 7 Three-Color Paints								
66	Data Abundance 3	10	4	3	7								Blue Data increases by 7	0	Obtain 7 Three-Color Paints								
67	Efficient Research 1	15	2	5									Increasing Research Level only costs 5 Research Data in this round (check if this is stacking with the Leader Skill, and whether the lower value should be used)	0	Upgrading Exhibition only costs 5 Paint in this round	1	2	3	1				Assets/Product/Texture/Image/UiColorTable/Skill/UiColorTableSkill010.png
68	Efficient Research 2	15	2	4									Increasing Research Level only costs 3 Research Data in this round (check if this is stacking with the Leader Skill, and whether the lower value should be used)	0	Increasing Exhibition only costs 3 Paint in this round.	1	2	3	1				Assets/Product/Texture/Image/UiColorTable/Skill/UiColorTableSkill010.png
69	Efficient Research 3	15	2	2									Increasing Research Level only costs 2 Research Data in this round (check if this is stacking with the Leader Skill, and whether the lower value should be used)	0	Increasing Exhibition only costs 2 Paint in this round.	1	2	3	1				Assets/Product/Texture/Image/UiColorTable/Skill/UiColorTableSkill010.png
