Id	Desc	Trigger	EffectType	SourceType[0]	SourceCount[0]	SourceType[1]	SourceCount[1]	SourceType[2]	SourceCount[2]	SourceType[3]	SourceCount[3]	TargetType[0]	TargetCount[0]	TargetType[1]	TargetCount[1]	TargetType[2]	TargetCount[2]	TargetType[3]	TargetCount[3]	Args[0]	Args[1]	Args[2]	Args[3]	Args[4]	Args[5]	Args[6]	Args[7]
1	Building: Small Ruins: Produce Wood x300 and Iron x300 per turn when working properly	2	2001									1	300	2	300												
2	Building: Small Ruins: Convert the building into a vacant area after 1 turn when working properly	2	2004																	1							
3	Building: Medium Ruins: Produce Wood x600 and Iron x600 per turn when working properly	2	2001									1	600	2	600												
4	Building: Medium Ruins: The building will be converted to a vacant area after 1 turn	2	2004																	1							
5	Building: Big Ruins: Produce Wood x1000 and Iron x1000 per turn when working properly	2	2001									1	1000	2	1000												
6	Building: Big Ruins: Convert the building into a vacant area after 1 turn when working properly	2	2004																	1							
7	Building: Medical Depot: Produces Serum x5 per day	2	2001									3	5														
8	Building: Supply Depot: Produces Food x5 per day	2	2001									4	5														
9	Building: Outpost: Unlock Exploration Team	13	2003																	1							
10	Building: Outpost: Unlock the Exploration feature	13	2006																								
10101	Stage 1 Initialization: Wood x300	1	1001									1	300														
10102	Stage 1 Initialization: Iron x300	1	1001									2	300														
10103	Stage 1 Initialization: Serum x10	1	1001									3	10														
10104	Stage 1 Initialization: Food x10	1	1001									4	10														
10105	Stage 1 Initialization: 10 Members, 60 Stat Points	1	1005																	10	60	60	100				
10106	Stage 1 Initialization: Own Small Ruins x2	1	1007																	1	2	1					
10107	Stage 1 Initialization: Own [Outpost] x1	1	1007																	7	1	1					
10109	Stage 1 Fixed Event 1: Grant Medicine x20 and Food x20	0	1001									3	20	4	20												
10110	Stage 1 Fixed Event 1: Summon Strong Man x5	0	1005																	5	100	100	100				
10111	Stage 1 Fixed Event 2: Reduce 8 Health and 8 Satiety	0	1002																	-8	-8	0					
10151	Stage 1 Location 1	0	4001																	1	215	2	135				
10152	Stage 1 Location 2	0	4001																	1	260	2	325				
10153	Stage 1 Location 3	0	4001																	3	10	4	15				
10154	Stage 1 Location 4	0	4001																	3	25	4	20				
10155	Stage 1 Location 4	0	4002																	4	60	60	100				
10156	Stage 1 Location 5	0	4001																	1	120	2	140				
10157	Stage 1 Location 6	0	4001																	1	210	2	225				
10158	Stage 1 Location 7	0	4001																	3	15	4	20				
10159	Stage 1 Location 7	0	4002																	5	60	60	100				
10201	Stage 2 Initialization: Wood x300, Iron x300	1	1001									1	300	2	300												
10202	Stage 2 Initialization: Medicine x30, Food x30	1	1001									3	30	4	30												
10203	Stage 2 Initialization: 25 Members, 60 Stat Points	1	1005																	25	60	60	100				
10204	Stage 2 Initialization: Own Small Ruins x2	1	1007																	1	2	1					
10205	Stage 2 Initialization: Own Medium Ruins x2	1	1007																	2	1	1					
10207	Stage 2 Fixed Event 1: Grant Medicine x25 and Food x25	0	1001									3	25	4	25												
10208	Stage 2 Fixed Event 2: Reduce Serum x5 and Food x5	0	1001	3	5	4	5																				
10209	Stage 2 Fixed Event 3: Reduce Serum x10 and Food x10	0	1001	3	10	4	10																				
10210	Stage 2 Fixed Event 4: Reduce Serum x15 and Food x15	0	1001	3	15	4	15																				
10212	Stage 2 Branch Storyline [The Way Home: Agree] Choice Outcome: Unlock [Rocky Riverbank]	0	1008																	10213							
10218	Stage 2 Branch Storyline [The Way Home - 2: Positive Answer] Choice Outcome: Receive Wood x50 and Iron x50	0	1001									1	50	2	50												
10220	Stage 2 Branch Storyline [The Way Home - 2: Negative Answer] Choice Outcome: Receive Wood x50 and Iron x50	0	1001									1	50	2	50												
10222	Stage 2 Branch Storyline [The Way Home - 3: Siegfried Dies]: Receive Wood x50 and Iron x50	0	1001									1	50	2	50												
10224	Stage 2 Branch Storyline [The Way Home - 3: Siegfried Lives]: Gain 1 new member	0	1005																	1	80	80	100				
10251	Stage 2 Location 1	0	4001																	1	165	2	180				
10252	Stage 2 Location 2	0	4001																	1	135	2	120				
10253	Stage 2 Location 3	0	4001																	1	240	2	200	3	40	4	40
10254	Stage 2 Location 4	0	4001																	1	95	2	110				
10255	Stage 2 Location 5	0	4001																	1	260	2	260				
10256	Stage 2 Location 5	0	4002																	1	50	50	100				
10257	Stage 2 Location 6	0	4001																	1	75	2	85				
10258	Stage 2 Location 7	0	4001																	3	30	4	35				
10259	Stage 2 Location 7	0	4002																	11	60	60	80				
10260	Stage 2 Location 8	0	4001																	1	55	2	90				
10261	Stage 2 Location 9	0	4001																	1	260	2	245				
10262	Stage 2 Location 10	0	4001																	1	425	2	455				
10263	Stage 2 Location 11	0	4001																	3	25	4	25				
10264	Stage 2 Location 11	0	4002																	10	60	60	100				
10265	Stage 2 Branch Storyline Location 1	0	4001																	1	170	2	150				
10266	Stage 2 Branch Storyline Location 2	0	4001																	1	60	2	100				
10301	Stage 3 Initialization: Wood x300	1	1001									1	300														
10302	Stage 3 Initialization: Iron x300	1	1001									2	300														
10303	Stage 3 Initialization: Serum x10	1	1001									3	15														
10304	Stage 3 Initialization: Food x10	1	1001									4	15														
10305	Stage 3 Initialization: 28 Members, 100 Stat Points	1	1005																	28	100	100	100				
10306	Stage 3 Initialization: Own Small Ruins x1	1	1007																	1	1	1					
10307	Stage 3 Initialization: Own Big Ruins x1	1	1007																	3	1	1					
10309	Stage 3 Fixed Event: Reduce 25 Health and 25 Satiety	0	1002																	-25	-25	0					
10310	Stage 3 Fixed Event: Reduce 30 Health and 30 Satiety	0	1002																	-30	-30	0					
10311	Stage 3 Fixed Event: Reduce 35 Health and 35 Satiety	0	1002																	-35	-35	0					
10312	Stage 3 Branch Storyline [Father: I'll Do My Best] Choice Outcome: Unlock [Riverside Camp]	0	1008																	10314							
10322	Stage 3 Branch Storyline [Father: Two Bullets] Choice Outcome: Unlock ["Orchard"]	0	1008																	10315							
10326	Stage 3 Branch Storyline [Father: Thread] Choice Outcome: Unlock ["Orchard" 2]	0	1008																	10316							
10328	Stage 3 Branch Storyline [Father: Reunion] Event Outcome: Obtain Wood x75 and Iron x75	0	1001									1	75	2	75												
10351	Stage 3 Location 1	0	4001																	3	21	4	25				
10352	Stage 3 Location 2	0	4001																	3	30	4	25				
10353	Stage 3 Location 3	0	4001																	3	45	4	35				
10354	Stage 3 Location 4	0	4001																	3	15	4	10				
10355	Stage 3 Location 5	0	4001																	1	70	2	100				
10356	Stage 3 Location 6	0	4001																	1	250	2	260				
10357	Stage 3 Location 7	0	4001																	1	355	2	360				
10358	Stage 3 Location 8	0	4001																	3	30	4	40				
10359	Stage 3 Location 8	0	4002																	7	80	80	80				
10360	Stage 3 Location 9	0	4001																	3	22	4	26				
10361	Stage 3 Location 9	0	4002																	8	80	80	80				
10362	Stage 3 Location 10	0	4001																	1	425	2	400				
10363	Stage 3 Location 11	0	4001																	1	285	2	350				
10364	Stage 3 Location 12	0	4001																	1	25	2	15				
10365	Stage 3 Branch Storyline Location 1	0	4001																	3	12	4	9				
10366	Stage 3 Branch Storyline Location 2	0	4001																	3	16	4	18				
10401	Stage 4 Initialization: Wood x300	1	1001									1	300														
10402	Stage 4 Initialization: Iron x300	1	1001									2	300														
10403	Stage 4 Initialization: Serum x30	1	1001									3	30														
10404	Stage 4 Initialization: Food x30	1	1001									4	30														
10405	Stage 4 Initialization: 30 Members, 100 Stat Points	1	1005																	30	100	100	100				
10406	Stage 4 Initialization: Own Medium Ruins x2	1	1007																	1	2	1					
10407	Stage 4 Initialization: Own Big Ruins x1	1	1007																	3	1	1					
10410	Stage 4 Fixed Event: Population +5	0	1005																	5	50	50	100				
10417	Stage 4 Branch Storyline [Mother: Agree] Choice Outcome: Obtain Food x8	0	1001									4	8														
10422	Stage 4 Branch Storyline [Mother - 2: Agree] Choice Outcome: Obtain Food x10	0	1001									4	10														
10427	Stage 4 Branch Storyline [Mother - 3: Agree] Choice Outcome: Obtain Food x5	0	1001									4	5														
10431	Stage 4 Branch Storyline [Mother - 4: Acceptance] Outcome: Recycle Food x10	0	1001									4	10														
10451	Stage 4 Location 1	0	4001																	1	60	2	65				
10452	Stage 4 Location 2	0	4001																	1	80	2	95				
10453	Stage 4 Location 3	0	4001																	1	485	2	380				
10454	Stage 4 Location 4	0	4001																	3	25	4	25				
10455	Stage 4 Location 5	0	4001																	1	505	2	555				
10456	Stage 4 Location 6	0	4001																	3	18	4	20				
10457	Stage 4 Location 7	0	4001																	3	37	4	28				
10458	Stage 4 Location 7	0	4002																	6	50	50	100				
10459	Stage 4 Location 8	0	4001																	3	10	4	5				
10460	Stage 4 Location 9	0	4001																	3	10	4	12				
10461	Stage 4 Location 9	0	4002																	5	50	50	100				
10462	Stage 4 Location 10	0	4001																	1	310	2	360	3	26	4	31
10463	Stage 4 Location 10	0	4002																	6	50	50	100				
10464	Stage 4 Location 11	0	4001																	3	15	4	16				
10501	Stage 5 Initialization: Wood x200, Iron x200	1	1001									1	200	2	200												
10502	Stage 5 Initialization: Serum x31	1	1001									3	31														
10503	Stage 5 Initialization: Food x31	1	1001									4	31														
10504	Stage 5 Initialization: 30 Members, 100 Stat Points	1	1005																	30	100	100	100				
10505	Stage 5 Initialization: Own Medium Ruins x1	1	1007																	2	1	1					
10506	Stage 5 Initialization: Own Big Ruins x1	1	1007																	3	1	1					
10507	Stage 5 Initialization: Own Outpost x1	1	1007																	7	1	1					
10508	Stage 5 Fixed Event 1	0	1002																	0	-25	0					
10509	Stage 5 Fixed Event 2	0	1002																	0	-30	0					
10510	Stage 5 Fixed Event 3	0	1002																	0	-35	0					
10511	Stage 5 Fixed Event 4	0	1002																	-10	0	0					
10512	Stage 5 Fixed Event 5	0	1002																	-10	0	0					
10513	Stage 5 Fixed Event 6	0	1002																	-10	0	0					
10514	Disaster Relief 1	0	1001									3	20	4	20												
