Id	Name	Desc	ResourceId[0]	ResourceId[1]	ResourceId[2]	ResourceId[3]	CanGetPeople	Pos	PrePlaceId	UnlockCondition[0]	EventId[0]	EventId[1]	EventId[2]	EventId[3]	EventId[4]	EventId[5]	EventId[6]
10101	Urban Area A							1									
10102	Burning Ruins	The fire on the ruins is still burning even until this moment. We can only pray for the fire to show us some mercy and leave something that we can still use...	1	2				5			101020						
10103	Empty Library	It's more realistic to look for books to burn than food to eat in this place.	1	2				3	10102		101030						
10104	Riverside Camp	There is smoke rising from the stones. Could it be the Corrupted? Or the campfire made by survivors?	3	4				7	10103		101040						
10105	Run-Down Slum	I can hear people crying even from the outside. I'm afraid the situation is worse than we expected... Should we accept them? Or put an end to their misery...?	3	4			1	20	10103		101050						
10106	Crowded Street	There are burns on every car on this crowded street. Apparently, their owners didn't have the chance to drive them out of the city.	1	2				6	10102		101060						
10107	Quiet Bomb Shelter	It's hard to imagine how this bomb shelter has survived everything. However, we could find something we need here...	1	2				11	10106		101070						
10108	Collapsed Skyscraper	The ruins look like the corpse of a giant. No matter what's in there, it will definitely not be pleasant.	3	4			1	14	10107		101080						
10201	Urban Area B							1									
10202	Signal Station	Recently, we have found the signal tower under the ruins. But the huge signal tower now only has a fragile, damaged base left standing in the center of the city.	1	2				6			102020						
10203	High-End Residential Area	Despite the broken columns at the entrance, the delicate architecture still looks amazing. If it hadn't been the disaster, it would have been a dream come true to live there.	1	2				5	10202		102030						
10204	Fine Dining Restaurant	It's said that it was a popular fine dining restaurant, famous for its huge number of underground cold storage rooms and its wide range of food in store.	1	2	3	4		3	10203		102040						
10205	Two-Story House	This small building looks almost intact. It's just that sometimes there are strange cries coming out from it. Are there any Scavengers in there? Or it is another trap?	1	2				20	10203		102050						
10206	Quiet Cabin	There is still a faint light coming out from this clean little cabin, making it stand out among the black ruins around it.	1	2			1	7	10204		102060						
10207	Convenience Store Ruins	It offers fewer choices of items than a supermarket but is enough to fulfill your daily needs.	1	2				19	10206		102070						
10208	Bloody Church	There is blood and unidentified remains everywhere. Wait. Did you hear that? Was it the bells... from up there...?	3	4			1	24	10207		102080						
10209	Supermarket in Mist	Is it because of the terrain? This place is full of mist. Hope we can find the supermarket marked on the map before using up our supplies.	1	2				12	10202		102090						
10210	Collapsed School	The disaster didn't show mercy to this place even though there was the hope of the inheritance of human civilization behind that wall. This is a fact that we learned a long time ago.	1	2				9	10209		102100						
10211	Wasteland	The Punishing Virus broke out before any construction plan was able to be carried out here.	1	2				14	10209		102110						
10212	City Hospital	Were it not for the bold characters on the map, no one would know that this black burnt "pile of dirt" used to be a "hospital."	3	4			1	11	10211		102120						
10213	Rocky Riverbank	The river has long dried out. There is smoke rising from the rocks. Could it be the Corrupted? Or the campfire made by Scavengers?	1	2				4		102130	102130						
10214	Suburban Farm	It seems the farm didn't survive the disaster even though it locates far from the city. Nevertheless, it's still a precious location for us to stay.	1	2				10	10213		102140						
10301	Urban Area C							1									
10302	Traveler's Cabin	This is the only intact building we see walking along the road. We can still see a faint light in it through the window. Could there still be Scavengers in there?	3	4				5			103020						
10303	Roadside Gas Station	Apart from the convenience store that was broken open violently, this roadside gas station still remains how it looked when just abandoned.	3	4				4			103030						
10304	Industrial Park	There is a giant toy statue at the entrance to the park. Half of its face was blown off, leaving only half of its huge smile on the face.	3	4				3	10302		103040						
10305	Abandoned Market	The degree of damage to the market makes me wonder if it was already abandoned before the disaster. Hope we can find something useful in it.	3	4				6	10302		103050						
10306	Abandoned Port	The ships stranded on the shore have formed a natural fortress, making me wonder if there are any remaining supplies or Scavengers in the ship cabins.	1	2				10	10303		103060						
10307	Quiet Bomb Shelter	It's hard to imagine how this bomb shelter has survived everything. However, we could find something we need here.	1	2				13	10303		103070						
10308	Collapsed Mansion	A mansion with astonishing design and size. If it hadn't been the disaster, it would have been the place for most of the "upper class" to hang out on weekends.	1	2				7	10304		103080						
10309	Golden Farm	In the past, the farm was known for its high yield of rice and the golden rice field during harvest. Even now, we can still see the golden light of the farm under the sun from afar.	3	4			1	21	10304		103090						
10310	Armed Dwelling	It's said that there are a group of armed Scavengers with sufficient supplies here... Hope I can negotiate with them and get us some supplies. However, if things go sideways... I think I'd better bring a weapon with me...	3	4			1	16	10306		103100						
10311	Empty Trench	The air is full of the bad smell of burnt bodies. Fortunately, we didn't find any traces of the Corrupted around here. I thought I was already used to the smell of death, but I still feel like throwing up standing here...	1	2				11	10307		103110						
10312	Forest Valley	The ruts full of water stretch all the way into the valley. After observation, we find traces of tents in the woods. Perhaps we can find some Scavengers here.	1	2				18	10307		103120						
10313	Abandoned Mine	The complex structure of the tunnels provides a good shelter for the Scavengers. However, even the thick stone walls can't stop the burnt smell of flesh from coming out. It won't look good in there. Should we still go in there?	1	2				19	10308		103130						
10314	Riverside Camp	It seems the river has dried out a long time ago. The black "corpses" of the burnt trees have created a natural wall for this place, making it hard for us to see what is going on in the camp. Maybe we should take a closer look.	3	4			1	8		103140	103140						
10315	Orchard	This place used to be a productive orchard with rivers full of fish floating through. Now there are only broken, bare, burnt branches... Is it possible to find any supplies or Scavengers here?	3	4				15		103150	103150						
10316	Orchard	This place used to be a productive orchard with rivers full of fish floating through. Now there are only broken, bare, burnt branches... Is it possible to find any supplies or Scavengers here?	3	4				15		103160	103160						
10401	Urban Area D							1									
10402	Empty Trench	The air is full of the bad smell of burnt bodies. Fortunately, we didn't find any traces of the Corrupted around here. I thought I was already used to the smell of death, but I still feel like throwing up standing here...	1	2				5			104020						
10403	Crowded Street	There are burns on every car on this crowded street. Apparently, their owners didn't have the chance to drive them out of the city.	1	2				4			104030						
10404	Camp Amidst Woods	From the outside, the camp seems to be well stocked with supplies. Maybe there are survivors. Even if they don't want to join us, at least we can try if we can get some food or other resources from them.	1	2				3	10402		104040						
10405	Supermarket	Most of the windows have lost their glass. It looks like this place has been bombarded or ransacked by other Scavengers, or both. We can only imagine what the place looked like with the broken sign left here.	3	4				6	10402		104050						
10406	Bloody Church	There is blood and unidentified remains everywhere. Wait. Did you hear that? Was it the bells... from up there...?	1	2				8	10402		104060						
10407	Cabin Amidst Woods	The creaks of the broken door can scare people off even in the broad daylight.	3	4				7	10404		104070						
10408	Quiet Bomb Shelter	It's hard to imagine how this bomb shelter has survived everything. However, we could find something we need here.	3	4			1	21	10404		104080						
10409	Small Fishery	The fishery is just a simple shanty plus some broken fishing nets. We may still find something useful if we are lucky.	3	4				20	10404		104090						
10410	Dilapidated Building	The building is a bit shaky in the winter. Should we still go in there?	3	4			1	12	10405		104100						
10411	Run-Down Slum	I can hear people crying even from the outside. I'm afraid the situation is worse than we expected... Should we accept them? Or put an end to their misery...?	3	4			1	10	10403		104110						
10412	Empty Library	It's more realistic to look for books to burn than food to eat in this place.	3	4				17	10403		104120						
10501	Urban Area E							1									
10502	Overlook Point	We could have a bird's eye view of the city if we reach that spot up there.						5			105020						
10503	Lab Building	The building is like the second landmark of the city. You can see it from anywhere in the city without going to the overlook point. However, there is a strange defensive line before the building. No one is guarding there anymore.						6	10502		105030						
10504	Armed Dwelling	My friends tell me that there are a group of armed Scavengers with sufficient supplies here... Hope I can negotiate with them and get us some supplies. However, if things go sideways... I think I'd better bring a weapon with me...						4	10502		105040						
10505	Radio Station	The radio station is also a mess, but we could find some useful information here.						3	10502		105050						
10506	Strange Opening	There is a big hole in the ground. I can smell gasoline and a fishy odor when standing close to it. When I look into the hole, it looks like a huge bottomless abyss that has been holding the secret behind the destruction of the conservation area.						12	10503		105060						
10507	Quarantine Area	There is a biohazard sign at the entrance to the quarantine area. Everything inside seems to be ruined. Could we find anything useful in a place like this?						20	10503		105070						
10508	Underground Lab	What appears before us is a giant lab. No matter who created this place, that person must be supported by a powerful organization.						14	10506		105080						
10509	Hidden Room	This metal wall in the lab is full of scratches. It sounds weird when we knock on the wall. There must be a hidden space behind it.						11	10508		105090						
10510	Outer City	Behind the lab is a channel leading to the outside of the city. The faint light at the end of the tunnel tells us that the dark night of the city will pass soon.						13	10509		105100						
10511	Residential Area	The density of buildings here suggests that it was a busy area, but now there is only dead silence.						7	10505		105110						
10512	Supermarket in Mist	Is it because of the terrain? This place is full of mist. Hope we can find the supermarket marked on the map before using up our supplies.						8	10511		105120						
