Id	ActId	Name	SubName	RowSize	ColSize	PieceItemCount	BgUrl	CompleteImageUrl	CompleteStoryId	CompleteRewardId	CompleteHintText	RewardPiecesStr[1]	RewardId[1]	RewardPiecesStr[2]	RewardId[2]	RewardPiecesStr[3]	RewardId[3]	RewardPiecesStr[4]	RewardId[4]	PuzzleType
1	1	Black Guardian	Kowloong Art	3	5	1	Assets/Product/Texture/Image/UiFubenActivityPuzzle/FubenActivityPuzzleBg01.png	Assets/Product/Texture/Image/UiFubenActivityPuzzle/PuzzleImgFull01.png	1100141	11925	The "Black Guardian" stage is unlocked in [Theater Ruins]	1|2|6|11	11926	7|8|12|13	11927	3|4|5|9	11928	10|14|15	11929	1
2	1	Requiem	One Against Thousand	3	5	1	Assets/Product/Texture/Image/UiFubenActivityPuzzle/FubenActivityPuzzleBg01.png	Assets/Product/Texture/Image/UiFubenActivityPuzzle/PuzzleImgFull02.png	1100141	11925	The "Requiem" stage is unlocked in [Theater Ruins]	1|2|6|11	11929	7|8|12|13	11928	3|4|5|9	11927	10|14|15	11926	1
3	2	Daybreaking Moon	Hidden Current	3	5	1	Assets/Product/Texture/Image/UiFubenActivityPuzzle/FubenActivityPuzzleBg01.png	Assets/Product/Texture/Image/UiFubenActivityPuzzle/PuzzleImgFull04.png	YR01602BA	11925	Puzzle Story "Hidden Current (II)" unlocked	1|2|6|11	11926	7|8|12|13	11927	3|4|5|9	11928	10|14|15	11929	1
4	2	Virtual Space	Imminent Threat	3	5	1	Assets/Product/Texture/Image/UiFubenActivityPuzzle/FubenActivityPuzzleBg01.png	Assets/Product/Texture/Image/UiFubenActivityPuzzle/PuzzleImgFull03.png	YR01603BA	11925	Puzzle Story "Hidden Current (III)" unlocked	1|2|6|11	11929	7|8|12|13	11928	3|4|5|9	11927	10|14|15	11926	1
5	3	Snow Cub	XXI	3	5	1	Assets/Product/Texture/Image/UiFubenActivityPuzzle/FubenActivityPuzzleBg08.png	Assets/Product/Texture/Image/UiFubenActivityPuzzle/PuzzleImgFull07.png	YR01801BA	420059	Puzzle Story "Snow Cub" unlocked									2
6	3	Black Knight	Black Knight	3	5	1	Assets/Product/Texture/Image/UiFubenActivityPuzzle/FubenActivityPuzzleBg08.png	Assets/Product/Texture/Image/UiFubenActivityPuzzle/PuzzleImgFull08.png	YR01802BA	420060	Puzzle Story "Black Knight" unlocked									2
7	4	Art Palace	Art Palace	3	5	1	Assets/Product/Texture/Image/UiFubenActivityPuzzle/FubenActivityPuzzleBg08.png	Assets/Product/Texture/Image/UiFubenActivityPuzzle/PuzzleImgFull09.png		12687		1|2|6|11	12689	7|8|12|13	12690	3|4|5|9	12691	10|14|15	12692	1
8	4	Promise Memory	Promise Memory	3	5	1	Assets/Product/Texture/Image/UiFubenActivityPuzzle/FubenActivityPuzzleBg08.png	Assets/Product/Texture/Image/UiFubenActivityPuzzle/PuzzleImgFull10.png		12688		1|2|6|11	12693	7|8|12|13	12694	3|4|5|9	12695	10|14|15	12696	1
9	5	Mystery Lantern	Searching Secret	3	5	1	Assets/Product/Texture/Image/UiFubenActivityPuzzle/FubenActivityPuzzleBg09.png	Assets/Product/Texture/Image/UiFubenActivityPuzzle/PuzzleImgFull11.png		12935		1|2|6|11	12931	7|8|12|13	12932	3|4|5|9	12933	10|14|15	12934	1
10	5	Deep Sea Protection	Sunken Guardian	3	5	1	Assets/Product/Texture/Image/UiFubenActivityPuzzle/FubenActivityPuzzleBg09.png	Assets/Product/Texture/Image/UiFubenActivityPuzzle/PuzzleImgFull12.png		12940		1|2|6|11	12936	7|8|12|13	12937	3|4|5|9	12938	10|14|15	12939	1
