Id	StageId	Round	Tricks[0]	Tricks[1]	Tricks[2]
1	1001	1	1	0	0
2	1001	2	0	1	0
3	1001	3	0	0	1
11	1002	1	1	0	1
12	1002	2	0	1	1
13	1002	3	1	1	0
14	1002	4	0	1	0
15	1002	5	0	0	1
21	1003	1	1	1	1
22	1003	2	1	1	1
23	1003	3	1	1	1
24	1003	4	1	1	1
25	1003	5	1	1	1
26	1003	6	1	1	1
27	1003	7	1	1	1
31	1004	1	1	1	1
32	1004	2	1	1	1
33	1004	3	1	1	1
34	1004	4	1	1	1
35	1004	5	1	1	1
36	1004	6	1	1	1
37	1004	7	1	1	1
38	1004	8	1	1	1
39	1004	9	1	1	1
41	1005	1	1	1	1
42	1005	2	1	1	1
43	1005	3	1	1	1
44	1005	4	1	1	1
45	1005	5	1	1	1
46	1005	6	1	1	1
47	1005	7	1	1	1
48	1005	8	1	1	1
49	1005	9	1	1	1
