Id	PatrolDirection[1]	PatrolStep[1]	PatrolDirection[2]	PatrolStep[2]
1105221	1	7		
1106231	2	5		
1106241	1	4		
1107221	3	2		
1110211	3	4		
1406211	4	3		
1407211	2	5		
1410211	3	5		
1410221	1	6		
1410231	2	5		
1410241	4	6		
2107221	4	3		
2110211	2	3		
2110221	1	3		
2410211	4	3		
3204211	2	4		
3205211	1	3		
3205221	1	7		
3206211	2	4		
3206221	1	2		
3206222	4	2		
3207211	2	5		
3207212	4	3		
3208211	2	4		
3305211	1	6		
3306211	2	7		
3406211	1	3		
3406212	3	2		
3406221	2	3		
3408211	3	2		
3408221	2	3		
