Id	ChapterId	PreStage	MapId	UseRoleId	HintCost	AnswerCost	NumberName	Name	StageHint	BG	Prefab	LoseHint[1]	LoseHint[2]	LoseHint[3]
1101	101		1101	1	25	100	Ep.1-1	Step by Step	If there is only one way in front of you, don't hesitate to go ahead	Assets/Product/Texture/Image/UiFubenRpgMakerGame/UiFubenRpgMakerGameStage0303.png	Assets/Product/Ui/ComponentPrefab/FubenRpgMakerGameStar/GridStageRpgMakerGame0203.prefab	It's critical to select the right route.	Sometimes it's more efficient to take the long way.	Running out of turns does not result in failure. Try going back or resetting.
1102	101	1101	1102	1	25	100	Ep.1-2	Walk by	Bump in road? Go around!	Assets/Product/Texture/Image/UiFubenRpgMakerGame/UiFubenRpgMakerGameStage0303.png	Assets/Product/Ui/ComponentPrefab/FubenRpgMakerGameStar/GridStageRpgMakerGame0203.prefab	It's critical to select the right route.	Sometimes it's more efficient to take the long way.	Running out of turns does not result in failure. Try going back or resetting.
1103	101	1102	1103	1	25	100	Ep.1-3	Like Shadow	I am Kuroro's nightmare!	Assets/Product/Texture/Image/UiFubenRpgMakerGame/UiFubenRpgMakerGameStage0303.png	Assets/Product/Ui/ComponentPrefab/FubenRpgMakerGameStar/GridStageRpgMakerGame0203.prefab	It's critical to select the right route.	Sometimes it's more efficient to take the long way.	Running out of turns does not result in failure. Try going back or resetting.
1104	101	1103	1104	1	25	100	Ep.1-4	Strike	Push the target to the correct position, then strike!	Assets/Product/Texture/Image/UiFubenRpgMakerGame/UiFubenRpgMakerGameStage0301.png	Assets/Product/Ui/ComponentPrefab/FubenRpgMakerGameStar/GridStageRpgMakerGame0103.prefab	It's critical to select the right route.	Sometimes it's more efficient to take the long way.	Running out of turns does not result in failure. Try going back or resetting.
1105	101	1104	1105	1	25	100	Ep.1-5	Cover Tracks	Don't take on an enemy that looks vicious directly	Assets/Product/Texture/Image/UiFubenRpgMakerGame/UiFubenRpgMakerGameStage0301.png	Assets/Product/Ui/ComponentPrefab/FubenRpgMakerGameStar/GridStageRpgMakerGame0103.prefab	It's critical to select the right route.	Sometimes it's more efficient to take the long way.	Running out of turns does not result in failure. Try going back or resetting.
1106	101	1105	1106	1	25	100	Ep.1-6	Enemy or Tool	Even your enemies can be your tools	Assets/Product/Texture/Image/UiFubenRpgMakerGame/UiFubenRpgMakerGameStage0303.png	Assets/Product/Ui/ComponentPrefab/FubenRpgMakerGameStar/GridStageRpgMakerGame0203.prefab	It's critical to select the right route.	Sometimes it's more efficient to take the long way.	Running out of turns does not result in failure. Try going back or resetting.
1107	101	1106	1107	1	25	100	Ep.1-7	Genius in Maths	Calculations and strategies. They are what schemes are all about.	Assets/Product/Texture/Image/UiFubenRpgMakerGame/UiFubenRpgMakerGameStage0301.png	Assets/Product/Ui/ComponentPrefab/FubenRpgMakerGameStar/GridStageRpgMakerGame0103.prefab	It's critical to select the right route.	Sometimes it's more efficient to take the long way.	Running out of turns does not result in failure. Try going back or resetting.
1108	101	1107	1108	1	25	100	Ep.1-8	Transport Worker	Sometimes you have to take several steps to move Kuroro to the right place.	Assets/Product/Texture/Image/UiFubenRpgMakerGame/UiFubenRpgMakerGameStage0301.png	Assets/Product/Ui/ComponentPrefab/FubenRpgMakerGameStar/GridStageRpgMakerGame0103.prefab	It's critical to select the right route.	Sometimes it's more efficient to take the long way.	Running out of turns does not result in failure. Try going back or resetting.
1109	101	1108	1109	1	25	100	Ep.1-9	Multiple Scares	Scared me once! And scared me twice!——Kuroro	Assets/Product/Texture/Image/UiFubenRpgMakerGame/UiFubenRpgMakerGameStage0303.png	Assets/Product/Ui/ComponentPrefab/FubenRpgMakerGameStar/GridStageRpgMakerGame0203.prefab	It's critical to select the right route.	Sometimes it's more efficient to take the long way.	Running out of turns does not result in failure. Try going back or resetting.
1110	101	1109	1110	1	25	100	Ep.1-10	Blind Spot Detour	The more regular the enemy acts, the easier you can spot their flaws.	Assets/Product/Texture/Image/UiFubenRpgMakerGame/UiFubenRpgMakerGameStage0301.png	Assets/Product/Ui/ComponentPrefab/FubenRpgMakerGameStar/GridStageRpgMakerGame0103.prefab	It's critical to select the right route.	Sometimes it's more efficient to take the long way.	Running out of turns does not result in failure. Try going back or resetting.
1201	102		1201	2	25	100	Ep.2-1	Water to Ice	Water to ice, dead end to path.	Assets/Product/Texture/Image/UiFubenRpgMakerGame/UiFubenRpgMakerGameStage0303.png	Assets/Product/Ui/ComponentPrefab/FubenRpgMakerGameStar/GridStageRpgMakerGame0203.prefab	It's critical to select the right route.	Sometimes it's more efficient to take the long way.	Running out of turns does not result in failure. Try going back or resetting.
1202	102	1201	1202	2	25	100	Ep.2-2	You Scared Me	What just fell down there?	Assets/Product/Texture/Image/UiFubenRpgMakerGame/UiFubenRpgMakerGameStage0301.png	Assets/Product/Ui/ComponentPrefab/FubenRpgMakerGameStar/GridStageRpgMakerGame0103.prefab	It's critical to select the right route.	Sometimes it's more efficient to take the long way.	Running out of turns does not result in failure. Try going back or resetting.
1203	102	1202	1203	2	25	100	Ep.2-3	Kill Two Birds With One Stone	I swear I didn't do anything!	Assets/Product/Texture/Image/UiFubenRpgMakerGame/UiFubenRpgMakerGameStage0303.png	Assets/Product/Ui/ComponentPrefab/FubenRpgMakerGameStar/GridStageRpgMakerGame0203.prefab	It's critical to select the right route.	Sometimes it's more efficient to take the long way.	Running out of turns does not result in failure. Try going back or resetting.
1204	102	1203	1204	2	25	100	Ep.2-4	Freeze in Advance	A way to reach a goal is a way itself.	Assets/Product/Texture/Image/UiFubenRpgMakerGame/UiFubenRpgMakerGameStage0303.png	Assets/Product/Ui/ComponentPrefab/FubenRpgMakerGameStar/GridStageRpgMakerGame0203.prefab	It's critical to select the right route.	Sometimes it's more efficient to take the long way.	Running out of turns does not result in failure. Try going back or resetting.
