Key	Platform	GoodsId	Amount	DisplayAmount	MoneyCard	Name	Desc	Icon	PayId	Type	ShowUIType
PayAnd5	1	101	0.99	0.99	5	5 Rainbow Cards	Recharge $0.99 to get 5 RC	Pay6	1001	1	1
PayAnd28	1	102	4.99	4.99	28	28 Rainbow Cards	Recharge $4.99 to get 28 RC	Pay30	1002	1	1
PayAnd34	1	103	5.99	5.99	34	34 Rainbow Cards	Recharge $5.99 to get 34 RC	Pay34	1003	1	1
PayAnd59	1	104	9.99	9.99	59	59 Rainbow Cards	Recharge $9.99 to get 59 RC	Pay68	1004	1	1
PayAnd71	1	105	11.99	11.99	71	71 Rainbow Cards	Recharge $11.99 to get 71 RC	Pay71	1005	1	1
PayAnd119	1	106	19.99	19.99	119	119 Rainbow Cards	Recharge $19.99 to get 119 RC	Pay128	1006	1	1
PayAnd299	1	107	49.99	49.99	299	299 Rainbow Cards	Recharge $49.99 to get 299 RC	Pay328	1007	1	1
PayAnd600	1	108	99.99	99.99	600	600 Rainbow Cards	Recharge $99.99 to get 600 RC	Pay648	1008	1	1
PayIos5	2	201	0.99	0.99	5	5 Rainbow Cards	Recharge $0.99 to get 5 RC	Pay6	1001	1	1
PayIos28	2	202	4.99	4.99	28	28 Rainbow Cards	Recharge $4.99 to get 28 RC	Pay30	1002	1	1
PayIos34	2	203	5.99	5.99	34	34 Rainbow Cards	Recharge $5.99 to get 34 RC	Pay34	1003	1	1
PayIos59	2	204	9.99	9.99	59	59 Rainbow Cards	Recharge $9.99 to get 59 RC	Pay68	1004	1	1
PayIos71	2	205	11.99	11.99	71	71 Rainbow Cards	Recharge $11.99 to get 71 RC	Pay71	1005	1	1
PayIos119	2	206	19.99	19.99	119	119 Rainbow Cards	Recharge $19.99 to get 119 RC	Pay128	1006	1	1
PayIos299	2	207	49.99	49.99	299	299 Rainbow Cards	Recharge $49.99 to get 299 RC	Pay328	1007	1	1
PayIos600	2	208	99.99	99.99	600	600 Rainbow Cards	Recharge $99.99 to get 600 RC	Pay648	1008	1	1
PayWin5	0	301	0.99	0.99	5	5 Rainbow Cards	Recharge $0.99 to get 5 RC	Pay6	1001	1	1
PayWin28	0	302	4.99	4.99	28	28 Rainbow Cards	Recharge $4.99 to get 28 RC	Pay30	1002	1	1
PayWin34	0	303	5.99	5.99	34	34 Rainbow Cards	Recharge $5.99 to get 34 RC	Pay34	1003	1	1
PayWin59	0	304	9.99	9.99	59	59 Rainbow Cards	Recharge $9.99 to get 59 RC	Pay68	1004	1	1
PayWin71	0	305	11.99	11.99	71	71 Rainbow Cards	Recharge $11.99 to get 71 RC	Pay71	1005	1	1
PayWin119	0	306	19.99	19.99	119	119 Rainbow Cards	Recharge $19.99 to get 119 RC	Pay128	1006	1	1
PayWin299	0	307	49.99	49.99	299	299 Rainbow Cards	Recharge $49.99 to get 299 RC	Pay328	1007	1	1
PayWin600	0	308	99.99	99.99	600	600 Rainbow Cards	Recharge $99.99 to get 600 RC	Pay648	1008	1	1
PayAndGoods2080	1	371	2080	2080	1040				2004	2	
PayIosGoods2080	2	372	2080	2080	1040				2004	2	
PayAndMonthPs730	1	391	365	365	730				3002	3	
PayIosMonthPs730	2	392	365	365	730				3002	3	
PayAnd1Days1840	1	439	920	920	1840				3005	3	
PayIos1Days1840	2	440	920	920	1840				3005	3	
PayAnd1weeks610	1	459	305	305	610				3004	3	
PayIos1weeks610	2	460	305	305	610				3004	3	
