Id	PartnerId	Level	BreakThrough	Quality	StarSchedule	MainSkillGroup	MainSkillLevel	PassiveSkillId[1]	PassiveSkillId[2]	PassiveSkillId[3]	PassiveSkillId[4]	PassiveSkillId[5]	PassiveSkillLevel[1]	PassiveSkillLevel[2]	PassiveSkillLevel[3]	PassiveSkillLevel[4]	PassiveSkillLevel[5]
1	16010000	5	0	2	0	101	1	50000	50010				1	1			
9085	16030000	25	2	3	30	105	1	52000	52010				1	1			
9087	16040000	25	2	3	30	107	1	53000	53010				1	1			
9088	16060000	25	2	3	30	111	1	55000	55040				1	1			
9089	16080000	25	2	3	30	115	1	57000	57040				1	1			
9090	16100000	30	3	6	330	119	5	59000	59010	59020	59030	59040	5	5	5	5	5
9091	16110000	30	3	6	330	122	5	60000	60010	60020	60030	60040	5	5	5	5	5
9092	16010000	30	3	3	30	102	1	50000	50010				1	1			
9093	16110000	30	3	3	30	122	1		60010			60040	1	1			
9094	16120000	30	3	6	330	123	5	61000	61010	61020	61030	61040	5	5	5	5	5
9095	16130000	30	3	6	330	125	5	62000	62010	62020	62030	62040	5	5	5	5	5
9096	16140000	30	3	6	330	127	5	63000	63010	63020	63030	63040	5	5	5	5	5
