Id	TimeId	Name	PrefabPath	FullScreenBg	BtnBg	Type	RoundDays[1]	SubRoundId[1]	RoundDays[2]	SubRoundId[2]	RoundDays[3]	SubRoundId[3]	RoundDays[4]	SubRoundId[4]	OpenLevel	OpenStage	PreSignId	IsShowWhenDayOver	IsShowWhenSignOver	CreateTimeId
1	24	Daily Log-in	Assets/Product/Ui/ComponentPrefab/Sign/SignDaily.prefab	Assets/Product/Texture/Image/UiActivityBase/SignBgDailyLoginNew.png	Assets/Product/Texture/Image/UiActivityBase/SignLabelDailyLoginNew.png	1	28	101									2	0	1	
2	24	New Player Sign-in	Assets/Product/Ui/ComponentPrefab/Sign/SignNewhand.prefab	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseSignInNewPlayer.png	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseLabelSignInNewPlayer.png	2	7	1001	7	1002						10010203		0	0	
5		Christmas Sign-in	Assets/Product/Ui/ComponentPrefab/Sign/SignChristmas.prefab	Assets/Product/Texture/Image/DrawCoating/DrawCoating01.png	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseLabelBg2.png	2	7	1003							20			0	0	
6		Lantern Festival Sign-in	Assets/Product/Ui/ComponentPrefab/Sign/SignLanternFestival.prefab	Assets/Product/Texture/Image/DrawCoating/DrawCoating02.png	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseLabelBg38.png	2	7	1004							20			0	0	
7		Spring Sign-in	Assets/Product/Ui/ComponentPrefab/Sign/SignSpringFestival.prefab	Assets/Product/Texture/Image/DrawCoating/DrawCoating01.png	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseLabelBg11.png	2	7	1005							20			0	0	
8		Eternal Engine Sign-in	Assets/Product/Ui/ComponentPrefab/Sign/SignLieche.prefab	Assets/Product/Texture/Image/DrawCoating/DrawCoating02.png	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseLabelBg21.png	2	7	1006							20			0	0	
9		[Nona] Sign-in	Assets/Product/Ui/ComponentPrefab/Sign/SignZhongguochuan.prefab	Assets/Product/Texture/Image/DrawCoating/DrawCoating01.png	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseLabelBg20.png	2	7	1007							20			0	0	
10		[K.M.] Sign-in	Assets/Product/Ui/ComponentPrefab/Sign/SignDaduhui.prefab	Assets/Product/Texture/Image/DrawCoating/DrawCoating02.png	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseLabelBg29.png	2	7	1008							20			0	0	
11		Grand Blue Sign-in	Assets/Product/Ui/ComponentPrefab/Sign/SignShuishangleyuanNew.prefab	Assets/Product/Texture/Image/DrawCoating/DrawCoating01.png	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseLabelBg45.png	2	7	1009	7	1010					20			0	0	
12		Firn Night Sign-in	Assets/Product/Ui/ComponentPrefab/Sign/SignFirnNight.prefab	Assets/Product/Texture/Image/DrawCoating/DrawCoating02.png	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseLabelBg44.png	2	7	1011							20			0	0	
13		Autumn Pilgrimage	Assets/Product/Ui/ComponentPrefab/Sign/SignZhongqiu.prefab	Assets/Product/Texture/Image/DrawCoating/DrawCoating01.png	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseLabelBg33.png	2	7	1012							20			0	0	
14		Lost Chapter Sign-in	Assets/Product/Ui/ComponentPrefab/Sign/SignQu.prefab	Assets/Product/Texture/Image/DrawCoating/DrawCoating02.png	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseLabelBg48.png	2	7	1013							20			0	0	
15		Fake Ascension	Assets/Product/Ui/ComponentPrefab/Sign/Sign1Year.prefab	Assets/Product/Texture/Image/DrawCoating/DrawCoating01.png	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseLabelBg2.png	2	7	1014							20			0	0	
16		Anniversary Gift	Assets/Product/Ui/ComponentPrefab/Sign/Sign1Year2.prefab	Assets/Product/Texture/Image/DrawCoating/DrawCoating02.png	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseLabelBg47.png	2	3	1015							20			0	0	
17		Untold Naraka Sign-in	Assets/Product/Ui/ComponentPrefab/Sign/SignNier.prefab	Assets/Product/Texture/Image/DrawCoating/DrawCoating01.png	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseLabelBg55.png	2	7	1016	7	1017					20			0	0	
18		Fortune January	Assets/Product/Ui/ComponentPrefab/Sign/SignSpringFestival2.prefab	Assets/Product/Texture/Image/DrawCoating/DrawCoating02.png	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseLabelBg9.png	2	3	1018							20			0	0	
