Id	IconName	IconImage	IsPrix	Score
1	Graffiti	Assets/Product/Texture/Image/UiFubenSlotmachine/UiFubenSlotmachineIcon05.png	0	500
2	Roland	Assets/Product/Texture/Image/UiFubenSlotmachine/UiFubenSlotmachineIcon01.png	0	500
3	Repairer	Assets/Product/Texture/Image/UiFubenSlotmachine/UiFubenSlotmachineIcon04.png	0	500
4	Explorer	Assets/Product/Texture/Image/UiFubenSlotmachine/UiFubenSlotmachineIcon03.png	0	500
5	Excavator	Assets/Product/Texture/Image/UiFubenSlotmachine/UiFubenSlotmachineIcon02.png	0	500
6	Nanami	Assets/Product/Texture/Image/UiFubenSlotmachine/UiFubenSlotmachineIcon06.png	1	600
7	Graffiti	Assets/Product/Texture/Image/UiFubenSlotmachine/UiFubenSlotmachineIcon05.png	0	600
8	Roland	Assets/Product/Texture/Image/UiFubenSlotmachine/UiFubenSlotmachineIcon01.png	0	600
9	Repairer	Assets/Product/Texture/Image/UiFubenSlotmachine/UiFubenSlotmachineIcon04.png	0	600
10	Explorer	Assets/Product/Texture/Image/UiFubenSlotmachine/UiFubenSlotmachineIcon03.png	0	600
11	Excavator	Assets/Product/Texture/Image/UiFubenSlotmachine/UiFubenSlotmachineIcon02.png	0	600
12	Nanami	Assets/Product/Texture/Image/UiFubenSlotmachine/UiFubenSlotmachineIcon06.png	1	1000
