Id	Type	UseShadowMesh	ShadowQuadScale	DefaultHide	Name	ModelId	DefaultNode	PosOffsetX	PosOffsetY	PosOffsetZ	RotOffsetX	RotOffsetY	RotOffsetZ	DefaultActionIndex	ActionId[0]	ActionId[1]	ActionId[2]	ActionId[3]	ActionId[4]	ActionId[5]	ActionId[6]	ActionId[7]	ActionId[8]	ActionId[9]	ActionId[10]	ActionId[11]	ActionId[12]	ActionId[13]	ActionId[14]	ActionId[15]	ActionId[16]	ActionId[17]	ActionId[18]	ActionId[19]	ActionId[20]	ActionId[21]	ActionId[22]	ActionId[23]	ActionId[24]	ActionId[25]	ActionId[26]	ActionId[27]	ActionId[28]	ActionId[29]	ActionId[30]	ActionId[31]	ActionId[32]	ActionId[33]	ActionId[34]	ActionId[35]
100201	1			0	Lucia's Right Blade	E3SwordMd070011	WeaponCase1																																											
100202	1			1	Lucia's Left Blade	E3SwordMd070011	WeaponCase2																																											
100210	2			0	Lucia's Anchor	S1LuxiyaMd010011RM	WeaponCase3	0	0	0				9	10021001	10021002	10021003	10021004	10021005	10021006	10021007	10021008	10021009	10021010	10021011	10021012	10021013	10021014	10021015	10021016																				
100211	2			1	Lucia's Nail	S1SpearMd010011RM	WeaponCase3		100					1	10021101	10021102	10021103	10021104	10021105	10021106	10021107	10021108	10021109	10021110																										
100212	2			1	Lucia's Nail	S1SpearMd010011RM	WeaponCase3		100					1	10021201	10021202	10021203	10021204	10021205	10021206	10021207	10021208	10021209	10021210																										
100213	2			1	Lucia's Nail	S1SpearMd010011RM	WeaponCase3		100					1	10021301	10021302	10021303	10021304	10021305	10021306	10021307	10021308	10021309	10021310																										
101401	1			0	Bianca's Bow	E3BowMd080001P04	WeaponCase1																																											
101410	2			0	Bianca's Anchor	S1BiankaMd010031RM	WeaponCase3	0	0	0				4	10141001	10141002	10141003	10141004	10141005	10141006	10141007	10141008	10141009	10141010	10141011	10141012	10141013	10141014	10141015	10141016	10141017	10141018	10141019	10141020	10141021	10141022														
101411	2			1	Bianca's Nail	S1SpearMd010031RM	WeaponCase3		100					1	10141101	10141102	10141103	10141104	10141105	10141106	10141107	10141108	10141109	10141110																										
101412	2			1	Bianca's Nail	S1SpearMd010031RM	WeaponCase3		100					1	10141201	10141202	10141203	10141204	10141205	10141206	10141207	10141208	10141209	10141210																										
101413	2			1	Bianca's Nail	S1SpearMd010031RM	WeaponCase3		100					1	10141301	10141302	10141303	10141304	10141305	10141306	10141307	10141308	10141309	10141310																										
800201	1			0	Levi-Gun 1	Mb1JueanhtDroneMd010001	WeaponCase1							1																																				
800202	1			0	Levi-Gun 2	Mb1JueanhtDroneMd010001	WeaponCase2							1																																				
800203	1			0	Levi-Gun 3	Mb1JueanhtDroneMd010001	WeaponCase3							1																																				
800204	1			0	Levi-Gun 4	Mb1JueanhtDroneMd010001	WeaponCase4							1																																				
800205	1			0	Levi-Gun 5	Mb1JueanhtDroneMd010001	WeaponCase5							1																																				
800206	1			0	Levi-Gun 6	Mb1JueanhtDroneMd010001	WeaponCase6							1																																				
800207	1			0	Missile 1	Mb1JueanhtMissleaMd010001	WeaponCase7							1																																				
800208	1			0	Missile 2	Mb1JueanhtMissleaMd010001	WeaponCase8							1																																				
800209	1			0	Missile 3	Mb1JueanhtMissleaMd010001	WeaponCase9							1																																				
100701	1			0	Karenina's Cannon	E3SleeveMd070011	WeaponCase1							1																																				
100710	2			0	Karenina's Spear	S1R2KalieninaMd010031RM	AddWeaponCase	0	0	0				4	10071001	10071002	10071003	10071004	10071005	10071006	10071007	10071008	10071009	10071010	10071011	10071012	10071013	10071014	10071015	10071016	10071017	10071018																		
100711	2			1	Karenina's Nail	S1SpearR2KalieninaMd010001	AddWeaponCase		-100					1	10071101	10071102	10071103	10071104	10071105	10071106	10071107	10071108	10071109	10071110																										
100712	2			1	Karenina's Nail	S1SpearR2KalieninaMd010001	AddWeaponCase		-100					1	10071201	10071202	10071203	10071204	10071205	10071206	10071207	10071208	10071209	10071210																										
100713	2			1	Karenina's Nail	S1SpearR2KalieninaMd010001	AddWeaponCase		-100					1	10071301	10071302	10071303	10071304	10071305	10071306	10071307	10071308	10071309	10071310																										
