Id	EventId	Npc	PartId	AndOr	Priority	ElementTypes[1]	DamageTypes[1]	Percents[1]	AbsValues[1]	ElementTypes[2]	DamageTypes[2]	Percents[2]	AbsValues[2]	ElementTypes[3]	DamageTypes[3]	Percents[3]	AbsValues[3]	ElementTypes[4]	DamageTypes[4]	Percents[4]	AbsValues[4]	ElementTypes[5]	DamageTypes[5]	Percents[5]	AbsValues[5]	Desc
1	800100101	8001	8001001	2	1	0	1|3|11|12|13|21|22|23|31|32|33	0.024	0	1		0.01	0	2		0.01	0	3		0.01	0	4		0.01	0	Grimhorn|Head|Small Take Hit
2	800100102	8001	8001001	2	2	0	1|3|11|12|13|21|22|23|31|32|33	0.052	0	1		0.035	0	2		0.035	0	3		0.035	0	4		0.035	0	Grimhorn|Head|Big Take Hit
3	800100103	8001	8001001	2	3	0	40|41|401|411	0.024	0																	Grimhorn|Head|Hit During Spear QTE
4	800100104	8001	8001001	2	4	0	50	0	1																	Events Used to Judge Whether Spear Hits Head
5	800100105	8001	8001001	2	5	-1		0.052	0																	Grimhorn|Head|Vulnerability
6	800100301	8001	8001003	2	1	0	1|3|11|12|13|21|22|23|31|32|33	0.024	0	1		0.01	0	2		0.01	0	3		0.01	0	4		0.01	0	Grimhorn|Left Hand|Small Take Hit
7	800100302	8001	8001003	2	2	0	1|3|11|12|13|21|22|23|31|32|33	0.052	0	1		0.035	0	2		0.035	0	3		0.035	0	4		0.035	0	Grimhorn|Left Hand|Big Take Hit
8	800100303	8001	8001003	2	3	0	40|41|403|413	0.024	0																	Grimhorn|Left Hand|Hit During Spear QTE
9	800100304	8001	8001003	2	4	0	50	0	1																	Event Used to Judge Spear Hit
10	800100305	8001	8001003	2	5	-1		0.052	0																	Grimhorn|Left Hand|Vulnerability
11	800100401	8001	8001004	2	1	0	1|3|11|12|13|21|22|23|31|32|33	0.024	0	1		0.01	0	2		0.01	0	3		0.01	0	4		0.01	0	Grimhorn|Right Hand|Small Take Hit
12	800100402	8001	8001004	2	2	0	1|3|11|12|13|21|22|23|31|32|33	0.052	0	1		0.035	0	2		0.035	0	3		0.035	0	4		0.035	0	Grimhorn|Right Hand|Big Take Hit
13	800100403	8001	8001004	2	3	0	40|41|404|414	0.024	0																	Grimhorn|Right Hand|Hit During Spear QTE
14	800100404	8001	8001004	2	4	0	50	0	1																	Event Used to Judge Spear Hit
15	800100405	8001	8001004	2	5	-1		0.052	0																	Grimhorn|Right Hand|Vulnerability
16	800100601	8001	8001006	2	1	0	1|3|11|12|13|21|22|23|31|32|33	0.1	0																	
