Id	DecorationId	Lv	ConditionId	UpgradeCostItemId	UpgradeCostCount	Type[1]	Param[1]	Type[2]	Param[2]	GroupIndex	GridIndex	Name	Icon	Desc	ConditionDesc	IsWindow
1	10001	0		96102	120					2	1	ATK Up	Assets/Product/Texture/Image/IconPetSkill/Pet3MaSkillbeidong04.png	(Not Activated) In Recitativo di Fantasia, Character Base ATK +<color=#6495ED>10%</color>		
2	10001	1		96102	200	15	2240198			2	1	ATK Up	Assets/Product/Texture/Image/IconPetSkill/Pet3MaSkillbeidong04.png	Current Level: In Recitativo di Fantasia, Character Base ATK +<color=#6495ED>10%</color>     \nNext Level: In Recitativo di Fantasia, Character Base ATK +<color=#6495ED>20%</color>  		
3	10001	2		96102	300	15	2240199			2	1	ATK Up	Assets/Product/Texture/Image/IconPetSkill/Pet3MaSkillbeidong04.png	Current Level: In Recitativo di Fantasia, Character Base ATK +<color=#6495ED>20%</color>     \nNext Level: In Recitativo di Fantasia, Character Base ATK +<color=#6495ED>30%</color>		
4	10001	3		96102	500	15	2240200			2	1	ATK Up	Assets/Product/Texture/Image/IconPetSkill/Pet3MaSkillbeidong04.png	Current Level: In Recitativo di Fantasia, Character Base ATK +<color=#6495ED>30%</color>     \nNext Level: In Recitativo di Fantasia, Character Base ATK +<color=#6495ED>40%</color>		
5	10001	4		96102	750	15	2240201			2	1	ATK Up	Assets/Product/Texture/Image/IconPetSkill/Pet3MaSkillbeidong04.png	Current Level: In Recitativo di Fantasia, Character Base ATK +<color=#6495ED>40%</color>     \nNext Level: In Recitativo di Fantasia, Character Base ATK +<color=#6495ED>50%</color>		
6	10001	5		96102	1000	15	2240202			2	1	ATK Up	Assets/Product/Texture/Image/IconPetSkill/Pet3MaSkillbeidong04.png	Current Level: In Recitativo di Fantasia, Character Base ATK +<color=#6495ED>50%</color>     \nNext Level: In Recitativo di Fantasia, Character Base ATK +<color=#6495ED>70%</color>		
7	10001	6		96102	1500	15	2240203			2	1	ATK Up	Assets/Product/Texture/Image/IconPetSkill/Pet3MaSkillbeidong04.png	Current Level: In Recitativo di Fantasia, Character Base ATK +<color=#6495ED>70%</color>     \nNext Level: In Recitativo di Fantasia, Character Base ATK +<color=#6495ED>90%</color>		
8	10001	7		96102	2000	15	2240204			2	1	ATK Up	Assets/Product/Texture/Image/IconPetSkill/Pet3MaSkillbeidong04.png	Current Level: In Recitativo di Fantasia, Character Base ATK +<color=#6495ED>90%</color>     \nNext Level: In Recitativo di Fantasia, Character Base ATK +<color=#6495ED>120%</color>		
9	10001	8		96102	2500	15	2240205			2	1	ATK Up	Assets/Product/Texture/Image/IconPetSkill/Pet3MaSkillbeidong04.png	Current Level: In Recitativo di Fantasia, Character Base ATK +<color=#6495ED>120%</color>     \nNext Level: In Recitativo di Fantasia, Character Base ATK +<color=#6495ED>150%</color>		
10	10001	9				15	2240206			2	2	ATK Up	Assets/Product/Texture/Image/IconPetSkill/Pet3MaSkillbeidong04.png	Current Level: In Recitativo di Fantasia, Character Base ATK +<color=#6495ED>150%</color>		
11	10002	0		96102	120					2	2	HP Up	Assets/Product/Texture/Image/IconPetSkill/Pet2NiuSkillbeidong01.png	(Not Activated) In Recitativo di Fantasia, Character Base HP +<color=#6495ED>10%</color>		
12	10002	1		96102	200	15	2240207			2	2	HP Up	Assets/Product/Texture/Image/IconPetSkill/Pet2NiuSkillbeidong01.png	Current Level: In Recitativo di Fantasia, Character Base HP +<color=#6495ED>10%</color>     \nNext Level: In Recitativo di Fantasia, Character Base HP +<color=#6495ED>20%</color>		
13	10002	2		96102	300	15	2240208			2	2	HP Up	Assets/Product/Texture/Image/IconPetSkill/Pet2NiuSkillbeidong01.png	Current Level: In Recitativo di Fantasia, Character Base HP +<color=#6495ED>20%</color>     \nNext Level: In Recitativo di Fantasia, Character Base HP +<color=#6495ED>30%</color>		
14	10002	3		96102	500	15	2240209			2	2	HP Up	Assets/Product/Texture/Image/IconPetSkill/Pet2NiuSkillbeidong01.png	Current Level: In Recitativo di Fantasia, Character Base HP +<color=#6495ED>30%</color>     \nNext Level: In Recitativo di Fantasia, Character Base HP +<color=#6495ED>40%</color>		
15	10002	4		96102	750	15	2240210			2	2	HP Up	Assets/Product/Texture/Image/IconPetSkill/Pet2NiuSkillbeidong01.png	Current Level: In Recitativo di Fantasia, Character Base HP +<color=#6495ED>40%</color>     \nNext Level: In Recitativo di Fantasia, Character Base HP +<color=#6495ED>50%</color>		
16	10002	5		96102	1000	15	2240211			2	2	HP Up	Assets/Product/Texture/Image/IconPetSkill/Pet2NiuSkillbeidong01.png	Current Level: In Recitativo di Fantasia, Character Base HP +<color=#6495ED>50%</color>     \nNext Level: In Recitativo di Fantasia, Character Base HP +<color=#6495ED>70%</color>		
