Id	PowerId	Type	Pos	Quality	Lv	FightAbility	Name	Desc	Icon	NeedPowerFavor	FightEventId[1]	FightEventId[2]	SkillWeight
1	1	1	1	1	5	200	Instant Creation I: Fast Strike	<color=#fa5826>Triggering a Basic Attack</color> will summon a <color=#fa5826>Flame Burst</color>, dealing area Fire DMG equal to <color=#fa5826>1400% ATK</color>. Cooldown: <color=#fa5826>8s</color>	Assets/Product/Texture/Image/UiTheatre/UiTheatreBuffType6.png		2240001		115
2	1	1	1	2	10	250	Instant Creation II: Fast Strike	<color=#fa5826>Triggering a Basic Attack</color> will summon a <color=#fa5826>Flame Burst</color>, dealing area Fire DMG equal to <color=#fa5826>1700% ATK</color>. Cooldown: <color=#fa5826>7s</color>	Assets/Product/Texture/Image/UiTheatre/UiTheatreBuffType6.png		2240002		115
3	1	1	1	3	15	300	Instant Creation III: Fast Strike	<color=#fa5826>Triggering a Basic Attack</color> will summon a <color=#fa5826>Flame Burst</color>, dealing area Fire DMG equal to <color=#fa5826>1900% ATK</color>. Cooldown: <color=#fa5826>6s</color>	Assets/Product/Texture/Image/UiTheatre/UiTheatreBuffType6.png		2240003		115
4	1	1	1	4	18	350	Instant Creation IV: Fast Strike	<color=#fa5826>Triggering a Basic Attack</color> will summon a <color=#fa5826>Flame Burst</color>, dealing area Fire DMG equal to <color=#fa5826>2000% ATK</color>. Cooldown: <color=#fa5826>5s</color>	Assets/Product/Texture/Image/UiTheatre/UiTheatreBuffType6.png		2240004		115
5	1	1	2	1	5	200	Instant Creation I: Elimination	<color=#fa5826>Triggering a 3-Ping</color> will summon a <color=#fa5826>Flame Burst</color>, dealing area Fire DMG equal to <color=#fa5826>1750% ATK</color>. Cooldown: <color=#fa5826>10s</color>	Assets/Product/Texture/Image/UiTheatre/UiTheatreBuffType6.png		2240005		115
6	1	1	2	2	10	250	Instant Creation II: Elimination	<color=#fa5826>Triggering a 3-Ping</color> will summon a <color=#fa5826>Flame Burst</color>, dealing area Fire DMG equal to <color=#fa5826>2100% ATK</color>. Cooldown: <color=#fa5826>9s</color>	Assets/Product/Texture/Image/UiTheatre/UiTheatreBuffType6.png		2240006		115
7	1	1	2	3	15	300	Instant Creation III: Elimination	<color=#fa5826>Triggering a 3-Ping</color> will summon a <color=#fa5826>Flame Burst</color>, dealing area Fire DMG equal to <color=#fa5826>2350% ATK</color>. Cooldown: <color=#fa5826>8s</color>	Assets/Product/Texture/Image/UiTheatre/UiTheatreBuffType6.png		2240007		115
8	1	1	2	4	18	350	Instant Creation IV: Elimination	<color=#fa5826>Triggering a 3-Ping</color> will summon a <color=#fa5826>Flame Burst</color>, dealing area Fire DMG equal to <color=#fa5826>2500% ATK</color>. Cooldown: <color=#fa5826>7s</color>	Assets/Product/Texture/Image/UiTheatre/UiTheatreBuffType6.png		2240008		115
9	1	1	3	1	5	200	Instant Creation I: Burst	<color=#fa5826>Triggering the Signature Move</color> will summon <color=#fa5826>Flame Burst</color> 3 times in a row, each time dealing area Fire DMG equal to <color=#fa5826>880% ATK</color>. Cooldown: <color=#fa5826>15s</color>	Assets/Product/Texture/Image/UiTheatre/UiTheatreBuffType6.png		2240009		115
10	1	1	3	2	10	250	Instant Creation II: Burst	<color=#fa5826>Triggering the Signature Move</color> will summon <color=#fa5826>Flame Burst</color> 3 times in a row, each time dealing area Fire DMG equal to <color=#fa5826>1050% ATK</color>. Cooldown: <color=#fa5826>14s</color>	Assets/Product/Texture/Image/UiTheatre/UiTheatreBuffType6.png		2240010		115
11	1	1	3	3	15	300	Instant Creation III: Burst	<color=#fa5826>Triggering the Signature Move</color> will summon 3 <color=#fa5826>Flame Bursts</color> in a row, each dealing area Fire DMG equal to <color=#fa5826>1180% ATK</color>. Cooldown: <color=#fa5826>13s</color>	Assets/Product/Texture/Image/UiTheatre/UiTheatreBuffType6.png		2240011		115
12	1	1	3	4	18	350	Instant Creation IV: Burst	<color=#fa5826>Triggering the Signature Move</color> will summon a <color=#fa5826>Flame Burst</color> 3 times in a row, each time dealing area Fire DMG equal to <color=#fa5826>1250% ATK</color>. Cooldown: <color=#fa5826>12s</color>	Assets/Product/Texture/Image/UiTheatre/UiTheatreBuffType6.png		2240012		115
13	1	1	4	1	5	200	Instant Creation I: Impeccability	<color=#fa5826>Triggering Matrix</color> will summon a <color=#fa5826>Flame Burst</color>, dealing Fire DMG equal to <color=#fa5826>1000% ATK</color>. Cooldown: <color=#fa5826>8s</color>	Assets/Product/Texture/Image/UiTheatre/UiTheatreBuffType6.png		2240013		115
14	1	1	4	2	10	250	Instant Creation II: Impeccability	<color=#fa5826>Triggering Matrix</color> will summon a <color=#fa5826>Flame Burst</color>, dealing Fire DMG equal to <color=#fa5826>1500% ATK</color>. Cooldown: <color=#fa5826>7s</color>	Assets/Product/Texture/Image/UiTheatre/UiTheatreBuffType6.png		2240014		115
15	1	1	4	3	15	300	Instant Creation III: Impeccability	<color=#fa5826>Triggering Matrix</color> will summon a <color=#fa5826>Flame Burst</color>, dealing Fire DMG equal to <color=#fa5826>2000% ATK</color>. Cooldown: <color=#fa5826>6s</color>	Assets/Product/Texture/Image/UiTheatre/UiTheatreBuffType6.png		2240015		115
16	1	1	4	4	18	350	Instant Creation IV: Impeccability	<color=#fa5826>Triggering Matrix</color> will summon a <color=#fa5826>Flame Burst</color>, dealing Fire DMG equal to <color=#fa5826>2500% ATK</color>. Cooldown: <color=#fa5826>5s</color>	Assets/Product/Texture/Image/UiTheatre/UiTheatreBuffType6.png		2240016		115
17	1	2				100	Skill Renovation	All <color=#fa5826>Fire DMG dealt increases by 40%</color>.	Assets/Product/Texture/Image/UiTheatre/UiTheatreBuffType6.png		2240017		70
18	1	2				100	Perception of Flame	All characters' <color=#fa5826>Signature Move charging speed increases by 25%</color>.	Assets/Product/Texture/Image/UiTheatre/UiTheatreBuffType6.png		2240018		70
19	1	2				200	Color Perception	Character(s) on the field <color=#ff0000>lose 1% HP per second</color>, but all damage dealt by them will <color=#fa5826>come with additional 20% True DMG</color>.	Assets/Product/Texture/Image/UiTheatre/UiTheatreBuffType6.png	1	2240019		20
20	1	2				100	Color Combination	<color=#fa5826>Flame Bursts</color> will leave <color=#fa5826>Magma</color> on the ground, dealing Fire DMG equal to <color=#fa5826>300% ATK</color> per second to the enemies within its range for 3s.	Assets/Product/Texture/Image/UiTheatre/UiTheatreBuffType6.png	1	2240022		70
21	1	2				200	Color Expansion	<color=#fa5826>Flame Bursts'</color> effect radius <color=#fa5826>doubles</color> and their damage percentage increases by <color=#fa5826>30%</color>.	Assets/Product/Texture/Image/UiTheatre/UiTheatreBuffType6.png	1	2240020		20
22	1	2				150	Instant Impression	Upon summoned, a <color=#fa5826>Flame Burst</color> has a <color=#fa5826>30%</color> chance to summon another <color=#fa5826>Flame Burst</color>. (Effect triggered by the entry will not be triggered again.)	Assets/Product/Texture/Image/UiTheatre/UiTheatreBuffType6.png	1	2240021		40
23	1	2				100	Scientific Fusion	Enemies hit by a <color=#fa5826>Flame Burst</color> will explode again in 2s, dealing damage equal to <color=#fa5826>400% ATK</color>.	Assets/Product/Texture/Image/UiTheatre/UiTheatreBuffType6.png		2240024		70
24	1	2				100	Revelation of Nature	After the character gets hit by a <color=#fa5826>Flame Burst</color>, they will deal <color=#fa5826>20%</color> more damage for 5s.	Assets/Product/Texture/Image/UiTheatre/UiTheatreBuffType6.png		2240025		70
25	1	2				100	Natural Light Depiction	All <color=#fa5826>Flame Bursts'</color> damage percentage increases by <color=#fa5826>25%</color>.	Assets/Product/Texture/Image/UiTheatre/UiTheatreBuffType6.png		2240026		70
26	1	2				150	Subjective Depiction	Upon hitting an enemy, a <color=#fa5826>Flame Burst</color> has a <color=#fa5826>25%</color> chance to reset all <color=#fa5826>Flame Burst</color> main ability cooldowns. Cooldown: 15s	Assets/Product/Texture/Image/UiTheatre/UiTheatreBuffType6.png	1	2240023		40
27	2	1	1	1	5	200	Arbitrary Memory I: Fast Strike	<color=#168eec>Triggering a Basic Attack</color> will summon a 6-second <color=#168eec>Lightning Orb</color> with a <color=#168eec>9-second</color> cooldown. There can be up to 4 different <color=#168eec>Lightning Orbs</color> on the field at the same time. Each <color=#168eec>Lightning Orb</color> will channel a lightning strike at a nearby enemy every 3s, dealing Lightning DMG equal to <color=#168eec>840% ATK</color>.	Assets/Product/Texture/Image/UiTheatre/UiTheatreBuffType4.png		2240027		115
28	2	1	1	2	10	250	Arbitrary Memory II: Fast Strike	<color=#168eec>Triggering a Basic Attack</color> will summon a 6-second <color=#168eec>Lightning Orb</color> with a <color=#168eec>8-second</color> cooldown. There can be up to 4 different <color=#168eec>Lightning Orbs</color> on the field at the same time. Each <color=#168eec>Lightning Orb</color> will channel a lightning strike at a nearby enemy every 3s, dealing Lightning DMG equal to <color=#168eec>1020% ATK</color>.	Assets/Product/Texture/Image/UiTheatre/UiTheatreBuffType4.png		2240028		115
29	2	1	1	3	15	300	Arbitrary Memory III: Fast Strike	<color=#168eec>Triggering a Basic Attack</color> will summon a 6-second <color=#168eec>Lightning Orb</color> with a <color=#168eec>7-second</color> cooldown. There can be up to 4 different <color=#168eec>Lightning Orbs</color> on the field at the same time. Each <color=#168eec>Lightning Orb</color> will channel a lightning strike at a nearby enemy every 3s, dealing Lightning DMG equal to <color=#168eec>1140% ATK</color>.	Assets/Product/Texture/Image/UiTheatre/UiTheatreBuffType4.png		2240029		115
30	2	1	1	4	18	350	Arbitrary Memory IV: Fast Strike	<color=#168eec>Triggering a Basic Attack</color> will summon a 6-second <color=#168eec>Lightning Orb</color> with a <color=#168eec>6-second</color> cooldown. There can be up to 4 different <color=#168eec>Lightning Orbs</color> on the field at the same time. Each <color=#168eec>Lightning Orb</color> will channel a lightning strike at a nearby enemy every 3s, dealing Lightning DMG equal to <color=#168eec>1200% ATK</color>.	Assets/Product/Texture/Image/UiTheatre/UiTheatreBuffType4.png		2240030		115
31	2	1	2	1	5	200	Arbitrary Memory I: Elimination	<color=#168eec>Triggering a 3-Ping</color> will summon a 6-second <color=#168eec>Lightning Orb</color> with a <color=#168eec>12-second</color> cooldown. There can be up to 4 different <color=#168eec>Lightning Orbs</color> on the field at the same time. Each <color=#168eec>Lightning Orb</color> will channel a lightning strike at a nearby enemy every 3s, dealing Lightning DMG equal to <color=#168eec>1050% ATK</color>.	Assets/Product/Texture/Image/UiTheatre/UiTheatreBuffType4.png		2240031		115
32	2	1	2	2	10	250	Arbitrary Memory II: Elimination	<color=#168eec>Triggering a 3-Ping</color> will summon a 6-second <color=#168eec>Lightning Orb</color> with a <color=#168eec>11-second</color> cooldown. There can be up to 4 different <color=#168eec>Lightning Orbs</color> on the field at the same time. Each <color=#168eec>Lightning Orb</color> will channel a lightning strike at a nearby enemy every 3s, dealing Lightning DMG equal to <color=#168eec>1275% ATK</color>.	Assets/Product/Texture/Image/UiTheatre/UiTheatreBuffType4.png		2240032		115
33	2	1	2	3	15	300	Arbitrary Memory III: Elimination	<color=#168eec>Triggering a 3-Ping</color> will summon a 6-second <color=#168eec>Lightning Orb</color> with a <color=#168eec>10-second</color> cooldown. There can be up to 4 different <color=#168eec>Lightning Orbs</color> on the field at the same time. Each <color=#168eec>Lightning Orb</color> will channel a lightning strike at a nearby enemy every 3s, dealing Lightning DMG equal to <color=#168eec>1425% ATK</color>.	Assets/Product/Texture/Image/UiTheatre/UiTheatreBuffType4.png		2240033		115
34	2	1	2	4	18	350	Arbitrary Memory IV: Elimination	<color=#168eec>Triggering a 3-Ping</color> will summon a 6-second <color=#168eec>Lightning Orb</color> with a <color=#168eec>9-second</color> cooldown. There can be up to 4 different <color=#168eec>Lightning Orbs</color> on the field at the same time. Each <color=#168eec>Lightning Orb</color> will channel a lightning strike at a nearby enemy every 3s, dealing Lightning DMG equal to <color=#168eec>1500% ATK</color>.	Assets/Product/Texture/Image/UiTheatre/UiTheatreBuffType4.png		2240034		115
35	2	1	3	1	5	200	Arbitrary Memory I: Burst	<color=#168eec>Triggering the Signature Move</color> will summon a 6-second <color=#168eec>Lightning Orb</color> with a <color=#168eec>15-second</color> cooldown. There can be up to 4 different <color=#168eec>Lightning Orbs</color> on the field at the same time. Each <color=#168eec>Lightning Orb</color> will channel a lightning strike at a nearby enemy every 3s, dealing Lightning DMG equal to <color=#168eec>1600% ATK</color>.	Assets/Product/Texture/Image/UiTheatre/UiTheatreBuffType4.png		2240035		115
36	2	1	3	2	10	250	Arbitrary Memory II: Burst	<color=#168eec>Triggering the Signature Move</color> will summon a 6-second <color=#168eec>Lightning Orb</color> with a <color=#168eec>14-second</color> cooldown. There can be up to 4 different <color=#168eec>Lightning Orbs</color> on the field at the same time. Each <color=#168eec>Lightning Orb</color> will channel a lightning strike at a nearby enemy every 3s, dealing Lightning DMG equal to <color=#168eec>1920% ATK</color>.	Assets/Product/Texture/Image/UiTheatre/UiTheatreBuffType4.png		2240036		115
37	2	1	3	3	15	300	Arbitrary Memory III: Burst	<color=#168eec>Triggering the Signature Move</color> will summon a 6-second <color=#168eec>Lightning Orb</color> with a <color=#168eec>13-second</color> cooldown. There can be up to 4 different <color=#168eec>Lightning Orbs</color> on the field at the same time. Each <color=#168eec>Lightning Orb</color> will channel a lightning strike at a nearby enemy every 3s, dealing Lightning DMG equal to <color=#168eec>2130% ATK</color>.	Assets/Product/Texture/Image/UiTheatre/UiTheatreBuffType4.png		2240037		115
38	2	1	3	4	18	350	Arbitrary Memory IV: Burst	<color=#168eec>Triggering the Signature Move</color> will summon a 6-second <color=#168eec>Lightning Orb</color> with a <color=#168eec>12-second</color> cooldown. There can be up to 4 different <color=#168eec>Lightning Orbs</color> on the field at the same time. Each <color=#168eec>Lightning Orb</color> will channel a lightning strike at a nearby enemy every 3s, dealing Lightning DMG equal to <color=#168eec>2250% ATK</color>.	Assets/Product/Texture/Image/UiTheatre/UiTheatreBuffType4.png		2240038		115
39	2	1	4	1	5	200	Arbitrary Memory I: Impeccability	<color=#168eec>Triggering Matrix</color> will summon a 6-second <color=#168eec>Lightning Orb</color> with a <color=#168eec>9-second</color> cooldown. There can be up to 4 different <color=#168eec>Lightning Orbs</color> on the field at the same time. Each <color=#168eec>Lightning Orb</color> will channel a lightning strike at a nearby enemy every 3s, dealing Lightning DMG equal to <color=#168eec>1050% ATK</color>.	Assets/Product/Texture/Image/UiTheatre/UiTheatreBuffType4.png		2240039		115
40	2	1	4	2	10	250	Arbitrary Memory II: Impeccability	<color=#168eec>Triggering Matrix</color> will summon a 6-second <color=#168eec>Lightning Orb</color> with a <color=#168eec>8-second</color> cooldown. There can be up to 4 different <color=#168eec>Lightning Orbs</color> on the field at the same time. Each <color=#168eec>Lightning Orb</color> will channel a lightning strike at a nearby enemy every 3s, dealing Lightning DMG equal to <color=#168eec>1275% ATK</color>.	Assets/Product/Texture/Image/UiTheatre/UiTheatreBuffType4.png		2240040		115
