Id	Condition	Name	EnName	Icon	Bg	FuncGroup[1]	FuncGroup[2]	FuncGroup[3]	FuncGroup[4]	FuncGroup[5]
1001	601000	Data Center	Center	Assets/Product/Texture/Image/UiTRPG/UiTRPGChapterStageBg01.png	Assets/Product/Texture/Image/UiTRPG/UiTRPGChapterBg02.png	11003				
1002	601000	Supply Delivery	Shop	Assets/Product/Texture/Image/UiTRPG/UiTRPGChapterStageBg03.png	Assets/Product/Texture/Image/UiTRPG/UiTRPGExploreStageShop01.png	191002				
2001	601011	Supply Carriage	Center	Assets/Product/Texture/Image/UiTRPG/UiTRPGChapterStageBg04.png	Assets/Product/Texture/Image/UiTRPG/UiTRPGChapterBg04.png	12001				
2002	602001	Supply Delivery	Shop	Assets/Product/Texture/Image/UiTRPG/UiTRPGChapterStageBg06.png	Assets/Product/Texture/Image/UiTRPG/UiTRPGExploreStageShop02.png	192002				
2003	602002	Branch Clue	Other	Assets/Product/Texture/Image/UiTRPG/UiTRPGChapterStageBg05.png	Assets/Product/Texture/Image/UiTRPG/UiTRPGChapterBg04.png					
3001	601000	Supply Carriage	Center	Assets/Product/Texture/Image/UiTRPG/UiTRPGChapterStageBg07.png	Assets/Product/Texture/Image/UiTRPG/UiTRPGChapterBg06.png	13001	13002			
3002	601000	Supply Delivery	Shop	Assets/Product/Texture/Image/UiTRPG/UiTRPGChapterStageBg09.png	Assets/Product/Texture/Image/UiTRPG/UiTRPGExploreStageShop03.png	193002				
3003	603000	Support Force	Other	Assets/Product/Texture/Image/UiTRPG/UiTRPGChapterStageBg08.png	Assets/Product/Texture/Image/UiTRPG/UiTRPGChapterBg06.png	213001	213002			
4001	603016	Preparation Cavern	Center	Assets/Product/Texture/Image/UiTRPG/UiTRPGChapterStageBg10.png	Assets/Product/Texture/Image/UiTRPG/UiTRPGChapterBg08.png	14001				
4002	604001	Supply Delivery	Shop	Assets/Product/Texture/Image/UiTRPG/UiTRPGChapterStageBg12.png	Assets/Product/Texture/Image/UiTRPG/UiTRPGExploreStageShop03.png	194002				
4003	624101	Branch Clue	Other	Assets/Product/Texture/Image/UiTRPG/UiTRPGChapterStageBg11.png	Assets/Product/Texture/Image/UiTRPG/UiTRPGChapterBg08.png	134001				
