Id	Name	Desc	Condition	StageId	StoryId	TRPGRewardId	PrefabName	Icon	DialogIcon
10000	Decision Altitude	77.3% of the conventional engines have been forcibly shut down. Babylonia is falling!	601000		ZX01601BA		Assets/Product/Ui/ComponentPrefab/GridStage/GridStagTRPGStory.prefab		Assets/Product/Texture/Image/UiTRPG/FubenTRPGStageStoryAa01.png
13002	A Familiar Sight	The virtual space looks completely normal, but there is something hidden underneath.	601000	10130142			Assets/Product/Ui/ComponentPrefab/GridStage/GridStageTRPGFightSquare.prefab	Assets/Product/Texture/Image/UiTRPG/FubenTRPGStageAa01.png	Assets/Product/Texture/Image/UiTRPG/FubenTRPGStageAa01a.png
13003	Unexpected Bolt	You encounter unexpected events, both friendly and hostile... both commanded and improvised.	601000	10130143			Assets/Product/Ui/ComponentPrefab/GridStage/GridStageTRPGFightRectangle.prefab	Assets/Product/Texture/Image/UiTRPG/FubenTRPGStageAa02.png	Assets/Product/Texture/Image/UiTRPG/FubenTRPGStageAa02.png
11004	Fake Friendship	What's false cannot be true.	601000		ZX01604BA		Assets/Product/Ui/ComponentPrefab/GridStage/GridStagTRPGStory.prefab		Assets/Product/Texture/Image/UiTRPG/FubenTRPGStageStoryAa01.png
11005	Profile of Bait	Veritas ends in pursuit.	601000		ZX01605BA		Assets/Product/Ui/ComponentPrefab/GridStage/GridStagTRPGStory.prefab		Assets/Product/Texture/Image/UiTRPG/FubenTRPGStageStoryAa01.png
11007	Fragile Relationship	Is relationship and bond between people strong or frail?	601000		ZX01606BA		Assets/Product/Ui/ComponentPrefab/GridStage/GridStagTRPGStory.prefab		Assets/Product/Texture/Image/UiTRPG/FubenTRPGStageStoryAa01.png
13008	Breaking a Deadlock	Finally, there is a hope to break the deadlock.	601000	10130145			Assets/Product/Ui/ComponentPrefab/GridStage/GridStageTRPGFightRectangle.prefab	Assets/Product/Texture/Image/UiTRPG/FubenTRPGStageAa03.png	Assets/Product/Texture/Image/UiTRPG/FubenTRPGStageAa03.png
11009	Shutting	All signals come to a screeching halt here.	601000		ZX01608BA		Assets/Product/Ui/ComponentPrefab/GridStage/GridStagTRPGStory.prefab		Assets/Product/Texture/Image/UiTRPG/FubenTRPGStageStoryAa01.png
13011	"Huaxu"	No matter who "it" works for, you've got to make it stop.	601000	10130147			Assets/Product/Ui/ComponentPrefab/GridStage/GridStageTRPGFightRectangleBoss.prefab	Assets/Product/Texture/Image/UiTRPG/FubenTRPGStageAa04.png	Assets/Product/Texture/Image/UiTRPG/FubenTRPGStageAa04.png
13012	S.S.D.D	The crisis in Babylonia is lifted temporarily. And everything returns to normal.	601000		ZX01610BA		Assets/Product/Ui/ComponentPrefab/GridStage/GridStagTRPGStory.prefab		Assets/Product/Texture/Image/UiTRPG/FubenTRPGStageStoryAa01.png
20000	Enhance Inverse	If you see something too dangerous, don't let curiosity get the best of you.	601000		ZX01611BA		Assets/Product/Ui/ComponentPrefab/GridStage/GridStagTRPGStory.prefab	Assets/Product/Texture/Image/UiTRPG/FubenTRPGStageBa01.png	Assets/Product/Texture/Image/UiTRPG/FubenTRPGStageStoryBa01.png
21001	Restore Clue	It seems that we will maintain this perspective until the end of this mission.	601000		ZX01611BB		Assets/Product/Ui/ComponentPrefab/GridStage/GridStagTRPGStory.prefab		Assets/Product/Texture/Image/UiTRPG/FubenTRPGStageStoryBa01.png
21003	Enemies in Sight	Projections of Corrupted, the Corrupted, growths of punishing...	601000		ZX01612BA		Assets/Product/Ui/ComponentPrefab/GridStage/GridStagTRPGStory.prefab		Assets/Product/Texture/Image/UiTRPG/FubenTRPGStageStoryBa01.png
23004	Crimson Tide	The four of you gaze into the red tide of life and death, just like how it gazes back.	601000	10130156			Assets/Product/Ui/ComponentPrefab/GridStage/GridStageTRPGFightSquare.prefab	Assets/Product/Texture/Image/UiTRPG/FubenTRPGStageBa02.png	Assets/Product/Texture/Image/UiTRPG/FubenTRPGStageBa02a.png
21005	Shades of the Past	Looks like... this commandant must have been dead for over a week.	601000		ZX01614BA		Assets/Product/Ui/ComponentPrefab/GridStage/GridStagTRPGStory.prefab		Assets/Product/Texture/Image/UiTRPG/FubenTRPGStageStoryBa01.png
21011	Piper	They seem to be lured by the "sound of the flute" and submerge in the sea of crimson.	601000		ZX01615BA		Assets/Product/Ui/ComponentPrefab/GridStage/GridStagTRPGStory.prefab		Assets/Product/Texture/Image/UiTRPG/FubenTRPGStageStoryBa01.png
23014	Hetero-Creature	These Corrupted have started to develop biological traits. Simply calling them "Corrupted" would be inaccurate.	601000	10130157			Assets/Product/Ui/ComponentPrefab/GridStage/GridStageTRPGFightRectangle.prefab	Assets/Product/Texture/Image/UiTRPG/FubenTRPGStageBa03.png	Assets/Product/Texture/Image/UiTRPG/FubenTRPGStageBa03.png
21016	Plunder & Sacrifice	In order to survive, we have to decide what to accept, as difficult to bear as they are... That's the price.	601000		ZX01618BA		Assets/Product/Ui/ComponentPrefab/GridStage/GridStagTRPGStory.prefab		Assets/Product/Texture/Image/UiTRPG/FubenTRPGStageStoryBa01.png
21017	Past & Future	Please don't hate me.	601000		ZX01619BA		Assets/Product/Ui/ComponentPrefab/GridStage/GridStagTRPGStory.prefab		Assets/Product/Texture/Image/UiTRPG/FubenTRPGStageStoryBa01.png
21020	Blood Link	...Will I become someone like her?	601000		ZX01620BA		Assets/Product/Ui/ComponentPrefab/GridStage/GridStagTRPGStory.prefab		Assets/Product/Texture/Image/UiTRPG/FubenTRPGStageStoryBa01.png
21026	Continue Forward	Carefully, Liv opens the faded cover, and a white petal falls out onto her hand.	601000		ZX01621BA		Assets/Product/Ui/ComponentPrefab/GridStage/GridStagTRPGStory.prefab		Assets/Product/Texture/Image/UiTRPG/FubenTRPGStageStoryBa01.png
21032	Full of Thorns	There are more traps ahead, so be careful.	601000		ZX01622BA		Assets/Product/Ui/ComponentPrefab/GridStage/GridStagTRPGStory.prefab		Assets/Product/Texture/Image/UiTRPG/FubenTRPGStageStoryBa01.png
23033	We Were Here	I would still have some foolish hope had that never happened.	601000	10130158			Assets/Product/Ui/ComponentPrefab/GridStage/GridStageTRPGFightRectangleBoss.prefab	Assets/Product/Texture/Image/UiTRPG/FubenTRPGStageBa04.png	Assets/Product/Texture/Image/UiTRPG/FubenTRPGStageBa04.png
21034	Shattered Fragments	It's up to you to decide when to let Lucia get that memory back.	601000		ZX01624BA		Assets/Product/Ui/ComponentPrefab/GridStage/GridStagTRPGStory.prefab		Assets/Product/Texture/Image/UiTRPG/FubenTRPGStageStoryBa01.png
31000	City of Fakes	It's not that it was abandoned... It was never even occupied.	601000		ZX01625BA		Assets/Product/Ui/ComponentPrefab/GridStage/GridStagTRPGStory.prefab		Assets/Product/Texture/Image/UiTRPG/FubenTRPGStageStoryCa01.png
31001	Red Tide's Guidance	Go back to the source—to the abyss.	601000		ZX01626BA		Assets/Product/Ui/ComponentPrefab/GridStage/GridStagTRPGStory.prefab		Assets/Product/Texture/Image/UiTRPG/FubenTRPGStageStoryCa01.png
33003	Welcoming Ceremony	The broken remains remind you of "corpses."	601000	10130159			Assets/Product/Ui/ComponentPrefab/GridStage/GridStageTRPGFightRectangle.prefab	Assets/Product/Texture/Image/UiTRPG/FubenTRPGStageCa01.png	Assets/Product/Texture/Image/UiTRPG/FubenTRPGStageCa01.png
39001	Curtain	Since our guests have arrived at the door, there is no reason not to entertain them.	601000		ZX01628BA		Assets/Product/Ui/ComponentPrefab/GridStage/GridStagTRPGStory.prefab		Assets/Product/Texture/Image/UiTRPG/FubenTRPGStageStoryCa01.png
31005	Unexpected Support	Then, let me be your mission support from now on.	601000		ZX91629BA		Assets/Product/Ui/ComponentPrefab/GridStage/GridStagTRPGStory.prefab		Assets/Product/Texture/Image/UiTRPG/FubenTRPGStageStoryCa01.png
33006	Ascension Secrets	A blindfolded queen, an advisor, and a beast.	601000	10130161			Assets/Product/Ui/ComponentPrefab/GridStage/GridStageTRPGFightRectangle.prefab	Assets/Product/Texture/Image/UiTRPG/FubenTRPGStageCa02.png	Assets/Product/Texture/Image/UiTRPG/FubenTRPGStageCa02.png
39002	Test	Or is this another "test" of yours?	601000		ZX01631BA		Assets/Product/Ui/ComponentPrefab/GridStage/GridStagTRPGStory.prefab		Assets/Product/Texture/Image/UiTRPG/FubenTRPGStageStoryCa01.png
