Id	Name	SmallName	Condition	Prefab	TruthRoadId[1]	TruthRoadId[2]	TruthRoadId[3]	TruthRoadId[4]	TruthRoadId[5]	TruthRoadId[6]	TruthRoadId[7]	TruthRoadId[8]	TruthRoadId[9]	TruthRoadId[10]	TruthRoadId[11]	TruthRoadId[12]	TruthRoadId[13]	TruthRoadId[14]	TruthRoadId[15]	TruthRoadId[16]	TruthRoadId[17]	TruthRoadId[18]	TruthRoadId[19]	TruthRoadId[20]	TruthRoadId[21]
10001	Eden Fallen	Falling Eden	601000	Assets/Product/Ui/ComponentPrefab/FubenTRPG/FuBenTRPGStageAa.prefab	10000	13002	13003	11004	11005	11007	13008	11009	13011	13012											
10002	Awakening of Heart	Cordis Die	621101	Assets/Product/Ui/ComponentPrefab/FubenTRPG/FuBenTRPGStageAb.prefab	211001	211002	211003	211004	211005	211006															
10003	Invisible Spikes	Shadow	621201	Assets/Product/Ui/ComponentPrefab/FubenTRPG/FuBenTRPGStageAc.prefab	212001	212002	212003	212004	212005																
10004	World's End	The world's end	621301	Assets/Product/Ui/ComponentPrefab/FubenTRPG/FuBenTRPGStageAd.prefab	213001	213002	213003	213004																	
20001	Deserted Tide	Abandon Tides	601000	Assets/Product/Ui/ComponentPrefab/FubenTRPG/FuBenTRPGStageBa.prefab	20000	21001	21003	23004	21005	21011	23014	21016	21017	21020	21026	21032	23033	21034							
20002	Blood Well	Echo of bloodline	602020	Assets/Product/Ui/ComponentPrefab/FubenTRPG/FuBenTRPGStageBb.prefab	221001	221002																			
20003	Voiceless Self	Slient ego	602034	Assets/Product/Ui/ComponentPrefab/FubenTRPG/FuBenTRPGStageBc.prefab	222001	222002	222003	222004																	
30001	Shadow Companion	Shadow Within	601000	Assets/Product/Ui/ComponentPrefab/FubenTRPG/FuBenTRPGStageCa.prefab	31000	31001	33003	39001	31005	33006	39002	33007	39003	31008	31009	31010	31011	31012	39004	39005	31013	39006	39007	31015	31016
30002	Echoing Memories	Afterimage	623101	Assets/Product/Ui/ComponentPrefab/FubenTRPG/FuBenTRPGStageCb.prefab	231001	231002	231003																		
30003	Tide Direction	Orientations	623201	Assets/Product/Ui/ComponentPrefab/FubenTRPG/FuBenTRPGStageCc.prefab	232001	232002	232003	232004																	
40001	Dark Reflections	Xeno-darkness	601000	Assets/Product/Ui/ComponentPrefab/FubenTRPG/FuBenTRPGStageDa.prefab	40000	41001	41003	41803	41004	41005	43006	41007	41009	43011	41812	43012	43013								
40002	Blasphemy	Heresy	604011	Assets/Product/Ui/ComponentPrefab/FubenTRPG/FuBenTRPGStageDb.prefab	241001	241002																			
40003	Adverse Impact	Innocent	604012	Assets/Product/Ui/ComponentPrefab/FubenTRPG/FuBenTRPGStageDc.prefab	242001	242002																			
40004	Faith Praises	Paean of faith	604013	Assets/Product/Ui/ComponentPrefab/FubenTRPG/FuBenTRPGStageDd.prefab	243001	243002	243003																		
40005	Engraver	Wedge	624201	Assets/Product/Ui/ComponentPrefab/FubenTRPG/FuBenTRPGStageDe.prefab	244001	244002																			
