TaskGroupId	TimeId	TaskId[1]	TaskId[2]	TaskId[3]	TaskId[4]	TaskId[5]	TaskId[6]	TaskId[7]	TaskId[8]
7521		82031	82032	82033	82034	82035	82036		
7522		82037	82038	82039	82040	82041	82042		
7523		82043	82044	82045	82046	82047	82048		
7524		82049	82050	82051	82052	82053	82054		
7525		82055	82056	82057	82058	82059	82060		
15711	15711	82031	82032	82033	82034	82035	82060		
15712	15712	82054	82048	82039	82040	82041	82042		
15713	15713	82043	82044	82045	82046	82047	82038		
15714	15714	82049	82050	82051	82052	82053	82036		
15715	15715	82055	82056	82057	82058	82059	82037		
